,Open,High,Low,Close,Volume,DeliveryPct
2016-08-16,1294.65,1306.95,1283.0,1295.25,132491.0,
2016-08-17,1293.5,1297.8,1281.0,1291.5,119383.0,
2016-08-18,1292.9,1297.9,1285.05,1291.45,66278.0,
2016-08-19,1292.0,1313.25,1283.05,1308.0,193084.0,
2016-08-22,1304.7,1317.0,1290.6,1297.75,188096.0,
2016-08-23,1295.0,1296.8,1277.65,1285.55,205790.0,
2016-08-24,1285.55,1291.0,1270.15,1285.8,116991.0,
2016-08-25,1285.0,1298.0,1263.0,1268.9,316460.0,
2016-08-26,1272.25,1301.0,1260.0,1293.1,186007.0,
2016-08-29,1294.0,1295.05,1271.0,1281.35,104550.0,
2016-08-30,1280.2,1294.0,1274.0,1276.75,201257.0,
2016-08-31,1282.1,1289.5,1256.05,1266.05,199447.0,
2016-09-01,1270.0,1276.2,1250.55,1254.65,192811.0,
2016-09-02,1258.1,1268.25,1254.6,1260.95,148896.0,
2016-09-06,1268.0,1280.0,1263.0,1271.85,189139.0,
2016-09-07,1272.0,1315.0,1265.0,1295.9,370776.0,
2016-09-08,1308.95,1319.0,1294.05,1299.75,308671.0,
2016-09-09,1294.9,1300.05,1276.0,1289.75,235565.0,
2016-09-12,1269.5,1269.5,1237.2,1244.0,330367.0,
2016-09-14,1245.0,1259.9,1230.0,1249.35,318963.0,
2016-09-15,1250.0,1258.7,1242.6,1250.05,99852.0,
2016-09-16,1254.1,1266.0,1249.8,1258.4,232662.0,
2016-09-19,1267.0,1268.3,1246.85,1264.1,174759.0,
2016-09-20,1263.0,1263.9,1242.0,1247.4,89308.0,
2016-09-21,1234.65,1278.85,1234.65,1262.25,264414.0,
2016-09-22,1271.1,1273.95,1247.0,1262.35,170899.0,
2016-09-23,1262.35,1280.0,1255.0,1275.95,197487.0,
2016-09-26,1273.95,1285.35,1265.2,1271.9,129438.0,
2016-09-27,1274.0,1286.9,1272.4,1280.9,286306.0,
2016-09-28,1280.0,1291.4,1271.2,1288.55,178648.0,
2016-09-29,1291.0,1299.95,1202.15,1217.8,354738.0,
2016-09-30,1233.95,1250.0,1212.5,1240.3,173806.0,
2016-10-03,1246.95,1261.75,1239.35,1255.8,167013.0,
2016-10-04,1255.0,1260.55,1247.1,1257.1,155421.0,
2016-10-05,1261.3,1268.95,1248.1,1261.4,185669.0,
2016-10-06,1263.1,1267.0,1235.45,1244.65,101012.0,
2016-10-07,1243.7,1249.0,1235.0,1243.1,71008.0,
2016-10-10,1246.0,1247.7,1231.25,1239.25,78032.0,
2016-10-13,1232.0,1244.0,1220.0,1225.5,135622.0,
2016-10-14,1230.0,1232.0,1213.2,1227.3,68638.0,
2016-10-17,1227.5,1236.75,1203.6,1209.5,63112.0,
2016-10-18,1212.0,1237.9,1203.65,1229.85,106556.0,
2016-10-19,1236.9,1237.2,1222.5,1229.2,92782.0,
2016-10-20,1235.0,1236.4,1218.0,1220.2,92074.0,
2016-10-21,1223.0,1231.7,1217.15,1228.1,47006.0,
2016-10-24,1226.5,1231.55,1209.05,1211.45,96563.0,
2016-10-25,1214.0,1219.75,1205.55,1212.3,57669.0,
2016-10-26,1207.9,1211.2,1186.8,1196.5,92259.0,
2016-10-27,1190.1,1197.1,1152.5,1175.65,179962.0,
2016-10-28,1175.0,1191.6,1169.05,1183.7,56067.0,
2016-11-01,1195.0,1196.15,1158.65,1164.6,88578.0,
2016-11-02,1164.6,1175.0,1151.25,1158.35,121732.0,
2016-11-03,1157.0,1164.0,1125.0,1133.45,141033.0,
