,Open,High,Low,Close,Volume,DeliveryPct
2023-09-27,444.0,474.0,444.0,458.55,14348612.0,60.26
2023-09-28,451.0,461.9,446.8,460.5,1175144.0,43.71
2023-09-29,463.9,485.9,460.0,477.75,1322775.0,43.09
2023-10-02,463.9,485.9,460.0,477.75,1322775.0,43.09
2023-10-03,479.9,485.95,475.0,476.8,572238.0,62.7
2023-10-04,476.5,479.0,454.1,468.85,847119.0,57.42
2023-10-05,471.4,479.9,471.0,472.75,314151.0,76.25
2023-10-06,474.75,503.45,471.05,483.7,2003596.0,72.11
2023-10-09,479.0,492.7,472.65,482.15,498268.0,56.18
2023-10-10,485.8,498.9,485.1,498.35,1576883.0,64.88
2023-10-11,502.85,512.9,495.0,502.8,622685.0,38.0
2023-10-12,493.25,514.0,493.25,500.3,546557.0,40.76
2023-10-13,501.95,522.0,495.35,504.3,490543.0,36.23
2023-10-16,511.75,513.4,507.1,510.1,344232.0,57.53
2023-10-17,510.25,519.9,510.25,515.3,131025.0,39.4
2023-10-18,517.2,519.75,511.0,511.1,168171.0,71.34
2023-10-19,511.9,535.8,509.25,519.65,835126.0,66.43
2023-10-20,516.1,560.0,516.1,550.3,685705.0,44.12
2023-10-23,551.95,554.0,528.0,529.15,349100.0,60.69
2023-10-24,551.95,554.0,528.0,529.15,349100.0,60.69
2023-10-25,533.0,543.0,528.0,530.8,211829.0,55.68
2023-10-26,529.95,530.3,513.0,522.8,1142300.0,75.45
2023-10-27,524.95,568.95,524.95,560.55,427530.0,41.83
2023-10-30,559.7,568.45,559.0,565.05,421307.0,69.5
2023-10-31,569.0,584.7,565.0,570.1,249073.0,59.87
2023-11-01,574.0,583.0,572.6,579.0,228540.0,67.18
2023-11-02,584.0,608.4,581.4,603.35,1134664.0,79.51
2023-11-03,609.0,609.9,601.0,601.6,142756.0,48.34
2023-11-06,607.0,627.0,605.7,618.65,272117.0,58.63
2023-11-07,624.8,662.25,615.05,651.5,241947.0,37.12
2023-11-08,663.0,682.95,657.0,663.55,297663.0,45.26
2023-11-09,667.0,684.2,656.45,678.8,205244.0,39.09
2023-11-10,671.2,683.45,658.0,680.35,336761.0,46.42
2023-11-13,699.0,707.0,692.2,705.05,134485.0,38.12
2023-11-14,699.0,707.0,692.2,705.05,134485.0,38.12
2023-11-15,713.0,740.0,710.35,722.7,235891.0,39.05
2023-11-16,727.45,738.0,716.05,721.85,214556.0,42.24
2023-11-17,722.95,732.9,715.4,723.15,256464.0,38.82
2023-11-20,723.0,730.0,703.55,727.95,175798.0,44.17
2023-11-21,729.5,746.0,716.25,745.35,2010711.0,82.4
2023-11-22,752.0,770.9,735.1,743.9,459121.0,34.2
2023-11-23,745.9,758.9,737.6,754.2,230652.0,38.74
2023-11-24,755.0,757.9,747.5,749.7,203389.0,47.94
2023-11-27,755.0,757.9,747.5,749.7,203389.0,47.94
2023-11-28,754.0,755.45,743.65,750.0,132304.0,59.51
2023-11-29,751.0,763.0,750.0,756.55,209725.0,52.16
2023-11-30,756.55,763.6,755.15,760.2,121384.0,44.37
2023-12-01,760.2,788.95,760.2,779.3,198665.0,35.89
2023-12-04,788.65,808.05,788.65,800.35,160897.0,55.95
2023-12-05,805.0,808.9,787.1,797.75,582372.0,79.77
2023-12-06,806.0,806.0,796.0,796.75,197270.0,68.43
2023-12-07,799.65,803.0,790.0,793.1,242946.0,63.24
2023-12-08,794.0,802.9,788.0,789.6,246690.0,73.41
2023-12-11,784.0,800.9,784.0,795.4,94406.0,73.14
2023-12-12,801.65,809.9,791.0,798.65,541956.0,84.2
2023-12-13,802.65,804.6,795.5,800.85,70034.0,37.09
2023-12-14,805.0,805.0,800.0,800.8,65939.0,62.64
2023-12-15,806.0,816.6,790.7,796.65,698872.0,78.0
2023-12-18,796.1,807.3,795.5,804.3,302208.0,83.74
2023-12-19,796.3,819.0,796.3,813.85,315069.0,75.67
2023-12-20,813.85,818.4,783.1,801.85,452996.0,65.59
2023-12-21,790.6,811.0,775.0,808.95,165719.0,35.14
2023-12-22,814.9,828.85,806.5,817.85,146112.0,41.81
2023-12-25,814.9,828.85,806.5,817.85,146112.0,41.81
2023-12-26,821.95,822.95,810.05,820.5,500362.0,68.12
2023-12-27,829.2,866.8,811.75,843.8,935436.0,61.56
2023-12-28,845.0,859.0,838.2,851.95,301812.0,63.35
2023-12-29,851.95,880.75,851.95,877.35,350737.0,60.1
2024-01-01,879.65,945.0,877.4,918.55,493277.0,45.06
2024-01-02,923.0,934.0,911.0,931.55,196884.0,37.4
