,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,28.05,28.1,27.8,27.9,174719.0,
2016-08-23,28.05,28.4,27.8,28.15,289360.0,
2016-08-24,28.25,28.6,28.25,28.5,556847.0,
2016-08-25,28.5,28.55,28.4,28.5,807403.0,
2016-08-26,28.4,28.5,27.8,28.0,91071.0,
2016-08-29,28.0,28.35,27.55,27.75,522390.0,
2016-08-30,27.85,28.15,27.7,28.0,417082.0,
2016-08-31,28.0,28.35,27.8,28.05,413268.0,
2016-09-01,27.95,28.1,27.75,27.9,172524.0,
2016-09-02,28.0,28.0,27.85,27.85,122704.0,
2016-09-06,27.85,28.3,27.85,28.05,608774.0,
2016-09-07,28.25,28.3,27.95,28.05,420908.0,
2016-09-08,28.3,28.5,28.05,28.15,423759.0,
2016-09-09,28.05,28.5,28.05,28.35,295066.0,
2016-09-12,28.0,28.85,28.0,28.35,513434.0,
2016-09-14,28.1,28.55,28.0,28.25,490380.0,
2016-09-15,28.45,28.45,28.0,28.0,142553.0,
2016-09-16,28.05,28.4,28.0,28.0,386946.0,
2016-09-19,28.4,28.4,28.05,28.25,353479.0,
2016-09-20,28.3,28.4,27.95,28.15,363106.0,
2016-09-21,28.3,28.3,27.95,28.05,817887.0,
2016-09-22,28.0,28.4,28.0,28.3,798031.0,
2016-09-23,28.4,28.9,28.05,28.5,768181.0,
2016-09-26,28.5,29.4,28.3,28.9,599178.0,
2016-09-27,29.0,29.75,28.95,29.35,691742.0,
2016-09-28,29.95,30.1,29.55,29.9,1607175.0,
2016-09-29,29.7,30.25,28.0,28.7,1107096.0,
2016-09-30,28.85,29.2,28.0,29.0,294047.0,
2016-10-03,29.05,29.35,28.95,29.15,354275.0,
2016-10-04,29.2,29.4,28.9,28.95,444351.0,
2016-10-05,29.1,29.2,28.75,28.9,267969.0,
2016-10-06,29.3,29.4,28.6,28.6,346949.0,
2016-10-07,28.8,28.8,28.35,28.5,239112.0,
2016-10-10,28.9,29.05,28.6,28.95,200451.0,
2016-10-13,29.0,30.05,28.7,29.2,551780.0,
2016-10-14,29.35,29.7,28.95,29.15,304494.0,
2016-10-17,29.05,29.35,28.9,29.0,145801.0,
2016-10-18,29.3,29.3,28.55,29.05,297969.0,
2016-10-19,29.0,30.4,28.75,30.0,5038948.0,
2016-10-20,30.25,31.95,30.0,30.9,5856367.0,
2016-10-21,31.9,32.7,31.4,31.6,2601761.0,
2016-10-24,32.0,32.5,31.5,31.6,1089509.0,
2016-10-25,31.8,33.5,31.6,32.45,2885171.0,
2016-10-26,32.5,32.9,31.9,32.6,832821.0,
2016-10-27,32.6,34.8,32.15,34.0,3758988.0,
2016-10-28,33.7,34.0,33.25,33.35,600685.0,
2016-11-01,33.6,34.3,32.45,33.8,1338604.0,
2016-11-02,34.0,34.6,32.7,32.9,2212020.0,
2016-11-03,33.0,33.25,31.55,31.85,884954.0,
2016-11-04,32.1,32.45,31.0,31.3,608447.0,
2016-11-07,31.75,31.95,30.25,30.5,1022203.0,
2016-11-08,30.75,31.0,29.7,29.8,564031.0,
2016-11-09,28.5,29.75,25.95,29.4,642804.0,
2016-11-10,29.65,31.0,29.6,30.1,587785.0,
2016-11-11,30.05,30.2,29.4,29.6,343535.0,
2016-11-15,29.75,29.85,28.5,28.55,307271.0,
2016-11-16,28.75,33.7,28.75,29.3,426214.0,
2016-11-17,29.25,29.55,28.75,28.95,226837.0,
2016-11-18,29.4,30.0,28.9,29.8,436638.0,
2016-11-21,29.6,31.0,29.6,30.2,821129.0,
2016-11-22,30.4,30.9,30.25,30.4,462435.0,
2016-11-23,30.3,30.6,29.85,30.15,186323.0,
2016-11-24,30.05,30.95,30.05,30.2,282448.0,
2016-11-25,30.7,31.35,30.25,30.9,361817.0,
2016-11-28,30.9,31.45,30.65,31.0,245862.0,
2016-11-29,31.25,32.35,30.9,31.65,1094562.0,
2016-11-30,31.45,32.25,31.4,31.7,610585.0,
2016-12-01,31.8,33.05,31.8,32.5,1403521.0,
2016-12-02,32.4,33.2,32.2,32.65,1193610.0,
2016-12-05,32.75,33.95,32.5,33.25,927876.0,
2016-12-06,33.5,33.65,30.6,32.0,960459.0,
2016-12-07,31.0,31.9,31.0,31.35,549729.0,
2016-12-08,32.0,32.4,31.45,31.55,1047760.0,
2016-12-09,31.95,32.3,30.75,31.15,1064873.0,
2016-12-12,31.5,31.65,30.85,30.95,347378.0,
2016-12-13,31.2,31.2,30.4,30.75,237270.0,
2016-12-14,30.65,31.15,30.45,30.55,242894.0,
2016-12-15,30.5,30.75,30.25,30.35,201913.0,
2016-12-16,30.25,30.75,30.25,30.4,213175.0,
2016-12-19,30.3,30.5,30.15,30.2,174972.0,
2016-12-20,30.1,30.4,29.85,29.95,206046.0,
2016-12-21,29.7,30.1,29.65,29.95,309562.0,
2016-12-22,29.95,30.05,29.55,29.75,339703.0,
2016-12-23,29.9,29.95,29.55,29.7,279855.0,
2016-12-26,29.7,30.35,29.65,30.05,418494.0,
2016-12-27,30.05,30.5,29.85,30.1,198835.0,
2016-12-28,30.2,32.25,30.0,30.15,747649.0,
2016-12-29,30.1,30.45,29.85,30.0,338822.0,
2016-12-30,30.5,30.5,29.95,30.0,124340.0,
2017-01-02,30.5,30.65,30.0,30.3,155470.0,
2017-01-03,30.45,30.45,29.9,30.0,524403.0,
2017-01-04,30.0,30.3,29.95,30.15,625683.0,
2017-01-05,30.3,30.7,30.2,30.6,331156.0,
2017-01-06,30.7,30.85,30.05,30.15,490400.0,
2017-01-09,30.55,30.55,30.1,30.25,223458.0,
2017-01-10,30.4,30.7,29.95,30.1,818870.0,
2017-01-11,30.3,30.4,29.95,30.05,921233.0,
2017-01-12,30.1,32.75,30.1,32.3,4291061.0,
2017-01-13,32.5,33.05,31.75,32.15,1921215.0,
2017-01-16,32.2,32.5,30.9,31.35,1075306.0,
2017-01-17,31.6,31.95,31.35,31.5,721756.0,
2017-01-18,31.75,31.9,31.1,31.25,576684.0,
2017-01-19,31.6,31.85,31.2,31.65,588741.0,
2017-01-20,31.7,32.5,31.5,31.75,807776.0,
2017-01-23,31.75,32.0,31.45,31.7,545444.0,
2017-01-24,31.85,32.65,31.8,32.25,622838.0,
2017-01-25,32.45,32.5,31.95,32.1,547551.0,
2017-01-27,32.25,32.75,32.0,32.5,736784.0,
2017-01-30,32.2,32.9,32.1,32.3,704752.0,
2017-01-31,32.4,33.2,32.2,32.65,1642017.0,
2017-02-01,32.45,32.9,32.25,32.5,1045560.0,
2017-02-02,32.45,34.2,32.45,33.75,3239902.0,
2017-02-03,33.9,34.2,33.55,33.9,678654.0,
2017-02-06,33.9,34.2,33.45,33.65,766862.0,
2017-02-07,33.7,34.75,33.45,33.65,2160146.0,
2017-02-08,33.75,34.7,33.6,34.0,1162127.0,
2017-02-09,33.95,34.25,33.8,33.9,400086.0,
2017-02-10,34.05,34.05,33.15,33.35,708025.0,
2017-02-13,33.65,34.0,32.55,32.95,928909.0,
2017-02-14,34.25,34.95,33.8,34.75,4293332.0,
2017-02-15,35.0,35.9,34.8,35.7,3620795.0,
2017-02-16,35.8,35.95,35.4,35.75,1575925.0,
2017-02-17,36.0,36.0,35.4,35.75,1792732.0,
2017-02-20,36.2,36.2,35.8,35.95,2161632.0,
2017-02-21,36.1,36.6,36.05,36.3,1973734.0,
2017-02-22,34.05,34.7,33.7,33.9,5411268.0,
2017-02-23,34.0,34.35,33.65,33.7,799747.0,
2017-02-27,33.7,33.8,32.65,32.75,896473.0,
2017-02-28,33.1,33.2,32.8,32.95,736615.0,
2017-03-01,33.0,33.15,32.6,32.95,545507.0,
2017-03-02,33.1,33.15,32.0,32.1,604868.0,
2017-03-03,32.15,32.15,31.7,31.8,395163.0,
2017-03-06,32.2,32.2,31.25,31.4,557726.0,
2017-03-07,31.5,32.2,31.5,32.05,365516.0,
2017-03-08,32.05,32.45,32.0,32.4,514358.0,
2017-03-09,32.4,32.4,31.8,31.85,247091.0,
2017-03-10,32.25,32.25,31.2,31.3,425538.0,
2017-03-14,32.0,32.25,31.35,31.55,596668.0,
2017-03-15,31.65,32.15,31.55,31.95,473249.0,
2017-03-16,32.15,33.75,32.05,33.5,972674.0,
2017-03-17,33.8,33.9,32.95,33.05,817129.0,
2017-03-20,33.15,33.25,32.6,32.65,378708.0,
2017-03-21,32.75,32.9,32.2,32.4,452309.0,
2017-03-22,32.4,32.9,32.2,32.6,973269.0,
2017-03-23,32.65,34.7,32.5,32.8,1649828.0,
2017-03-24,32.95,33.65,32.8,33.4,788287.0,
2017-03-27,33.45,34.9,33.0,34.35,1418171.0,
2017-03-28,34.35,34.85,33.9,34.05,401722.0,
2017-03-29,33.9,34.35,33.6,34.25,400428.0,
2017-03-30,34.15,34.4,33.5,33.55,323990.0,
2017-03-31,33.6,34.8,33.5,33.65,1179155.0,
2017-04-03,33.6,34.55,33.6,34.1,389020.0,
2017-04-05,34.0,35.4,34.0,35.1,1406863.0,
2017-04-06,35.1,35.3,34.75,35.2,894077.0,
2017-04-07,34.55,35.2,34.55,35.0,607746.0,
2017-04-10,35.1,35.45,34.9,35.2,676805.0,
2017-04-11,35.25,35.4,34.95,35.15,385792.0,
2017-04-12,35.55,35.55,34.95,35.3,545040.0,
2017-04-13,35.35,35.6,35.05,35.05,371218.0,
2017-04-17,35.3,35.3,34.9,35.1,562772.0,
2017-04-18,35.35,35.35,34.65,35.0,696744.0,
2017-04-19,35.0,35.15,34.5,34.9,413493.0,
2017-04-20,35.0,35.2,34.85,35.0,326692.0,
2017-04-21,35.15,35.15,34.95,35.05,344503.0,
2017-04-24,35.35,35.35,35.0,35.05,422446.0,
2017-04-25,35.2,35.75,34.95,35.2,672628.0,
2017-04-26,35.15,35.45,34.95,35.0,2225232.0,
2017-04-27,35.05,35.2,34.9,35.0,728423.0,
2017-04-28,35.5,35.65,34.7,34.95,656228.0,
2017-05-02,35.35,35.35,34.7,34.8,492739.0,
2017-05-03,34.95,35.5,34.8,35.4,516402.0,
2017-05-04,35.5,36.5,34.85,34.9,1302413.0,
2017-05-05,34.95,35.4,34.7,34.9,583746.0,
2017-05-08,35.2,35.2,34.9,34.95,293021.0,
2017-05-09,35.05,35.2,33.75,34.05,817783.0,
2017-05-10,34.15,34.55,32.25,33.2,1403494.0,
2017-05-11,33.45,33.75,32.1,32.4,1390502.0,
2017-05-12,32.6,32.85,32.25,32.7,328157.0,
2017-05-15,33.45,33.8,32.6,32.9,973230.0,
2017-05-16,33.1,33.35,32.0,32.7,1011286.0,
2017-05-17,32.9,32.9,32.35,32.65,501504.0,
2017-05-18,32.3,33.0,32.25,32.6,359180.0,
2017-05-19,32.85,32.95,32.35,32.7,296419.0,
2017-05-22,32.9,32.95,32.4,32.55,178191.0,
2017-05-23,32.5,32.7,30.1,30.95,1262517.0,
2017-05-24,31.5,32.0,31.2,31.5,352267.0,
2017-05-25,31.6,32.0,31.6,31.9,217856.0,
2017-05-26,32.15,32.2,30.8,31.7,895930.0,
2017-05-29,31.7,32.15,31.55,31.8,321767.0,
2017-05-30,32.5,32.75,31.05,31.9,1205602.0,
2017-05-31,32.2,32.45,31.8,32.1,431408.0,
2017-06-01,32.3,32.4,32.0,32.15,261002.0,
2017-06-02,32.4,32.5,32.0,32.35,315207.0,
2017-06-05,32.75,32.75,32.1,32.4,337580.0,
2017-06-06,32.35,32.45,31.65,31.8,332284.0,
2017-06-07,31.7,32.05,31.6,31.95,274462.0,
2017-06-08,32.05,32.3,31.85,32.2,330557.0,
2017-06-09,32.35,35.25,32.3,33.0,2627206.0,
2017-06-12,32.95,33.2,32.45,32.65,763970.0,
2017-06-13,32.6,33.0,32.25,32.35,597889.0,
2017-06-14,32.6,32.65,32.15,32.3,497966.0,
2017-06-15,32.3,32.7,32.15,32.25,438715.0,
2017-06-16,32.4,32.55,32.05,32.15,606830.0,
2017-06-19,32.1,32.5,32.1,32.2,462980.0,
2017-06-20,32.1,32.45,31.95,32.1,731673.0,
2017-06-21,31.9,32.45,31.9,32.2,693206.0,
2017-06-22,32.2,32.75,32.1,32.15,860031.0,
2017-06-23,32.1,32.3,31.75,31.95,449515.0,
2017-06-27,31.95,32.25,31.5,31.6,926371.0,
2017-06-28,31.35,31.95,31.35,31.75,238734.0,
2017-06-29,31.75,32.0,31.75,31.85,155659.0,
2017-06-30,31.75,32.2,31.75,31.95,322198.0,
2017-07-03,32.8,32.95,32.0,32.45,1582211.0,
2017-07-04,32.6,32.6,32.0,32.05,543461.0,
2017-07-05,32.1,32.3,32.0,32.15,380832.0,
2017-07-06,32.05,32.4,32.05,32.3,605106.0,
2017-07-07,32.5,32.75,32.05,32.2,1256318.0,
2017-07-10,32.3,32.5,32.2,32.35,81740.0,
2017-07-11,32.45,32.6,32.05,32.25,639278.0,
2017-07-12,32.2,32.45,32.1,32.35,771467.0,
2017-07-13,32.35,32.75,32.3,32.5,2773946.0,
2017-07-14,32.6,32.85,32.4,32.75,2478823.0,
2017-07-17,32.55,33.85,32.5,33.55,1369795.0,
2017-07-18,33.95,34.0,33.25,33.35,709466.0,
2017-07-19,33.6,33.6,33.0,33.25,848241.0,
2017-07-20,33.5,33.5,33.0,33.05,771145.0,
2017-07-21,33.1,33.35,33.0,33.05,564011.0,
2017-07-24,33.0,33.15,32.75,33.0,873054.0,
2017-07-25,33.0,33.2,32.0,33.05,2026603.0,
2017-07-26,33.2,33.2,32.95,33.0,1152540.0,
2017-07-27,33.0,33.15,33.0,33.05,363498.0,
2017-07-28,33.0,33.15,32.8,33.05,419519.0,
2017-07-31,32.55,33.35,32.55,33.3,1219257.0,
2017-08-01,33.1,33.4,32.85,32.95,642119.0,
2017-08-02,33.15,33.2,32.85,32.95,434491.0,
2017-08-03,32.75,33.15,32.75,32.95,202818.0,
2017-08-04,32.7,33.15,32.7,33.0,362091.0,
