,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,302.85,302.85,295.0,296.1,54660.0,
2016-08-23,297.0,297.9,289.35,291.95,60930.0,
2016-08-24,291.95,292.9,286.75,289.2,66586.0,
2016-08-25,290.9,291.4,284.15,286.55,60849.0,
2016-08-26,288.65,294.0,286.55,290.3,38086.0,
2016-08-29,290.3,293.95,286.05,289.9,26219.0,
2016-08-30,289.0,292.8,286.0,287.75,77416.0,
2016-08-31,289.0,291.8,284.0,286.45,156779.0,
2016-09-01,287.5,292.9,286.15,287.85,51338.0,
2016-09-02,288.0,289.0,286.15,287.55,21862.0,
2016-09-06,292.45,292.45,287.05,288.5,32150.0,
2016-09-07,291.9,291.9,287.05,287.7,46358.0,
2016-09-08,289.9,305.0,285.2,297.8,415356.0,
2016-09-09,300.45,309.35,298.0,306.6,181897.0,
2016-09-12,303.75,309.0,295.7,300.35,185173.0,
2016-09-14,304.95,304.95,289.15,291.6,407098.0,
2016-09-15,295.0,295.0,288.15,289.65,55557.0,
2016-09-16,293.0,293.9,289.05,290.65,307323.0,
2016-09-19,292.0,292.95,290.0,290.55,41853.0,
2016-09-20,294.0,298.0,289.0,290.25,69270.0,
2016-09-21,287.2,292.5,287.2,290.1,28790.0,
2016-09-22,291.0,292.95,289.0,289.95,101987.0,
2016-09-23,292.8,297.3,288.15,293.25,164207.0,
2016-09-26,295.95,295.95,292.0,293.2,36281.0,
2016-09-27,295.9,306.5,293.25,297.65,203156.0,
2016-09-28,300.0,303.9,297.05,298.2,69863.0,
2016-09-29,299.0,303.0,282.45,287.35,62617.0,
2016-09-30,284.0,296.0,284.0,292.7,62265.0,
2016-10-03,294.0,302.8,289.0,298.95,66507.0,
2016-10-04,304.0,304.0,296.7,299.55,29273.0,
2016-10-05,298.0,308.1,298.0,305.95,86128.0,
2016-10-06,308.8,320.75,304.9,307.5,347229.0,
2016-10-07,308.9,312.95,304.0,307.6,55366.0,
2016-10-10,311.95,313.0,307.1,309.45,37941.0,
2016-10-13,309.65,309.65,296.2,299.15,31289.0,
2016-10-14,302.0,303.2,295.1,297.55,32921.0,
2016-10-17,300.0,309.0,293.25,295.5,230147.0,
2016-10-18,296.8,300.0,291.5,293.5,70361.0,
2016-10-19,296.95,297.05,290.1,292.05,58294.0,
2016-10-20,294.95,294.95,290.0,291.1,49836.0,
2016-10-21,292.05,293.0,289.5,290.3,33792.0,
2016-10-24,291.2,293.2,288.0,288.55,64559.0,
2016-10-25,288.05,291.6,285.0,285.95,69881.0,
2016-10-26,286.0,291.55,281.35,283.15,535102.0,
2016-10-27,285.0,285.0,278.0,279.65,60753.0,
2016-10-28,282.5,282.75,278.0,279.15,32663.0,
2016-11-01,283.0,283.9,278.0,278.85,90976.0,
2016-11-02,277.95,278.0,272.0,273.15,56838.0,
2016-11-03,274.0,274.0,266.0,266.65,74345.0,
2016-11-04,265.0,269.5,256.0,261.15,46817.0,
2016-11-07,263.0,270.0,263.0,265.1,71078.0,
2016-11-08,266.0,274.9,265.0,270.05,88593.0,
2016-11-09,240.0,261.0,216.05,257.5,109723.0,
2016-11-10,262.0,267.0,255.5,257.6,68759.0,
2016-11-11,257.9,257.9,245.0,247.8,39718.0,
2016-11-15,247.8,247.8,232.25,235.8,65196.0,
2016-11-16,236.1,239.0,230.1,235.7,47881.0,
2016-11-17,231.55,238.55,230.05,235.25,40429.0,
2016-11-18,233.0,244.2,231.5,240.7,54141.0,
2016-11-21,245.0,248.5,235.7,237.75,330583.0,
2016-11-22,237.75,260.0,223.15,255.5,224941.0,
2016-11-23,255.5,260.0,240.0,251.7,210507.0,
2016-11-24,251.0,257.1,246.1,254.6,71854.0,
2016-11-25,255.6,255.6,248.55,250.45,33600.0,
2016-11-28,251.0,251.85,243.1,245.8,390052.0,
2016-11-29,245.8,252.0,245.8,247.9,189896.0,
2016-11-30,251.0,257.7,247.55,255.4,81838.0,
2016-12-01,255.5,255.5,246.0,247.05,82582.0,
2016-12-02,246.5,249.8,245.0,245.65,19119.0,
2016-12-05,245.15,252.5,243.0,248.35,45184.0,
2016-12-06,249.95,259.45,247.3,256.75,55743.0,
2016-12-07,257.0,266.95,254.95,265.6,123927.0,
2016-12-08,266.0,267.65,261.65,266.95,38913.0,
2016-12-09,268.0,268.95,260.1,266.35,22758.0,
2016-12-12,266.75,268.6,256.2,257.55,38954.0,
2016-12-13,265.2,265.2,248.55,250.7,62047.0,
2016-12-14,252.0,254.5,248.0,249.05,24113.0,
2016-12-15,249.0,252.4,247.0,248.95,22299.0,
2016-12-16,250.0,251.9,245.25,246.3,22006.0,
2016-12-19,246.3,249.05,243.3,245.1,24280.0,
2016-12-20,246.95,248.4,242.2,244.35,7431.0,
2016-12-21,243.1,246.9,242.2,243.9,10065.0,
2016-12-22,243.45,248.0,242.55,246.65,28369.0,
