,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,600.0,643.7,588.0,622.6,38870.0,
2016-08-23,624.75,628.8,606.6,615.45,9205.0,
2016-08-24,625.95,638.9,621.0,626.5,144544.0,
2016-08-25,635.0,635.0,626.5,630.4,29623.0,
2016-08-26,630.5,634.95,620.25,625.1,6594.0,
2016-08-29,625.0,638.0,620.2,633.25,11272.0,
2016-08-30,635.0,655.0,601.0,650.35,35751.0,
2016-08-31,654.9,668.95,648.0,658.6,46751.0,
2016-09-01,658.0,667.3,640.25,649.75,19485.0,
2016-09-02,645.1,659.0,636.0,640.2,131507.0,
2016-09-06,654.9,654.95,640.0,645.1,20165.0,
2016-09-07,652.0,659.0,635.0,640.05,46400.0,
2016-09-08,648.95,649.0,639.0,643.4,28778.0,
2016-09-09,645.05,650.05,632.0,640.25,16671.0,
2016-09-12,635.95,638.8,626.0,630.5,14015.0,
2016-09-14,637.9,640.0,620.1,637.8,15324.0,
2016-09-15,638.0,649.0,636.0,639.2,39612.0,
2016-09-16,645.95,648.0,641.0,642.4,32875.0,
2016-09-19,643.0,650.0,640.0,644.9,11719.0,
2016-09-20,645.05,649.75,640.5,645.75,33444.0,
2016-09-21,647.5,657.0,644.3,649.05,13959.0,
2016-09-22,653.0,669.7,648.0,657.95,14373.0,
2016-09-23,657.0,671.9,645.2,648.9,20296.0,
2016-09-26,657.95,663.9,645.25,649.95,24018.0,
2016-09-27,650.45,659.5,643.0,647.15,9424.0,
2016-09-28,653.85,655.0,643.0,649.7,6574.0,
2016-09-29,650.3,655.0,632.1,635.25,240520.0,
2016-09-30,647.95,654.9,625.0,650.2,11464.0,
2016-10-03,644.05,664.95,644.05,657.25,10256.0,
2016-10-04,660.0,663.65,653.45,656.0,231845.0,
2016-10-05,664.95,670.95,660.0,664.8,12036.0,
2016-10-06,665.0,677.0,661.0,664.8,15911.0,
2016-10-07,660.1,676.0,660.1,668.15,13688.0,
2016-10-10,676.95,684.6,668.3,681.1,16926.0,
2016-10-13,681.0,682.95,661.0,673.85,18859.0,
2016-10-14,680.0,681.0,670.1,677.05,12438.0,
2016-10-17,677.05,685.0,671.2,674.25,8581.0,
2016-10-18,680.25,682.0,673.5,679.15,4326.0,
2016-10-19,679.0,685.0,670.0,670.9,6913.0,
2016-10-20,670.0,678.0,658.4,661.05,14648.0,
