,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,150.95,154.5,150.6,152.3,69322.0,
2016-08-23,155.0,155.0,150.1,150.9,53477.0,
2016-08-24,152.05,153.6,151.0,153.0,103727.0,
2016-08-25,153.0,153.8,150.0,150.6,120873.0,
2016-08-26,153.0,153.0,150.6,151.15,29606.0,
2016-08-29,151.15,152.35,150.5,151.5,45400.0,
2016-08-30,151.1,156.8,150.8,153.3,343169.0,
2016-08-31,155.5,155.5,153.35,154.0,66690.0,
2016-09-01,154.0,154.55,152.15,153.2,83352.0,
2016-09-02,153.0,153.9,150.1,152.1,112215.0,
2016-09-06,152.05,154.6,152.0,152.8,73442.0,
2016-09-07,152.8,153.7,150.05,150.45,114355.0,
2016-09-08,150.15,151.8,148.8,150.55,256520.0,
2016-09-09,150.15,152.0,149.75,150.05,231887.0,
2016-09-12,150.0,152.9,147.75,150.55,103287.0,
2016-09-14,150.55,151.8,149.95,150.2,63867.0,
2016-09-15,150.35,151.7,149.9,150.3,26473.0,
2016-09-16,152.9,152.9,149.3,150.0,366389.0,
2016-09-19,151.4,152.0,150.2,151.0,64594.0,
2016-09-20,150.5,151.7,149.7,150.0,485638.0,
2016-09-21,150.1,161.0,150.1,156.95,554496.0,
2016-09-22,158.15,166.4,158.15,162.3,442426.0,
2016-09-23,162.3,162.3,156.6,157.6,204359.0,
2016-09-26,157.0,158.75,155.2,157.75,73992.0,
2016-09-27,156.5,158.3,156.2,156.85,68872.0,
2016-09-28,155.3,165.45,155.3,164.55,766349.0,
2016-09-29,165.0,169.0,154.5,160.0,669603.0,
2016-09-30,156.05,160.05,155.05,156.05,145830.0,
2016-10-03,158.4,162.0,157.6,159.6,83933.0,
2016-10-04,160.4,160.8,158.0,158.75,39164.0,
2016-10-05,159.05,160.9,156.7,157.25,73384.0,
2016-10-06,157.25,159.85,156.5,157.25,73474.0,
2016-10-07,157.95,160.0,155.1,157.3,64573.0,
2016-10-10,159.5,159.7,158.0,158.25,119996.0,
2016-10-13,158.25,159.0,149.5,153.55,426390.0,
2016-10-14,155.8,157.5,153.05,156.05,57762.0,
2016-10-17,156.8,157.05,153.3,153.95,120830.0,
2016-10-18,155.35,158.0,154.05,156.3,44713.0,
2016-10-19,157.8,157.8,153.2,154.0,103446.0,
2016-10-20,155.75,156.5,154.1,154.4,123464.0,
2016-10-21,155.0,156.9,154.4,156.05,49164.0,
2016-10-24,156.35,157.0,154.5,155.2,74022.0,
2016-10-25,155.0,156.0,153.0,154.15,42557.0,
2016-10-26,154.5,155.95,153.25,154.4,63947.0,
2016-10-27,157.9,157.9,153.2,153.4,48480.0,
2016-10-28,153.8,156.0,151.35,153.3,139195.0,
2016-11-01,157.8,158.2,152.05,155.75,67611.0,
2016-11-02,155.8,157.25,153.6,154.35,113116.0,
2016-11-03,155.3,174.7,152.6,162.8,1425697.0,
2016-11-04,161.5,164.9,156.1,160.15,195735.0,
2016-11-07,166.5,166.5,160.55,163.4,224293.0,
2016-11-08,164.0,164.9,160.2,161.05,147222.0,
2016-11-09,153.35,160.0,149.25,157.05,284795.0,
2016-11-10,161.0,161.7,156.45,157.6,67572.0,
2016-11-11,151.5,154.75,150.5,151.35,76577.0,
2016-11-15,151.5,153.0,149.55,150.15,114722.0,
2016-11-16,153.4,156.15,149.9,152.85,310324.0,
2016-11-17,154.7,155.5,151.1,153.25,112933.0,
2016-11-18,154.25,154.25,151.85,152.35,22677.0,
2016-11-21,154.7,155.9,149.4,150.25,75821.0,
2016-11-22,153.7,153.7,144.0,147.5,90172.0,
2016-11-23,147.35,150.95,145.6,146.4,78276.0,
2016-11-24,146.4,151.7,146.0,148.15,37906.0,
2016-11-25,149.95,158.85,148.55,158.25,210748.0,
2016-11-28,158.2,160.45,155.0,158.3,69341.0,
2016-11-29,159.0,159.9,156.05,156.5,45373.0,
2016-11-30,158.4,158.4,155.55,156.4,19765.0,
2016-12-01,158.7,158.7,152.65,153.35,74308.0,
