,Open,High,Low,Close,Volume,DeliveryPct
2021-12-10,845.0,940.0,828.0,906.85,13464811.0,34.82
2021-12-13,901.0,924.6,887.35,897.05,2037074.0,46.82
2021-12-14,890.1,903.95,852.35,861.5,925078.0,59.24
2021-12-15,862.95,866.55,801.05,807.85,860199.0,55.44
2021-12-16,805.0,848.6,795.0,833.95,1029500.0,34.3
2021-12-17,829.5,847.0,801.65,819.35,451968.0,52.51
2021-12-20,803.5,819.35,786.35,796.7,349122.0,63.08
2021-12-21,797.0,809.7,795.35,798.25,284499.0,73.74
2021-12-22,798.25,810.2,794.2,799.9,220739.0,61.55
2021-12-23,803.0,805.0,797.55,799.1,188042.0,63.66
2021-12-24,799.15,802.55,784.65,787.55,190376.0,71.67
2021-12-27,784.0,801.9,784.0,796.2,420859.0,89.67
2021-12-28,800.0,800.0,792.0,793.85,507997.0,89.56
2021-12-29,791.2,811.2,784.55,788.4,237093.0,46.11
2021-12-30,788.9,796.45,787.85,790.7,117938.0,60.16
2021-12-31,792.0,792.0,784.25,787.65,113435.0,53.37
2022-01-03,789.0,797.6,774.0,779.5,231314.0,77.99
2022-01-04,783.0,792.0,770.35,773.6,232422.0,55.23
2022-01-05,774.0,779.5,753.85,761.7,427959.0,62.66
2022-01-06,755.0,787.0,755.0,780.4,695515.0,76.82
2022-01-07,765.0,771.15,762.55,766.95,1692011.0,79.32
2022-01-10,767.0,804.0,767.0,794.8,377827.0,49.93
2022-01-11,800.0,800.0,781.05,787.65,464034.0,18.12
2022-01-12,790.0,833.0,784.15,820.05,629256.0,50.39
2022-01-13,823.0,833.7,811.05,822.35,170775.0,61.2
2022-01-14,823.7,831.5,816.6,829.25,259710.0,67.63
2022-01-17,834.0,861.0,821.15,858.6,423845.0,66.44
2022-01-18,861.0,865.65,835.7,843.65,289772.0,56.76
2022-01-19,840.0,840.0,818.0,819.1,123509.0,53.51
2022-01-20,818.75,825.75,811.05,815.45,104577.0,46.72
2022-01-21,811.05,828.75,802.3,817.3,232980.0,58.47
2022-01-24,819.85,819.85,775.0,779.35,218959.0,53.17
2022-01-25,770.0,791.95,762.4,776.5,148007.0,57.22
2022-01-26,770.0,791.95,762.4,776.5,148007.0,57.22
2022-01-27,775.0,804.75,774.05,788.55,211217.0,61.32
2022-01-28,797.0,809.7,793.1,797.85,116479.0,58.89
2022-01-31,809.0,810.0,761.0,768.0,160188.0,62.75
2022-02-01,784.0,799.0,776.75,788.1,145061.0,43.63
2022-02-02,788.1,799.8,775.15,779.1,105867.0,61.07
2022-02-03,788.9,788.9,772.0,776.35,83573.0,58.65
2022-02-04,777.0,782.1,768.0,772.2,154012.0,76.4
2022-02-07,772.0,780.9,771.55,772.6,109545.0,71.28
2022-02-08,775.05,783.95,770.0,773.35,170347.0,58.43
2022-02-09,776.0,788.95,771.25,774.85,803081.0,84.07
2022-02-10,780.9,794.95,773.0,788.55,84144.0,55.6
2022-02-11,781.1,810.0,768.05,772.35,86601.0,56.1
2022-02-14,755.0,759.95,728.15,735.35,1158504.0,86.8
2022-02-15,743.0,744.0,712.15,729.35,109225.0,54.21
2022-02-16,743.7,745.15,728.0,735.15,124234.0,68.8
2022-02-17,748.85,748.85,730.0,733.85,102268.0,68.85
2022-02-18,727.1,737.15,725.0,727.4,52797.0,53.73
2022-02-21,727.0,732.0,708.0,726.0,211196.0,82.73
2022-02-22,707.85,718.0,700.0,702.95,103346.0,60.63
2022-02-23,706.95,714.0,675.0,679.25,167272.0,67.65
2022-02-24,657.65,668.45,633.0,637.3,272531.0,65.57
2022-02-25,635.55,669.0,635.55,661.5,1476539.0,94.24
2022-02-28,661.7,703.5,645.75,699.3,116281.0,39.77
2022-03-01,661.7,703.5,645.75,699.3,116281.0,39.77
2022-03-02,699.0,701.95,686.0,693.9,99662.0,55.18
2022-03-03,703.9,703.9,678.1,686.6,75147.0,48.24
2022-03-04,686.6,698.95,583.6,652.05,183244.0,57.34
2022-03-07,647.0,648.4,610.5,620.8,296551.0,73.17
2022-03-08,620.0,634.85,604.65,610.45,405943.0,80.35
2022-03-09,612.0,638.0,610.5,631.9,443379.0,75.95
2022-03-10,645.0,647.95,625.9,635.9,199923.0,68.49
2022-03-11,644.0,644.0,630.0,636.55,94736.0,62.07
2022-03-14,637.5,641.95,620.2,631.45,184707.0,65.71
2022-03-15,637.8,638.5,615.0,618.9,163014.0,71.22
2022-03-16,630.0,630.85,602.5,608.8,324517.0,54.9
2022-03-17,612.5,644.0,612.1,638.05,626413.0,62.99
2022-03-18,612.5,644.0,612.1,638.05,626413.0,62.99
2022-03-21,655.9,664.0,644.15,655.8,268917.0,44.97
2022-03-22,664.0,664.0,643.0,655.0,237440.0,56.48
2022-03-23,662.6,666.8,648.05,660.15,180465.0,47.63
2022-03-24,661.0,705.0,655.0,697.45,435650.0,42.65
2022-03-25,707.3,721.55,685.05,709.4,400776.0,36.98
2022-03-28,715.0,723.0,690.0,695.0,309369.0,56.92
2022-03-29,702.0,706.9,682.45,688.0,416685.0,76.68
2022-03-30,697.9,706.8,690.9,700.7,236800.0,49.04
2022-03-31,702.0,714.85,698.0,710.45,314946.0,69.92
2022-04-01,715.95,748.0,712.05,742.7,352780.0,51.67
2022-04-04,749.0,749.0,731.95,738.3,249900.0,54.36
2022-04-05,744.2,760.2,738.0,744.85,239426.0,53.99
2022-04-06,735.0,757.0,728.05,753.0,183984.0,45.21
2022-04-07,759.75,759.75,730.3,740.7,226386.0,56.05
2022-04-08,746.6,753.0,736.7,748.35,131136.0,44.07
2022-04-11,752.0,757.95,741.05,750.2,105763.0,49.4
2022-04-12,749.0,754.0,735.0,744.45,99068.0,54.67
2022-04-13,745.0,747.95,722.7,728.75,121529.0,61.53
2022-04-14,745.0,747.95,722.7,728.75,121529.0,61.53
2022-04-15,745.0,747.95,722.7,728.75,121529.0,61.53
2022-04-18,728.0,731.65,711.6,729.35,105809.0,47.55
2022-04-19,729.35,733.85,707.5,712.55,102024.0,51.3
2022-04-20,715.0,723.75,705.3,715.95,94054.0,41.5
2022-04-21,720.0,720.0,677.5,680.9,389015.0,48.31
2022-04-22,681.9,695.0,679.6,689.3,349189.0,75.51
2022-04-25,680.0,698.7,670.1,685.25,208105.0,63.12
2022-04-26,695.85,695.85,675.0,679.75,142757.0,61.73
2022-04-27,682.0,688.9,676.05,684.75,122528.0,55.44
2022-04-28,681.0,705.5,681.0,702.7,174754.0,61.25
2022-04-29,705.0,719.8,692.25,711.35,156928.0,48.19
2022-05-02,705.0,715.6,692.85,701.55,232869.0,78.74
2022-05-03,705.0,715.6,692.85,701.55,232869.0,78.74
2022-05-04,707.0,728.0,699.0,719.5,159340.0,57.86
2022-05-05,728.9,740.0,720.35,730.85,313751.0,54.72
2022-05-06,710.0,734.9,694.7,726.2,215845.0,58.29
2022-05-09,711.7,717.45,694.0,698.0,566614.0,86.7
2022-05-10,685.3,705.0,685.3,697.4,109027.0,57.42
2022-05-11,697.95,698.0,674.2,685.85,168007.0,52.81
2022-05-12,684.9,684.9,626.05,647.95,253248.0,51.98
2022-05-13,660.0,665.0,640.35,653.25,125879.0,49.4
2022-05-16,665.35,707.75,641.75,674.45,238979.0,55.33
2022-05-17,679.95,679.95,647.0,650.3,280290.0,54.0
2022-05-18,655.0,663.95,646.4,655.8,227737.0,68.3
2022-05-19,650.0,666.8,642.75,652.5,114755.0,57.21
2022-05-20,658.0,689.45,658.0,679.4,348841.0,63.56
2022-05-23,679.4,748.5,665.3,742.2,604996.0,32.26
2022-05-24,744.5,752.5,720.0,736.4,421299.0,46.02
2022-05-25,728.0,731.3,700.05,709.15,260026.0,55.42
2022-05-26,709.15,716.5,654.0,663.0,360769.0,37.41
2022-05-27,674.9,674.9,652.0,663.55,255000.0,46.07
2022-05-30,656.0,675.7,656.0,671.8,183619.0,45.95
2022-05-31,675.2,685.85,665.0,682.8,247428.0,51.48
2022-06-01,689.65,719.0,685.15,709.05,199763.0,49.05
2022-06-02,712.8,725.0,675.2,718.5,292912.0,46.19
2022-06-03,718.15,722.6,700.3,708.8,188058.0,48.01
2022-06-06,708.0,708.0,693.65,702.45,201095.0,53.17
2022-06-07,702.4,708.9,696.75,700.1,176961.0,54.77
2022-06-08,705.0,715.35,691.0,700.85,205415.0,61.11
2022-06-09,700.0,704.4,684.4,700.7,198341.0,57.08
2022-06-10,699.8,702.1,682.0,687.9,170056.0,58.35
2022-06-13,685.0,699.45,667.45,685.4,441718.0,53.86
2022-06-14,677.65,725.0,672.2,703.1,706583.0,52.73
2022-06-15,702.1,702.1,686.25,692.0,159796.0,58.52
2022-06-16,695.0,699.05,659.0,664.15,191710.0,39.98
2022-06-17,650.0,650.9,605.25,622.75,4692950.0,64.46
2022-06-20,625.9,629.15,610.0,616.75,93353.0,34.61
2022-06-21,616.75,625.0,606.4,608.8,153303.0,43.18
2022-06-22,610.55,611.85,595.0,596.8,161985.0,40.66
2022-06-23,596.8,604.15,556.2,562.5,1148653.0,73.54
2022-06-24,569.0,571.5,530.15,533.25,772754.0,41.68
2022-06-27,540.0,540.0,511.0,515.05,792107.0,37.39
2022-06-28,515.0,529.0,507.15,511.8,1188373.0,45.49
2022-06-29,509.0,517.25,495.1,497.7,908330.0,55.12
2022-06-30,499.1,502.4,483.2,488.7,865391.0,55.12
2022-07-01,490.0,490.0,469.05,473.95,1600279.0,63.63
2022-07-04,470.05,500.95,470.05,497.95,1818542.0,52.5
2022-07-05,500.0,500.0,482.4,486.0,722688.0,68.47
2022-07-06,487.0,493.0,472.1,476.0,1030097.0,54.71
2022-07-07,486.6,536.5,481.3,531.9,4721990.0,30.11
2022-07-08,537.4,539.0,522.2,534.7,1259495.0,32.37
2022-07-11,527.0,554.7,526.0,552.45,619753.0,35.5
2022-07-12,555.3,593.4,554.45,563.05,2363446.0,26.14
2022-07-13,569.2,590.0,566.3,582.65,838089.0,27.31
2022-07-14,587.85,601.0,572.0,596.4,832719.0,28.35
