,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,1453.0,1469.0,1427.55,1460.55,7051.0,
2016-08-23,1460.0,1495.0,1432.05,1443.75,20407.0,
2016-08-24,1446.95,1469.9,1432.9,1459.2,5728.0,
2016-08-25,1451.15,1469.45,1433.55,1439.9,31491.0,
2016-08-26,1450.65,1454.9,1422.3,1435.8,8518.0,
2016-08-29,1434.95,1450.0,1423.15,1428.65,8076.0,
2016-08-30,1421.65,1446.9,1420.0,1441.85,44449.0,
2016-08-31,1450.0,1500.0,1445.0,1454.75,28370.0,
2016-09-01,1446.7,1466.7,1438.65,1449.75,24275.0,
2016-09-02,1449.75,1466.9,1441.0,1443.15,22375.0,
2016-09-06,1463.0,1464.0,1444.0,1457.15,164070.0,
2016-09-07,1457.0,1480.4,1430.5,1434.85,41560.0,
2016-09-08,1424.0,1457.4,1402.5,1440.25,97098.0,
2016-09-09,1440.0,1462.95,1421.6,1430.05,5685.0,
2016-09-12,1420.0,1430.0,1406.7,1416.9,8043.0,
2016-09-14,1431.1,1438.9,1408.0,1417.35,5561.0,
2016-09-15,1419.95,1424.2,1402.6,1404.7,13611.0,
2016-09-16,1424.45,1424.45,1403.0,1404.8,23921.0,
2016-09-19,1424.0,1424.0,1402.3,1410.15,11211.0,
2016-09-20,1410.05,1420.0,1400.0,1401.65,11869.0,
2016-09-21,1405.1,1413.3,1393.0,1399.85,51331.0,
2016-09-22,1420.0,1420.0,1373.4,1378.6,27122.0,
2016-09-23,1378.6,1383.2,1366.05,1371.4,15192.0,
2016-09-26,1371.0,1371.0,1345.0,1349.3,81804.0,
2016-09-27,1350.0,1380.0,1317.0,1352.9,48496.0,
2016-09-28,1341.65,1370.0,1341.25,1354.05,15494.0,
2016-09-29,1356.5,1375.0,1326.25,1339.75,15042.0,
2016-09-30,1339.75,1339.75,1316.1,1329.6,39005.0,
2016-10-03,1335.0,1359.3,1325.0,1353.85,20521.0,
2016-10-04,1355.0,1377.95,1346.0,1350.7,22658.0,
2016-10-05,1374.0,1374.0,1341.85,1349.2,14760.0,
2016-10-06,1349.2,1361.0,1343.0,1357.8,288618.0,
2016-10-07,1364.95,1370.0,1360.0,1363.85,13958.0,
2016-10-10,1337.0,1371.2,1337.0,1364.85,33287.0,
2016-10-13,1341.0,1367.4,1341.0,1352.75,6527.0,
2016-10-14,1362.4,1374.9,1350.55,1360.2,14488.0,
2016-10-17,1350.05,1365.0,1345.0,1345.2,7209.0,
2016-10-18,1345.2,1365.3,1345.0,1356.5,6893.0,
2016-10-19,1356.05,1364.0,1339.95,1344.45,6628.0,
2016-10-20,1353.3,1360.0,1336.55,1338.95,6626.0,
2016-10-21,1344.0,1429.5,1330.0,1398.9,29334.0,
2016-10-24,1375.5,1456.0,1375.5,1420.1,16118.0,
2016-10-25,1422.0,1422.0,1366.05,1373.75,226955.0,
2016-10-26,1385.9,1398.65,1365.0,1386.1,12560.0,
2016-10-27,1386.0,1397.5,1363.0,1369.45,5622.0,
2016-10-28,1355.1,1380.0,1355.1,1371.3,42641.0,
2016-11-01,1445.9,1445.9,1376.4,1397.1,32955.0,
2016-11-02,1399.75,1399.75,1365.0,1373.35,35193.0,
2016-11-03,1373.05,1395.95,1356.3,1364.35,70019.0,
2016-11-04,1370.3,1370.3,1322.1,1341.35,19735.0,
2016-11-07,1350.0,1380.0,1310.05,1326.3,16741.0,
2016-11-08,1334.9,1379.85,1312.0,1361.3,6903.0,
2016-11-09,1315.0,1364.0,1126.0,1339.8,12592.0,
2016-11-10,1373.25,1373.3,1335.0,1355.75,13322.0,
2016-11-11,1355.2,1355.2,1295.0,1311.95,19268.0,
2016-11-15,1311.95,1345.05,1230.0,1275.85,30899.0,
2016-11-16,1314.2,1314.2,1241.05,1258.25,114834.0,
2016-11-17,1295.95,1295.95,1233.3,1240.8,4094.0,
2016-11-18,1258.0,1258.0,1210.05,1234.8,9750.0,
2016-11-21,1248.1,1253.85,1210.65,1227.45,43683.0,
2016-11-22,1212.45,1249.7,1195.05,1212.5,26176.0,
2016-11-23,1248.95,1248.95,1189.0,1209.4,12785.0,
2016-11-24,1224.05,1225.95,1201.0,1208.05,4580.0,
2016-11-25,1200.0,1226.9,1200.0,1211.85,12931.0,
2016-11-28,1230.0,1230.0,1195.0,1199.2,7152.0,
2016-11-29,1214.95,1233.0,1200.0,1220.45,30812.0,
2016-11-30,1224.9,1290.0,1216.95,1277.6,53082.0,
2016-12-01,1255.0,1281.0,1222.0,1238.85,19575.0,
2016-12-02,1232.5,1247.0,1205.0,1218.5,7030.0,
2016-12-05,1232.85,1232.85,1202.2,1214.0,20269.0,
2016-12-06,1214.55,1215.0,1197.0,1205.55,12853.0,
2016-12-07,1215.0,1215.0,1189.95,1200.6,4088.0,
2016-12-08,1200.55,1224.65,1200.55,1217.7,37361.0,
2016-12-09,1216.85,1220.5,1205.95,1210.95,6571.0,
2016-12-12,1210.95,1230.0,1202.25,1221.8,9169.0,
2016-12-13,1221.8,1249.7,1210.95,1242.7,3853.0,
2016-12-14,1235.8,1249.95,1203.05,1212.8,36364.0,
2016-12-15,1202.5,1231.95,1190.05,1198.1,10062.0,
2016-12-16,1198.1,1198.1,1158.9,1174.6,46367.0,
2016-12-19,1197.0,1197.65,1170.0,1183.6,62074.0,
2016-12-20,1190.0,1190.0,1160.15,1176.55,10175.0,
2016-12-21,1168.0,1183.75,1166.5,1174.65,27502.0,
2016-12-22,1173.15,1173.15,1146.25,1150.2,6923.0,
2016-12-23,1151.95,1159.0,1132.75,1139.4,34439.0,
2016-12-26,1165.0,1165.0,1102.0,1115.55,8309.0,
2016-12-27,1118.9,1123.9,1105.0,1113.6,18839.0,
