,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,784.25,785.0,765.0,770.1,5501620.0,
2016-08-23,770.7,770.7,760.0,762.35,3756220.0,
2016-08-24,765.0,775.35,763.55,769.7,3806381.0,
2016-08-25,773.95,777.3,762.05,764.95,2285008.0,
2016-08-26,766.25,768.65,752.75,755.25,1978922.0,
2016-08-29,757.9,762.4,746.6,759.3,2362413.0,
2016-08-30,763.8,777.0,760.95,774.85,1726397.0,
2016-08-31,778.0,782.0,771.3,775.65,3405144.0,
2016-09-01,775.6,778.9,767.25,770.05,1183855.0,
2016-09-02,774.0,784.3,768.0,782.35,1867621.0,
2016-09-06,786.0,789.0,778.3,782.65,1556462.0,
2016-09-07,783.0,784.55,776.55,779.25,1353192.0,
2016-09-08,780.0,809.75,777.3,808.05,3663747.0,
2016-09-09,811.0,818.5,794.1,797.45,4003165.0,
2016-09-12,789.0,795.9,779.1,787.05,2621800.0,
2016-09-14,795.0,796.2,774.4,779.85,3858523.0,
2016-09-15,784.0,792.6,782.15,786.35,1479337.0,
2016-09-16,790.05,794.0,781.25,783.8,2303954.0,
2016-09-19,784.55,789.7,780.55,782.5,1283403.0,
2016-09-20,785.0,786.6,777.0,778.75,2078649.0,
2016-09-21,782.0,784.5,776.35,778.85,1572757.0,
2016-09-22,786.05,788.85,783.3,786.75,1730313.0,
2016-09-23,790.1,790.75,778.0,780.05,1768021.0,
2016-09-26,781.0,784.25,764.6,766.15,2308824.0,
2016-09-27,766.5,776.9,766.15,770.15,1556490.0,
2016-09-28,766.2,773.75,763.4,764.8,2342694.0,
2016-09-29,769.0,770.0,732.0,735.85,5321213.0,
2016-09-30,739.95,745.0,735.1,742.7,2051308.0,
2016-10-03,750.0,761.0,750.0,757.05,1856097.0,
2016-10-04,762.0,773.0,759.25,764.3,2557812.0,
2016-10-05,768.5,768.5,757.3,759.45,1847125.0,
2016-10-06,765.0,766.55,750.1,752.9,1755184.0,
2016-10-07,756.0,756.2,748.8,751.2,1554398.0,
2016-10-10,752.95,758.0,750.0,755.45,1365905.0,
2016-10-13,749.2,753.9,735.1,739.7,2996697.0,
2016-10-14,740.9,747.0,737.4,745.5,1849542.0,
2016-10-17,747.3,747.4,732.0,733.95,1510291.0,
2016-10-18,735.95,745.3,735.5,743.5,1901132.0,
