,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,468.0,473.7,456.55,458.85,5025105.0,
2016-08-23,459.0,466.9,453.1,464.7,1361993.0,
2016-08-24,469.7,469.7,461.75,463.7,826079.0,
2016-08-25,464.3,472.0,463.0,467.55,1171073.0,
2016-08-26,469.0,476.5,465.05,469.65,895389.0,
2016-08-29,467.65,474.45,464.65,467.1,808224.0,
2016-08-30,466.25,478.65,466.25,474.4,1000974.0,
2016-08-31,472.6,483.0,469.45,472.4,1077276.0,
2016-09-01,472.7,475.45,464.3,466.8,664779.0,
2016-09-02,464.0,473.9,464.0,470.1,696913.0,
2016-09-06,470.3,482.0,465.75,480.1,1445827.0,
2016-09-07,480.9,494.25,479.85,488.85,1018488.0,
2016-09-08,488.0,498.3,482.25,484.05,909941.0,
2016-09-09,488.4,488.4,474.0,475.7,813227.0,
2016-09-12,466.3,467.45,446.3,452.6,849052.0,
2016-09-14,453.3,485.0,453.3,481.75,1761310.0,
2016-09-15,481.0,515.25,474.65,508.65,3622448.0,
2016-09-16,514.85,518.8,487.55,495.45,2882379.0,
2016-09-19,496.9,501.1,485.1,490.55,1476011.0,
2016-09-20,489.0,499.0,483.35,487.5,1144561.0,
2016-09-21,490.8,495.75,480.3,488.65,1137891.0,
2016-09-22,498.0,510.8,491.75,508.25,1451645.0,
2016-09-23,506.0,506.95,493.5,496.3,1081488.0,
2016-09-26,492.9,506.45,489.25,497.05,1656526.0,
2016-09-27,501.0,509.2,493.2,494.65,2865514.0,
2016-09-28,498.85,506.95,495.35,503.5,1263764.0,
2016-09-29,506.0,508.35,469.4,481.15,2643146.0,
2016-09-30,482.0,511.0,477.0,505.15,1042348.0,
2016-10-03,514.0,534.0,501.3,531.25,2381563.0,
2016-10-04,536.0,536.0,516.5,523.9,1075509.0,
2016-10-05,524.7,532.95,524.7,527.4,764743.0,
2016-10-06,529.4,539.1,520.1,524.25,1319397.0,
2016-10-07,526.5,566.95,524.25,562.85,3770810.0,
2016-10-10,562.0,564.9,551.8,557.55,2342105.0,
2016-10-13,555.8,555.8,523.7,536.3,2655510.0,
2016-10-14,538.0,546.9,532.15,541.95,1394236.0,
2016-10-17,541.5,545.0,521.3,525.25,995047.0,
2016-10-18,528.0,545.35,526.5,543.3,1708916.0,
2016-10-19,543.3,546.8,530.7,533.2,1523273.0,
2016-10-20,535.0,548.9,534.1,537.3,1815730.0,
2016-10-21,538.95,538.95,526.25,531.8,1067374.0,
2016-10-24,533.0,540.0,529.15,534.1,1273414.0,
2016-10-25,536.65,538.0,527.75,532.35,894105.0,
2016-10-26,531.95,550.5,527.25,539.75,2035099.0,
2016-10-27,538.0,544.5,529.7,534.8,1536117.0,
2016-10-28,540.0,555.35,532.7,547.0,1611813.0,
2016-11-01,550.0,552.05,541.05,543.0,1276384.0,
2016-11-02,537.0,538.8,523.35,534.4,1167366.0,
2016-11-03,534.2,541.8,526.3,528.9,929825.0,
2016-11-04,526.1,534.1,507.1,521.05,1177487.0,
2016-11-07,525.0,533.55,522.2,528.4,923076.0,
2016-11-08,529.9,536.15,522.75,525.7,744554.0,
2016-11-09,505.05,516.5,475.0,504.0,1668045.0,
2016-11-10,512.4,537.1,511.0,532.65,1609726.0,
2016-11-11,526.0,532.2,495.2,500.25,1083494.0,
2016-11-15,503.9,505.3,478.55,488.8,1570574.0,
2016-11-16,486.1,500.0,482.4,490.9,894790.0,
2016-11-17,490.1,496.85,476.85,479.45,933386.0,
2016-11-18,475.0,479.45,456.35,458.85,1625788.0,
2016-11-21,458.0,458.0,436.35,438.8,2017622.0,
2016-11-22,446.95,456.4,440.05,451.4,1366608.0,
2016-11-23,451.4,451.4,440.15,447.6,1569489.0,
2016-11-24,443.0,456.0,436.8,444.4,1986595.0,
2016-11-25,450.05,462.85,446.65,459.85,1288564.0,
2016-11-28,459.85,465.6,456.0,460.7,868048.0,
2016-11-29,464.7,473.2,460.5,464.75,1207382.0,
2016-11-30,465.2,476.0,462.2,470.8,1042622.0,
2016-12-01,467.1,469.95,459.15,461.8,828448.0,
2016-12-02,455.0,457.4,434.15,436.7,1620218.0,
2016-12-05,456.0,497.7,450.0,492.6,11644194.0,
2016-12-06,504.0,505.0,471.65,474.1,9650153.0,
2016-12-07,479.6,483.0,465.85,470.05,3013800.0,
2016-12-08,477.0,484.8,473.55,481.2,2189619.0,
2016-12-09,484.7,525.8,478.0,517.4,9975348.0,
2016-12-12,510.0,517.65,496.8,499.1,5155723.0,
2016-12-13,503.95,511.4,492.8,496.9,2897850.0,
2016-12-14,500.85,508.4,495.2,499.15,2487435.0,
2016-12-15,499.15,504.8,492.5,495.95,1886137.0,
2016-12-16,499.6,502.7,492.9,494.3,1490510.0,
2016-12-19,494.3,494.5,480.3,485.4,1626335.0,
