,Open,High,Low,Close,Volume,DeliveryPct
2024-11-13,420.0,465.8,391.0,456.0,112960103.0,49.56
2024-11-14,473.15,489.4,418.6,430.7,56141395.0,22.13
2024-11-18,416.1,438.7,410.4,420.1,28579217.0,26.93
2024-11-19,424.0,430.9,408.85,412.45,12463968.0,31.36
2024-11-20,424.0,430.9,408.85,412.45,12463968.0,31.36
2024-11-21,409.0,423.7,402.0,416.85,11443031.0,28.33
2024-11-22,414.2,419.75,410.0,416.6,3942312.0,29.14
2024-11-25,418.8,441.4,417.2,430.7,11690777.0,38.94
2024-11-26,443.0,471.0,438.9,461.9,15942914.0,27.31
2024-11-27,468.0,508.0,465.55,499.05,40301929.0,20.58
2024-11-28,507.4,517.0,481.05,491.5,14951742.0,22.64
2024-11-29,489.95,493.5,454.6,470.75,16060894.0,26.11
2024-12-02,472.0,503.65,464.35,493.7,10286055.0,20.18
2024-12-03,505.0,541.95,486.05,501.85,26879359.0,19.79
2024-12-04,510.0,534.8,509.85,517.8,19112635.0,30.12
2024-12-05,519.7,576.7,511.0,540.0,47711029.0,20.28
2024-12-06,540.0,552.8,530.05,544.7,13655139.0,13.63
2024-12-09,545.65,547.75,528.6,536.85,9929104.0,38.18
2024-12-10,560.0,567.9,540.0,543.75,11833298.0,24.14
2024-12-11,527.0,530.85,516.5,522.55,14344375.0,37.22
2024-12-12,522.0,524.85,501.0,504.3,8538402.0,37.56
2024-12-13,506.2,536.7,504.3,532.35,15929277.0,30.57
2024-12-16,538.0,612.4,533.0,596.35,48167926.0,23.86
2024-12-17,590.0,613.4,580.8,586.4,39259581.0,18.44
2024-12-18,589.0,605.25,572.1,577.35,20125575.0,26.25
2024-12-19,570.0,598.0,568.25,582.2,19658494.0,25.09
2024-12-20,588.0,608.8,586.4,597.45,20480867.0,30.66
2024-12-23,605.3,617.3,578.25,583.65,21999304.0,26.5
2024-12-24,589.0,594.0,561.1,568.1,11010976.0,25.28
2024-12-25,589.0,594.0,561.1,568.1,11010976.0,25.28
2024-12-26,571.9,575.8,555.2,559.05,7705705.0,26.71
2024-12-27,563.0,564.0,541.25,545.95,5812587.0,27.16
2024-12-30,548.0,568.0,542.0,550.65,7669754.0,15.83
2024-12-31,552.0,561.0,535.2,540.9,5400223.0,23.36
2025-01-01,544.25,554.4,538.2,542.35,4500187.0,15.67
2025-01-02,545.1,558.0,539.35,556.45,6483910.0,28.84
2025-01-03,557.0,558.85,540.0,541.45,6023536.0,47.08
2025-01-06,544.4,546.55,520.2,532.1,7196227.0,39.65
2025-01-07,538.0,538.0,505.15,509.25,12034803.0,43.85
2025-01-08,514.9,515.2,486.2,490.6,9326257.0,41.69
2025-01-09,505.15,521.4,497.05,507.5,14972600.0,17.46
2025-01-10,504.0,505.9,488.55,492.3,5638811.0,40.37
2025-01-13,481.15,487.9,458.3,463.1,8311612.0,36.13
2025-01-14,465.2,481.45,460.1,464.55,8019502.0,48.63
2025-01-15,474.0,494.4,470.05,487.3,11912348.0,27.12
2025-01-16,505.0,514.8,479.0,483.0,10078943.0,35.3
2025-01-17,483.5,489.5,467.2,473.1,6245233.0,32.33
2025-01-20,475.7,483.75,464.45,479.2,6636117.0,42.92
2025-01-21,470.0,471.3,427.05,440.45,19799027.0,28.56
2025-01-22,441.0,445.45,413.6,433.7,17727617.0,34.18
2025-01-23,434.5,465.0,433.9,460.9,13375717.0,30.42
2025-01-24,463.2,463.9,441.0,449.05,12225785.0,24.49
2025-01-27,442.0,443.45,405.35,410.05,12806362.0,41.11
2025-01-28,414.25,418.55,389.05,410.95,17253887.0,30.09
2025-01-29,412.0,429.95,406.75,428.2,11860436.0,33.87
2025-01-30,428.0,428.5,402.5,404.75,10278807.0,34.39
2025-01-31,410.9,420.45,408.4,416.1,5141139.0,25.95
