,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,545.95,545.95,530.0,531.3,944713.0,
2016-08-23,534.55,557.4,528.0,555.45,2277770.0,
2016-08-24,558.0,563.9,551.1,555.75,1331075.0,
2016-08-25,554.95,557.95,548.9,552.8,527447.0,
2016-08-26,549.1,569.65,549.1,565.3,1813291.0,
2016-08-29,565.0,572.65,559.4,562.3,891410.0,
2016-08-30,564.8,569.7,552.8,557.25,596464.0,
2016-08-31,558.4,563.9,552.25,556.15,802839.0,
2016-09-01,556.4,561.5,543.1,552.75,978832.0,
2016-09-02,554.0,563.45,550.85,558.95,757335.0,
2016-09-06,560.0,563.65,556.5,559.1,465299.0,
2016-09-07,560.0,576.0,558.25,568.75,1774356.0,
2016-09-08,572.0,574.6,562.15,565.4,405964.0,
2016-09-09,566.45,570.0,559.05,560.4,323891.0,
2016-09-12,551.0,551.0,526.1,530.4,1171779.0,
2016-09-14,529.0,559.5,529.0,555.65,1104053.0,
2016-09-15,558.0,558.7,544.45,548.1,482369.0,
2016-09-16,552.0,562.4,544.05,553.1,1450970.0,
2016-09-19,553.9,559.6,551.25,554.05,330501.0,
2016-09-20,558.0,558.25,545.45,547.1,404718.0,
2016-09-21,547.1,552.7,541.15,543.35,685033.0,
2016-09-22,550.0,556.9,545.55,553.35,704379.0,
2016-09-23,554.0,558.5,545.2,546.7,742165.0,
2016-09-26,547.0,550.85,538.05,540.0,490940.0,
2016-09-27,540.0,545.5,532.0,534.35,613655.0,
2016-09-28,536.2,542.9,528.6,541.05,836313.0,
2016-09-29,546.95,546.95,504.4,509.1,1048793.0,
2016-09-30,513.9,529.45,509.15,524.6,941464.0,
2016-10-03,528.0,537.8,527.0,535.85,707374.0,
2016-10-04,541.15,542.9,533.1,535.95,780294.0,
2016-10-05,538.0,554.9,535.8,551.75,1318429.0,
2016-10-06,554.75,557.5,538.65,540.95,921103.0,
2016-10-07,544.0,547.95,539.0,540.3,622515.0,
2016-10-10,544.4,551.85,542.1,544.95,579728.0,
2016-10-13,544.45,544.45,526.1,532.15,634303.0,
2016-10-14,534.95,546.15,532.0,541.4,721859.0,
2016-10-17,543.0,547.3,531.65,535.3,530721.0,
2016-10-18,539.0,545.45,539.0,540.6,714366.0,
2016-10-19,544.0,569.5,541.0,566.55,1772693.0,
2016-10-20,569.5,573.45,562.5,565.9,1403967.0,
2016-10-21,568.95,582.1,567.2,580.6,1766367.0,
2016-10-24,583.9,586.1,572.6,578.25,721291.0,
2016-10-25,567.0,571.9,552.55,566.65,3708169.0,
2016-10-26,565.0,573.95,539.05,548.95,828917.0,
2016-10-27,525.0,541.9,524.25,539.65,3698411.0,
2016-10-28,535.35,548.8,535.35,544.65,1045079.0,
2016-11-01,545.0,554.0,540.55,547.9,508300.0,
2016-11-02,543.05,545.0,527.7,529.35,730464.0,
2016-11-03,529.0,536.9,503.15,510.7,1462185.0,
2016-11-04,511.0,516.95,505.1,510.8,1117449.0,
2016-11-07,515.0,521.6,508.6,510.65,465296.0,
2016-11-08,515.9,515.9,505.65,511.7,271628.0,
2016-11-09,490.0,501.6,462.7,495.3,727491.0,
2016-11-10,499.9,517.0,499.9,505.8,615673.0,
2016-11-11,495.55,503.0,478.65,483.35,1176725.0,
2016-11-15,483.0,483.25,459.3,474.1,633686.0,
2016-11-16,480.0,483.3,461.05,471.15,371448.0,
2016-11-17,469.2,474.7,453.5,467.2,520569.0,
2016-11-18,467.2,475.0,459.0,464.15,283682.0,
2016-11-21,464.15,468.35,444.5,449.25,1115411.0,
2016-11-22,450.0,460.0,446.0,457.6,418263.0,
2016-11-23,457.6,474.2,451.0,460.3,559088.0,
2016-11-24,462.0,465.0,455.5,457.9,1440170.0,
2016-11-25,457.9,469.0,456.1,465.9,301242.0,
2016-11-28,467.8,481.65,466.35,476.6,534359.0,
2016-11-29,477.7,482.35,465.75,469.75,768164.0,
2016-11-30,470.15,481.2,468.85,479.4,621358.0,
2016-12-01,483.0,483.0,471.0,477.2,555283.0,
2016-12-02,475.0,480.0,467.7,470.35,466063.0,
2016-12-05,470.3,478.9,468.1,475.45,188630.0,
2016-12-06,480.0,503.7,478.9,494.95,2131154.0,
2016-12-07,498.0,499.75,483.5,493.3,548888.0,
2016-12-08,498.0,508.0,496.4,499.75,933895.0,
2016-12-09,504.9,513.0,500.6,503.25,793149.0,
2016-12-12,502.05,504.2,485.6,487.0,412391.0,
2016-12-13,491.9,493.35,480.5,484.7,366778.0,
2016-12-14,484.5,492.0,474.1,476.4,486710.0,
2016-12-15,472.0,481.9,467.85,479.35,389644.0,
2016-12-16,479.8,485.95,473.5,478.55,442384.0,
2016-12-19,477.0,490.7,476.85,489.05,669272.0,
2016-12-20,490.6,491.9,484.8,488.2,893056.0,
2016-12-21,488.2,492.0,486.1,488.9,425404.0,
2016-12-22,485.0,491.5,484.65,487.2,479888.0,
2016-12-23,488.0,491.3,481.9,486.5,412653.0,
2016-12-26,484.0,485.0,472.4,475.3,546623.0,
2016-12-27,477.0,490.0,473.5,486.9,311018.0,
2016-12-28,488.0,494.75,487.0,489.0,366808.0,
2016-12-29,486.0,497.75,486.0,493.7,662888.0,
2016-12-30,493.6,504.9,490.0,503.0,404738.0,
2017-01-02,506.0,513.0,505.45,506.95,606623.0,
2017-01-03,508.8,510.95,500.1,509.75,498357.0,
2017-01-04,511.25,517.35,503.4,505.1,548552.0,
2017-01-05,509.0,511.0,503.65,508.15,515847.0,
2017-01-06,512.95,514.5,506.0,507.8,389380.0,
2017-01-09,508.2,513.6,504.5,512.4,421451.0,
2017-01-10,514.6,516.0,507.2,510.25,757264.0,
2017-01-11,510.9,519.95,507.5,517.8,874389.0,
2017-01-12,518.0,520.0,513.0,515.45,416344.0,
2017-01-13,520.6,524.05,514.0,517.6,526040.0,
2017-01-16,517.45,521.5,514.05,518.45,278067.0,
2017-01-17,518.45,527.2,518.25,521.5,549254.0,
2017-01-18,522.9,536.4,522.2,529.35,1188232.0,
2017-01-19,527.85,533.0,526.0,526.8,305264.0,
2017-01-20,527.0,530.15,511.7,512.8,405528.0,
2017-01-23,513.8,517.4,508.3,512.15,496061.0,
2017-01-24,514.9,524.4,510.7,520.85,558720.0,
2017-01-25,522.6,544.8,520.55,541.3,1599089.0,
2017-01-27,541.2,547.9,537.45,542.95,1095539.0,
2017-01-30,541.15,546.65,535.8,541.0,467225.0,
2017-01-31,541.65,549.4,536.4,544.55,1103811.0,
2017-02-01,548.8,555.3,540.1,553.75,715970.0,
2017-02-02,550.0,568.3,547.1,561.4,905019.0,
2017-02-03,562.0,564.75,557.0,560.5,315552.0,
2017-02-06,560.0,566.0,557.3,560.75,434485.0,
2017-02-07,561.45,563.75,552.4,556.3,232921.0,
2017-02-08,559.0,578.2,558.2,573.3,1841501.0,
2017-02-09,576.0,581.3,565.5,570.3,1127454.0,
2017-02-10,573.0,577.4,565.0,567.35,345105.0,
2017-02-13,567.45,570.3,561.0,563.85,412489.0,
2017-02-14,564.0,566.9,557.2,564.4,322505.0,
2017-02-15,564.4,566.0,550.0,551.3,369557.0,
2017-02-16,551.1,569.9,549.05,567.1,405292.0,
2017-02-17,568.0,570.0,557.75,562.85,336439.0,
2017-02-20,563.95,572.25,561.0,569.4,276257.0,
2017-02-21,570.0,583.1,567.0,581.35,532854.0,
2017-02-22,585.0,591.0,581.7,583.85,1023533.0,
2017-02-23,584.0,585.35,573.3,576.15,1422381.0,
2017-02-27,576.75,578.0,563.15,566.5,578296.0,
2017-02-28,568.05,571.95,558.6,560.45,468069.0,
2017-03-01,563.55,570.15,557.35,568.2,647663.0,
2017-03-02,571.9,573.55,559.25,561.65,362975.0,
2017-03-03,561.7,564.85,549.65,562.65,493119.0,
2017-03-06,568.95,577.85,561.25,568.05,841578.0,
2017-03-07,571.0,578.8,566.2,575.1,677339.0,
2017-03-08,573.7,576.0,562.1,566.5,420575.0,
2017-03-09,565.0,567.9,560.15,562.65,392104.0,
2017-03-10,565.9,565.9,555.35,559.5,233102.0,
2017-03-14,565.0,569.45,562.3,564.7,261817.0,
2017-03-15,560.0,568.8,551.25,564.55,758474.0,
2017-03-16,565.0,582.0,563.75,580.5,1610755.0,
2017-03-17,584.0,592.0,575.05,577.6,669490.0,
2017-03-20,582.0,582.0,571.0,575.75,268679.0,
2017-03-21,576.0,581.65,571.6,578.5,329220.0,
2017-03-22,577.0,577.0,566.85,573.1,238934.0,
2017-03-23,572.0,577.8,569.3,576.5,233289.0,
2017-03-24,573.05,583.6,572.8,577.15,343604.0,
2017-03-27,579.0,586.0,572.0,583.3,467677.0,
2017-03-28,587.0,594.5,585.0,592.0,1120697.0,
2017-03-29,597.7,604.0,592.15,594.05,1084449.0,
2017-03-30,595.8,601.0,591.9,594.55,640184.0,
2017-03-31,594.55,606.5,591.6,598.75,480922.0,
2017-04-03,601.0,604.65,595.6,598.75,380150.0,
2017-04-05,596.15,614.0,595.05,611.55,655728.0,
2017-04-06,611.9,615.25,603.9,606.85,500422.0,
2017-04-07,604.2,610.4,601.15,605.05,272031.0,
2017-04-10,607.0,620.95,604.05,615.55,1331634.0,
2017-04-11,618.8,622.8,616.45,618.45,466698.0,
2017-04-12,619.0,624.25,607.6,622.25,482540.0,
2017-04-13,620.95,623.6,614.3,616.25,263019.0,
2017-04-17,616.25,632.1,610.35,629.55,553720.0,
2017-04-18,631.0,633.7,619.9,622.2,418019.0,
2017-04-19,623.0,641.4,619.7,638.5,539369.0,
2017-04-20,640.0,644.5,634.75,640.25,275569.0,
2017-04-21,640.25,645.7,634.05,638.25,311188.0,
2017-04-24,638.25,641.5,632.1,635.8,330064.0,
2017-04-25,636.0,642.7,633.65,638.7,275182.0,
2017-04-26,638.5,661.5,637.25,656.35,1711249.0,
2017-04-27,662.0,662.95,647.9,653.7,486657.0,
2017-04-28,656.0,659.0,648.85,656.8,165820.0,
2017-05-02,656.8,659.95,647.25,654.5,175289.0,
2017-05-03,651.0,657.0,644.0,646.65,505238.0,
2017-05-04,648.7,666.5,644.1,659.0,676641.0,
2017-05-05,658.7,658.7,623.35,635.65,413716.0,
2017-05-08,639.7,644.65,630.5,633.45,391126.0,
2017-05-09,633.1,641.3,631.55,635.95,324657.0,
2017-05-10,634.7,649.3,634.05,644.35,789033.0,
2017-05-11,646.3,649.0,634.1,638.1,292390.0,
2017-05-12,638.0,641.95,624.2,628.4,224589.0,
2017-05-15,628.9,636.8,627.1,629.8,348768.0,
2017-05-16,629.9,647.0,629.9,643.9,426939.0,
2017-05-17,645.0,647.0,636.05,638.1,304687.0,
2017-05-18,635.0,635.0,622.2,624.9,470858.0,
2017-05-19,628.0,635.6,610.0,616.45,285139.0,
2017-05-22,612.1,624.4,596.4,598.9,401429.0,
2017-05-23,595.1,609.45,580.95,601.9,739125.0,
2017-05-24,604.0,609.9,591.55,596.05,374373.0,
2017-05-25,596.55,619.0,596.55,615.25,472017.0,
2017-05-26,617.3,625.95,606.0,610.4,1217053.0,
2017-05-29,612.0,617.9,605.0,608.25,532092.0,
2017-05-30,609.0,629.5,601.75,627.15,467679.0,
2017-05-31,630.0,632.95,622.45,628.3,333451.0,
2017-06-01,632.0,641.0,630.0,637.45,545589.0,
2017-06-02,638.5,645.9,636.85,639.7,622003.0,
2017-06-05,641.8,647.9,631.8,637.75,619030.0,
2017-06-06,637.9,640.0,620.15,621.5,388282.0,
2017-06-07,624.0,629.95,618.05,624.95,594558.0,
2017-06-08,627.0,629.0,612.6,614.25,329876.0,
2017-06-09,616.0,623.0,610.55,620.45,288565.0,
2017-06-12,621.0,629.45,615.0,618.4,534797.0,
2017-06-13,620.0,625.75,614.9,616.55,347822.0,
2017-06-14,618.0,619.45,612.1,614.8,413128.0,
2017-06-15,615.0,621.9,609.75,612.0,236540.0,
2017-06-16,612.4,618.95,610.1,611.85,173600.0,
2017-06-19,614.0,622.95,613.35,615.9,470044.0,
2017-06-20,619.0,625.5,617.5,621.3,435554.0,
2017-06-21,623.5,631.9,618.3,620.95,759234.0,
2017-06-22,621.7,625.55,613.45,615.8,192837.0,
2017-06-23,615.8,617.65,598.45,605.9,618279.0,
2017-06-27,606.3,607.8,587.55,592.45,326655.0,
2017-06-28,592.0,602.95,585.0,597.5,653181.0,
2017-06-29,597.5,605.75,592.65,600.75,531463.0,
2017-06-30,602.0,609.85,588.85,606.95,260092.0,
2017-07-03,620.0,625.95,611.5,623.7,783075.0,
2017-07-04,629.4,631.75,623.0,625.55,733045.0,
2017-07-05,625.0,647.1,622.85,644.0,1513309.0,
2017-07-06,653.95,657.45,642.2,645.15,1658885.0,
2017-07-07,645.0,653.5,639.0,648.5,1021504.0,
2017-07-10,648.7,655.0,647.7,648.9,61841.0,
2017-07-11,650.0,652.0,634.75,637.3,618174.0,
2017-07-12,640.0,649.7,638.0,642.4,602803.0,
2017-07-13,643.85,645.7,637.7,641.0,341127.0,
2017-07-14,640.8,642.35,633.2,639.2,447766.0,
2017-07-17,639.85,641.85,628.2,629.75,689100.0,
2017-07-18,630.7,634.85,621.0,623.0,587324.0,
2017-07-19,624.7,631.25,623.3,628.35,601006.0,
2017-07-20,628.1,630.35,623.6,626.1,244824.0,
2017-07-21,627.4,628.05,618.65,623.2,684735.0,
2017-07-24,624.65,627.9,615.1,617.65,311004.0,
2017-07-25,617.05,625.6,617.05,618.15,276106.0,
2017-07-26,617.1,630.1,617.1,626.1,570537.0,
2017-07-27,627.5,634.7,618.95,620.8,575178.0,
2017-07-28,625.0,628.8,619.55,623.8,452522.0,
2017-07-31,612.7,622.25,611.5,619.9,537150.0,
2017-08-01,620.05,624.35,613.0,614.1,315243.0,
2017-08-02,618.95,622.35,610.3,612.25,461110.0,
2017-08-03,617.25,617.7,596.75,600.15,637146.0,
2017-08-04,600.7,607.55,594.2,606.35,1222797.0,
2017-08-07,607.95,611.75,605.05,607.0,352116.0,
2017-08-08,609.0,613.55,592.15,596.05,545816.0,
2017-08-09,582.45,584.9,562.5,579.05,2197681.0,
2017-08-10,574.1,587.9,560.4,576.75,1066641.0,
2017-08-11,566.1,583.8,560.45,578.35,785813.0,
2017-08-14,574.25,594.0,574.25,592.0,315373.0,
2017-08-16,595.0,603.9,586.0,601.1,366767.0,
2017-08-17,603.5,605.3,588.85,591.35,377020.0,
2017-08-18,586.15,598.8,583.55,592.7,465032.0,
2017-08-21,594.0,598.7,585.3,586.5,422721.0,
2017-08-22,587.2,594.7,576.5,582.8,509709.0,
2017-08-23,585.1,592.0,582.8,588.1,513770.0,
2017-08-24,590.95,597.55,575.0,583.85,394780.0,
2017-08-28,586.0,595.2,584.0,589.7,1117309.0,
2017-08-29,590.1,596.8,585.0,586.6,339087.0,
2017-08-30,590.0,596.6,586.0,588.85,598100.0,
2017-08-31,592.0,593.4,582.1,584.05,753076.0,
2017-09-01,586.85,591.65,584.0,586.55,192521.0,
2017-09-04,587.45,589.5,571.0,580.55,1012245.0,
2017-09-05,582.0,584.6,574.25,575.35,1051498.0,
2017-09-06,572.0,583.4,568.1,580.15,586041.0,
2017-09-07,575.35,622.5,575.35,616.95,2093670.0,
2017-09-08,625.0,628.0,613.55,623.6,1699372.0,
2017-09-11,629.8,630.0,618.0,619.5,389368.0,
2017-09-12,623.1,636.0,623.0,633.3,870084.0,
2017-09-13,639.95,647.0,632.05,636.35,2145011.0,
2017-09-14,651.25,653.75,635.0,636.65,1071997.0,
2017-09-15,636.7,640.7,628.25,636.95,426433.0,
2017-09-18,640.0,646.5,637.25,644.45,508334.0,
2017-09-19,647.5,667.5,642.0,657.6,2078420.0,
2017-09-20,660.9,660.9,643.1,645.8,807541.0,
2017-09-21,646.0,649.55,636.0,639.7,574454.0,
2017-09-22,638.95,638.95,612.25,614.45,956415.0,
2017-09-25,616.0,622.7,597.45,615.75,520244.0,
2017-09-26,615.0,633.55,612.95,625.55,530400.0,
2017-09-27,628.9,628.9,612.2,621.7,396924.0,
2017-09-28,624.0,641.9,611.0,635.4,2137711.0,
2017-09-29,639.7,645.5,631.0,643.15,1131247.0,
