,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,504.0,514.0,497.05,499.5,1020339.0,
2016-08-23,499.0,505.75,493.8,499.05,628872.0,
2016-08-24,502.2,509.0,500.3,503.85,467801.0,
2016-08-25,504.55,510.5,500.55,502.8,840369.0,
2016-08-26,505.0,529.3,503.95,524.5,1799339.0,
2016-08-29,525.0,535.5,515.8,526.9,911960.0,
2016-08-30,527.5,530.5,522.05,525.2,559812.0,
2016-08-31,525.0,536.5,521.4,526.05,635666.0,
2016-09-01,526.05,535.8,504.2,511.15,1588558.0,
2016-09-02,511.0,524.0,508.9,517.25,851027.0,
2016-09-06,520.0,524.0,516.5,518.6,631907.0,
2016-09-07,522.0,525.65,516.1,519.35,602048.0,
2016-09-08,522.0,531.0,516.6,524.95,731393.0,
2016-09-09,524.9,525.95,510.0,512.6,480387.0,
2016-09-12,507.5,509.9,490.9,495.95,435992.0,
2016-09-14,493.7,507.7,492.5,505.25,484827.0,
2016-09-15,501.95,505.15,497.15,501.85,302370.0,
2016-09-16,509.3,512.2,497.85,499.5,415292.0,
2016-09-19,500.5,527.75,500.5,522.05,1334334.0,
2016-09-20,522.0,533.6,519.0,527.3,970218.0,
2016-09-21,526.9,533.35,524.0,525.95,703254.0,
2016-09-22,530.0,544.9,530.0,533.6,1304052.0,
2016-09-23,532.0,541.65,530.0,531.65,432283.0,
2016-09-26,528.9,538.65,520.3,524.6,368700.0,
2016-09-27,525.5,530.95,522.0,524.55,520777.0,
2016-09-28,523.0,546.45,522.0,543.2,994988.0,
2016-09-29,549.1,550.0,510.05,513.65,1286821.0,
2016-09-30,518.0,579.35,513.2,565.65,2454258.0,
2016-10-03,565.0,582.75,554.55,568.7,2314816.0,
2016-10-04,573.0,583.7,568.25,574.7,967944.0,
2016-10-05,583.0,626.4,580.8,609.95,4529396.0,
2016-10-06,610.2,618.8,601.2,610.05,1188485.0,
2016-10-07,612.5,623.6,603.5,611.5,1189483.0,
2016-10-10,613.0,649.9,612.0,646.6,3624524.0,
2016-10-13,645.8,653.85,633.55,651.2,3531911.0,
2016-10-14,653.0,665.0,644.3,652.35,2105761.0,
2016-10-17,651.0,666.0,630.35,641.05,2241490.0,
2016-10-18,639.95,647.2,634.0,638.95,1220727.0,
2016-10-19,645.0,655.0,639.25,646.25,896335.0,
2016-10-20,649.0,656.7,638.0,641.65,891540.0,
2016-10-21,643.5,683.9,639.3,680.05,1500760.0,
2016-10-24,682.0,687.9,664.0,668.5,1092023.0,
2016-10-25,649.9,659.0,642.7,655.1,1238015.0,
2016-10-26,649.4,656.4,621.4,633.7,907407.0,
2016-10-27,612.55,634.45,604.15,626.7,1882755.0,
2016-10-28,631.5,648.5,628.0,635.3,729449.0,
2016-11-01,638.0,665.0,638.0,644.1,698521.0,
2016-11-02,636.1,641.0,623.4,625.6,448187.0,
2016-11-03,622.0,630.0,605.3,610.8,841909.0,
2016-11-04,615.0,639.0,607.05,620.25,1267600.0,
2016-11-07,624.4,634.55,600.5,606.6,643884.0,
2016-11-08,605.75,617.6,605.75,611.45,1024636.0,
2016-11-09,575.0,611.5,532.35,605.5,1686304.0,
2016-11-10,610.7,642.0,610.2,635.6,1153204.0,
