,Open,High,Low,Close,Volume,DeliveryPct
2020-02-27,364.1,365.65,360.25,363.3,1827751.0,52.35
2020-02-28,357.95,357.95,341.55,346.15,4494646.0,67.26
2020-03-02,351.05,355.25,333.6,338.8,3837169.0,55.13
2020-03-03,340.6,357.7,340.6,355.3,4204156.0,49.42
2020-03-04,356.2,357.6,339.0,349.2,2331888.0,47.27
2020-03-05,353.75,357.1,347.0,348.5,1890082.0,48.24
2020-03-06,340.0,346.9,334.15,344.5,4469801.0,67.11
2020-03-09,338.0,340.85,319.15,330.1,5653412.0,42.11
2020-03-10,338.0,340.85,319.15,330.1,5653412.0,42.11
2020-03-11,326.85,337.75,325.0,327.85,3475868.0,68.4
2020-03-12,320.0,320.0,297.2,303.45,5405030.0,54.62
2020-03-13,273.55,327.8,258.0,324.25,7428604.0,61.81
2020-03-16,305.3,314.3,296.6,300.3,3695163.0,49.15
2020-03-17,305.0,308.7,282.0,283.85,3307865.0,54.95
2020-03-18,285.0,288.6,262.0,267.45,4038726.0,56.3
2020-03-19,258.0,265.5,232.25,250.75,6319923.0,44.31
2020-03-20,247.0,273.4,244.5,264.2,3907691.0,36.72
2020-03-23,240.0,247.9,225.0,226.5,2922955.0,56.16
2020-03-24,249.15,256.1,213.7,249.05,6054692.0,53.17
2020-03-25,248.1,282.45,246.9,277.15,3964419.0,48.35
2020-03-26,279.5,293.55,263.45,279.05,3335026.0,44.81
2020-03-27,290.0,294.95,279.25,284.75,2980927.0,56.2
2020-03-30,282.5,284.0,272.65,281.4,2901726.0,58.79
2020-03-31,291.5,297.0,284.85,294.85,3270034.0,62.37
2020-04-01,292.85,304.0,277.35,280.0,5532600.0,68.22
2020-04-02,292.85,304.0,277.35,280.0,5532600.0,68.22
2020-04-03,286.0,286.0,264.0,267.15,5990376.0,48.65
2020-04-06,286.0,286.0,264.0,267.15,5990376.0,48.65
2020-04-07,280.0,286.75,271.0,284.55,6492026.0,66.65
2020-04-08,282.7,296.0,276.7,294.4,5331494.0,58.27
2020-04-09,301.4,319.0,300.2,309.05,7699408.0,48.69
2020-04-10,301.4,319.0,300.2,309.05,7699408.0,48.69
2020-04-13,315.0,315.0,301.1,305.05,3699875.0,56.85
2020-04-15,311.1,322.75,305.0,315.65,5721837.0,50.33
2020-04-16,317.85,333.7,315.65,324.05,8211111.0,54.39
2020-04-17,334.95,336.4,316.85,324.5,4845929.0,55.99
2020-04-20,324.6,332.85,321.15,324.7,3621444.0,46.61
2020-04-21,318.0,320.0,311.0,312.4,3462477.0,64.47
2020-04-22,314.65,335.45,310.0,330.15,4645157.0,57.44
2020-04-23,338.0,339.8,325.3,329.95,3747888.0,37.1
2020-04-24,323.0,336.85,323.0,326.1,5438859.0,58.17
2020-04-27,331.95,351.35,331.25,349.35,7426428.0,58.0
2020-04-28,352.85,355.6,340.45,342.9,3767231.0,53.39
2020-04-29,343.0,356.0,343.0,354.0,3653520.0,59.39
2020-04-30,359.95,361.4,349.85,351.6,4760235.0,53.61
2020-05-01,359.95,361.4,349.85,351.6,4760235.0,53.61
2020-05-04,340.0,347.2,333.0,334.95,3385502.0,55.63
2020-05-05,339.0,342.9,327.85,329.5,2833278.0,56.86
2020-05-06,331.45,341.2,325.65,335.55,3642689.0,62.2
2020-05-07,335.95,344.6,328.8,341.3,3605559.0,59.14
2020-05-08,347.0,355.5,344.1,348.75,3247803.0,49.96
2020-05-11,353.85,365.0,349.05,355.0,4792046.0,52.55
2020-05-12,354.45,363.3,346.65,358.7,3258000.0,41.59
2020-05-13,375.0,375.0,348.5,356.35,8536960.0,53.22
2020-05-14,350.0,364.5,350.0,362.8,5120949.0,48.92
2020-05-15,353.1,367.75,349.1,352.2,9452903.0,53.47
2020-05-18,351.2,355.8,343.4,347.1,4181455.0,47.09
2020-05-19,350.9,363.0,349.25,358.05,5696557.0,44.79
2020-05-20,359.6,363.8,356.55,360.75,3489683.0,48.83
2020-05-21,363.9,366.4,355.3,360.3,3883273.0,64.41
2020-05-22,361.55,366.95,356.2,362.45,3958853.0,48.43
2020-05-25,361.55,366.95,356.2,362.45,3958853.0,48.43
2020-05-26,366.8,376.45,360.0,371.95,7728762.0,62.54
2020-05-27,374.6,375.7,362.2,368.55,3384200.0,48.48
2020-05-28,367.95,373.4,366.0,371.15,3390919.0,58.83
2020-05-29,370.55,382.8,357.35,366.9,63552596.0,51.3
2020-06-01,368.5,369.4,359.5,362.85,9637219.0,57.01
2020-06-02,362.85,370.0,361.3,367.45,2638814.0,53.99
2020-06-03,372.0,372.0,364.55,366.65,4027688.0,51.83
2020-06-04,369.5,383.5,366.0,381.5,4535656.0,37.49
2020-06-05,384.0,387.8,377.0,379.75,3140726.0,49.02
2020-06-08,384.0,385.95,377.55,379.45,1565959.0,42.23
2020-06-09,382.0,388.85,379.5,384.25,2635662.0,40.45
2020-06-10,385.95,393.95,380.2,384.65,3409853.0,30.93
2020-06-11,386.0,386.5,374.4,375.8,2856042.0,40.32
2020-06-12,365.1,373.05,365.1,371.0,3179903.0,55.7
2020-06-15,371.5,379.95,366.4,370.0,2293579.0,48.43
2020-06-16,376.0,377.95,360.25,369.05,2343185.0,44.92
2020-06-17,366.0,373.25,366.0,369.6,2556996.0,49.14
2020-06-18,367.8,374.0,365.0,372.15,1929542.0,51.56
2020-06-19,373.85,383.0,373.35,377.3,4249130.0,72.93
2020-06-22,383.0,385.15,377.6,381.1,2623145.0,54.89
2020-06-23,383.9,391.9,382.0,390.85,3834537.0,51.19
2020-06-24,391.9,394.9,379.35,383.1,3889495.0,53.07
2020-06-25,380.0,389.4,377.6,384.0,1961942.0,53.2
2020-06-26,387.1,388.95,382.5,385.65,1759164.0,57.81
2020-06-29,387.05,392.3,382.15,386.55,2764410.0,47.16
2020-06-30,388.0,391.8,385.9,387.45,1861565.0,50.08
2020-07-01,385.0,388.5,380.5,384.5,1611560.0,45.85
2020-07-02,385.0,395.0,384.55,390.8,2607208.0,53.41
2020-07-03,395.0,402.3,392.65,396.45,3223338.0,37.57
2020-07-06,400.05,408.45,397.3,405.7,4073356.0,44.95
2020-07-07,408.4,414.4,403.7,412.7,4088132.0,38.02
2020-07-08,416.15,436.3,414.85,432.4,6978409.0,28.46
2020-07-09,433.05,437.3,428.85,433.35,2808388.0,25.55
2020-07-10,429.55,437.75,428.65,430.1,3765369.0,49.62
2020-07-13,430.1,433.55,422.0,424.45,2552387.0,44.43
2020-07-14,420.0,426.45,417.5,419.35,3232206.0,59.18
2020-07-15,422.85,423.1,411.35,413.05,2076567.0,43.57
2020-07-16,415.4,415.8,407.15,410.3,2027081.0,55.72
2020-07-17,411.4,424.5,411.0,423.0,2740799.0,46.86
2020-07-20,426.7,426.7,417.95,423.1,1680913.0,42.87
2020-07-21,424.0,424.75,408.4,409.45,2752464.0,60.09
2020-07-22,410.0,417.4,404.0,407.0,2620408.0,32.36
2020-07-23,409.6,412.35,402.7,404.4,2992497.0,65.45
2020-07-24,404.7,415.0,402.35,408.45,3124083.0,35.07
2020-07-27,408.45,414.0,404.3,408.45,3132821.0,48.4
2020-07-28,409.95,416.4,409.0,413.05,3500424.0,53.2
2020-07-29,417.0,429.9,417.0,427.7,5938179.0,41.56
2020-07-30,430.4,432.0,421.55,424.9,1866344.0,39.5
2020-07-31,425.0,434.0,425.0,428.05,3115208.0,25.61
2020-08-03,428.95,440.0,427.7,434.1,2917293.0,43.53
2020-08-04,439.4,452.3,436.0,449.75,6816093.0,34.14
2020-08-05,465.0,471.8,440.3,447.6,20178367.0,26.41
2020-08-06,450.0,489.0,449.05,484.75,15882667.0,24.93
2020-08-07,487.6,529.95,482.7,518.6,30560093.0,20.86
2020-08-10,520.95,526.0,510.7,520.3,6832826.0,22.25
2020-08-11,524.5,527.9,514.3,515.9,4690415.0,36.88
2020-08-12,515.2,522.0,509.15,517.55,3883868.0,38.24
2020-08-13,520.0,543.0,518.55,539.05,7877240.0,21.19
2020-08-14,541.95,544.5,530.55,537.5,5922027.0,35.03
