,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,78.4,79.15,76.85,77.05,4454151.0,
2016-08-23,77.9,78.3,73.8,74.8,16453253.0,
2016-08-24,74.05,76.75,73.8,76.45,10358139.0,
2016-08-25,77.0,77.0,75.5,75.65,4536646.0,
2016-08-26,75.75,76.3,75.0,75.75,4446656.0,
2016-08-29,75.9,76.25,75.15,75.95,2310645.0,
2016-08-30,76.05,77.8,75.95,77.1,3920589.0,
2016-08-31,77.35,79.0,76.55,78.5,7628462.0,
2016-09-01,79.8,80.35,77.5,78.15,7490214.0,
2016-09-02,78.1,79.35,77.35,79.0,3402719.0,
2016-09-06,79.3,79.5,78.05,78.5,3986718.0,
2016-09-07,77.35,77.8,76.15,76.7,4132449.0,
2016-09-08,76.8,77.85,76.8,77.55,5396824.0,
2016-09-09,77.5,78.5,76.9,77.2,3383997.0,
2016-09-12,76.5,76.5,73.55,74.3,3976891.0,
2016-09-14,73.95,76.25,73.6,75.35,4303082.0,
2016-09-15,76.35,76.95,74.55,74.8,4190124.0,
2016-09-16,75.1,75.9,74.65,75.45,5836470.0,
2016-09-19,75.7,77.3,74.05,76.85,5397880.0,
2016-09-20,77.4,77.45,75.3,75.75,4918419.0,
2016-09-21,75.75,76.7,75.5,76.25,5084986.0,
2016-09-22,76.8,76.8,75.7,75.95,2402809.0,
2016-09-23,76.2,76.25,75.2,75.6,4724644.0,
2016-09-26,75.4,76.65,75.3,75.85,4237303.0,
2016-09-27,75.75,75.95,74.05,74.9,6149199.0,
2016-09-28,75.0,76.3,74.9,76.1,4637687.0,
2016-09-29,76.5,76.55,71.75,73.65,11226254.0,
2016-09-30,72.7,75.85,72.6,75.4,5403340.0,
2016-10-03,75.5,76.8,75.4,76.45,2908866.0,
2016-10-04,76.9,78.2,76.5,77.45,4695492.0,
2016-10-05,77.7,79.0,77.55,78.3,6805356.0,
2016-10-06,78.15,80.75,77.9,79.05,5917911.0,
2016-10-07,79.0,81.1,78.25,80.7,4301610.0,
2016-10-10,81.0,82.0,80.7,80.85,3776119.0,
2016-10-13,80.95,80.95,77.3,77.7,3527748.0,
2016-10-14,77.8,78.85,77.7,78.4,2071637.0,
2016-10-17,78.15,78.75,77.4,77.55,2024554.0,
2016-10-18,77.65,78.95,77.65,78.75,2658639.0,
2016-10-19,78.85,81.8,78.65,81.25,3816188.0,
2016-10-20,81.0,83.5,80.85,81.95,4880194.0,
2016-10-21,82.0,84.0,81.5,83.6,4707277.0,
2016-10-24,83.65,84.4,83.4,83.65,4203588.0,
2016-10-25,82.0,83.3,81.2,82.4,3720701.0,
2016-10-26,82.0,82.1,80.0,80.85,4997075.0,
2016-10-27,77.45,80.0,77.45,79.55,10205441.0,
2016-10-28,79.2,81.4,78.15,78.3,8118517.0,
2016-11-01,78.0,79.5,76.55,78.15,6868528.0,
2016-11-02,77.5,78.1,76.8,77.05,2066811.0,
2016-11-03,76.95,78.5,76.15,76.7,2997405.0,
2016-11-04,76.4,77.35,74.0,74.6,3582019.0,
2016-11-07,75.25,76.4,74.95,75.35,2464750.0,
2016-11-08,75.7,77.25,74.1,74.4,2120863.0,
2016-11-09,71.0,72.75,67.0,71.7,4934441.0,
2016-11-10,72.9,75.35,72.4,74.45,4391024.0,
2016-11-11,74.75,74.75,71.6,72.1,3712989.0,
2016-11-15,72.5,72.5,68.6,69.25,4954987.0,
2016-11-16,69.7,71.35,69.3,70.7,4243025.0,
2016-11-17,71.5,72.55,69.95,70.15,3410138.0,
2016-11-18,70.6,70.95,69.45,70.05,4256768.0,
2016-11-21,70.15,70.5,68.05,68.6,6898248.0,
2016-11-22,69.1,69.7,68.4,68.95,3736671.0,
2016-11-23,69.7,69.85,68.75,69.3,3746416.0,
2016-11-24,69.0,70.05,68.5,69.4,7541314.0,
2016-11-25,69.55,70.8,69.3,70.05,1479482.0,
2016-11-28,70.5,73.2,70.1,72.7,4400662.0,
2016-11-29,73.35,73.45,72.0,72.25,4671961.0,
2016-11-30,72.2,74.5,70.9,74.05,10053588.0,
2016-12-01,74.8,75.1,72.5,72.85,4458587.0,
2016-12-02,72.65,74.65,72.3,73.45,6273560.0,
2016-12-05,73.45,74.35,72.75,73.15,3703955.0,
2016-12-06,74.9,75.8,74.35,75.2,8017447.0,
2016-12-07,75.3,78.0,73.9,74.3,14527202.0,
2016-12-08,75.0,75.8,74.8,75.55,3878732.0,
2016-12-09,75.7,77.5,75.15,77.05,9503932.0,
2016-12-12,76.85,77.0,75.65,76.65,4574949.0,
2016-12-13,77.95,78.0,76.6,77.6,3380691.0,
2016-12-14,77.9,78.9,77.35,78.7,8826457.0,
2016-12-15,78.0,80.25,77.65,78.15,18054475.0,
2016-12-16,78.4,78.45,76.3,76.6,3776059.0,
2016-12-19,76.6,78.0,76.55,77.15,2739927.0,
2016-12-20,77.7,79.3,76.3,76.55,4427929.0,
2016-12-21,77.05,77.3,75.7,76.05,4125562.0,
2016-12-22,75.8,76.35,74.4,74.75,1979396.0,
2016-12-23,75.5,75.5,72.55,73.95,3375465.0,
2016-12-26,73.8,74.25,73.3,73.5,2706384.0,
2016-12-27,73.5,73.9,72.85,73.6,1190912.0,
2016-12-28,73.7,74.95,73.65,73.9,1410555.0,
2016-12-29,73.95,75.95,73.5,75.15,2634432.0,
2016-12-30,76.2,78.05,75.0,75.9,5312629.0,
2017-01-02,75.9,76.3,75.2,75.4,2053581.0,
2017-01-03,75.8,76.35,75.05,75.65,2334237.0,
2017-01-04,75.8,76.7,75.35,75.8,2803996.0,
2017-01-05,76.1,77.0,76.0,76.85,2567580.0,
2017-01-06,77.4,77.8,76.8,77.1,2891404.0,
2017-01-09,77.4,77.4,76.25,76.4,1185572.0,
2017-01-10,76.3,77.35,76.3,77.1,2121660.0,
2017-01-11,77.9,77.95,76.7,76.85,2098665.0,
2017-01-12,77.0,80.25,77.0,79.3,10133269.0,
2017-01-13,80.0,80.2,78.65,79.3,4239234.0,
2017-01-16,79.5,79.65,77.55,77.75,2584541.0,
2017-01-17,78.15,78.5,77.45,77.85,1536443.0,
2017-01-18,78.05,79.15,77.9,78.65,2845239.0,
2017-01-19,79.25,79.55,78.5,79.3,4536872.0,
2017-01-20,79.0,79.35,77.15,77.55,2916442.0,
2017-01-23,77.5,78.55,77.3,77.55,4403351.0,
2017-01-24,77.65,80.4,77.6,79.9,2965222.0,
2017-01-25,80.05,81.3,79.3,80.1,5123965.0,
2017-01-27,80.2,81.5,80.1,81.0,2690791.0,
2017-01-30,81.0,81.8,80.25,80.55,1829020.0,
2017-01-31,80.5,82.75,79.4,79.8,5627724.0,
2017-02-01,80.1,80.8,79.0,80.5,2843799.0,
2017-02-02,80.7,82.0,79.45,80.45,2895268.0,
2017-02-03,81.05,82.0,80.25,80.65,2963991.0,
2017-02-06,81.05,82.5,80.85,82.25,2498815.0,
2017-02-07,82.45,82.6,80.7,81.2,2860747.0,
2017-02-08,81.3,82.4,81.0,81.65,3418339.0,
2017-02-09,82.0,82.5,80.55,81.6,3367729.0,
2017-02-10,82.0,83.0,81.0,81.6,7624409.0,
2017-02-13,82.0,83.65,81.5,83.4,3417059.0,
2017-02-14,83.7,84.15,82.65,83.5,3619668.0,
2017-02-15,83.5,84.15,81.25,81.7,2627363.0,
2017-02-16,82.0,83.45,81.1,83.15,2925775.0,
2017-02-17,83.7,85.0,82.7,84.1,4841292.0,
2017-02-20,84.45,86.0,84.15,85.35,4558887.0,
2017-02-21,85.95,85.95,83.8,84.25,3393310.0,
2017-02-22,84.2,85.8,83.4,84.15,3266659.0,
2017-02-23,84.05,85.5,83.0,83.45,5234969.0,
2017-02-27,83.8,84.0,82.45,82.7,2257546.0,
2017-02-28,82.85,84.6,82.35,82.6,4371200.0,
2017-03-01,82.75,83.3,81.65,81.95,3931679.0,
2017-03-02,82.35,82.7,80.75,81.05,2051192.0,
2017-03-03,80.95,82.95,80.8,81.9,5871263.0,
2017-03-06,82.0,82.75,81.9,82.45,4706563.0,
2017-03-07,82.9,83.75,82.7,83.0,7309780.0,
2017-03-08,83.25,83.35,81.95,82.1,3008752.0,
2017-03-09,82.0,82.65,81.5,82.2,4968194.0,
2017-03-10,82.3,83.2,81.3,81.95,1925931.0,
2017-03-14,84.0,84.0,82.4,83.65,3935493.0,
2017-03-15,84.0,85.75,83.45,85.05,6653375.0,
2017-03-16,85.5,86.65,84.0,86.2,3900973.0,
2017-03-17,87.0,87.2,85.7,86.35,5676646.0,
2017-03-20,86.5,87.9,86.3,87.15,4079021.0,
2017-03-21,87.8,87.9,86.5,87.65,3260875.0,
2017-03-22,87.0,87.5,86.3,86.95,3390664.0,
2017-03-23,87.05,87.7,86.7,87.1,4769669.0,
2017-03-24,87.65,88.1,86.05,86.55,4159127.0,
2017-03-27,86.65,87.6,85.55,87.3,5247392.0,
2017-03-28,87.3,89.2,86.65,88.8,6485431.0,
2017-03-29,90.0,91.15,89.8,90.0,8268726.0,
2017-03-30,90.0,90.9,89.4,89.9,9240905.0,
2017-03-31,90.5,91.0,88.55,90.35,5424608.0,
2017-04-03,90.7,90.7,88.95,89.2,3693246.0,
2017-04-05,89.25,89.7,87.85,88.2,6266078.0,
2017-04-06,88.1,88.2,86.65,87.3,4469693.0,
2017-04-07,87.0,88.15,86.2,87.5,5373922.0,
2017-04-10,87.8,87.85,86.85,87.05,5509757.0,
2017-04-11,87.45,90.15,81.15,85.45,32224697.0,
2017-04-12,85.05,86.3,84.1,85.55,7643076.0,
2017-04-13,84.7,85.2,83.9,84.7,4775644.0,
2017-04-17,84.9,84.9,83.7,84.05,6224581.0,
2017-04-18,84.15,84.55,83.35,83.55,4184680.0,
2017-04-19,84.15,86.65,84.1,85.65,7511675.0,
2017-04-20,86.2,86.25,83.95,84.15,3216298.0,
2017-04-21,85.35,85.35,83.7,84.15,3326507.0,
2017-04-24,84.45,86.3,84.2,86.0,2678461.0,
2017-04-25,86.75,86.85,84.95,85.2,4439588.0,
2017-04-26,85.2,85.6,84.8,85.0,3153522.0,
2017-04-27,85.05,85.5,83.9,84.65,4571169.0,
2017-04-28,84.3,85.0,83.9,84.3,2302640.0,
2017-05-02,84.35,84.65,83.4,83.7,1944305.0,
2017-05-03,84.0,84.05,82.05,82.2,2287917.0,
2017-05-04,82.2,83.3,81.75,83.0,3787868.0,
2017-05-05,82.75,84.15,82.5,83.4,2399071.0,
2017-05-08,83.2,83.5,82.5,83.1,2569523.0,
2017-05-09,83.3,83.35,82.7,83.1,1743406.0,
2017-05-10,83.3,83.55,81.4,81.55,5865523.0,
2017-05-11,82.0,83.05,81.6,82.6,2866991.0,
2017-05-12,82.6,82.85,82.0,82.3,1575436.0,
2017-05-15,82.55,83.8,82.15,83.55,2007841.0,
2017-05-16,83.9,85.95,83.4,83.85,5141578.0,
2017-05-17,84.0,86.0,83.6,85.35,5499293.0,
2017-05-18,84.75,85.6,83.5,83.75,2296399.0,
2017-05-19,84.4,85.45,83.05,84.15,6222693.0,
2017-05-22,84.25,84.5,80.55,82.05,5011530.0,
2017-05-23,82.05,82.25,80.0,80.5,5940971.0,
2017-05-24,80.65,81.75,80.05,80.25,4879178.0,
2017-05-25,80.35,81.25,79.85,80.4,8911228.0,
2017-05-26,80.4,81.25,79.55,81.05,2377593.0,
2017-05-29,81.4,81.4,79.8,81.15,1724129.0,
2017-05-30,81.2,82.8,80.85,82.4,1879356.0,
2017-05-31,82.6,82.6,80.6,81.0,5984254.0,
2017-06-01,81.3,81.35,80.05,80.7,2767159.0,
2017-06-02,81.0,81.7,80.85,81.05,1447974.0,
2017-06-05,81.45,81.55,80.55,81.0,2458920.0,
2017-06-06,81.0,81.05,79.25,79.6,3011010.0,
2017-06-07,79.5,80.2,79.2,80.0,2020824.0,
2017-06-08,79.7,79.95,78.55,79.05,2330855.0,
2017-06-09,78.7,79.1,77.55,77.8,3785162.0,
2017-06-12,77.5,79.2,76.65,78.9,3119107.0,
2017-06-13,79.0,79.5,77.65,78.1,2322985.0,
2017-06-14,77.85,77.9,76.75,77.55,4060663.0,
2017-06-15,77.25,77.9,76.8,77.1,3411180.0,
2017-06-16,77.1,78.4,76.8,77.9,4329268.0,
2017-06-19,77.9,78.7,77.15,78.05,2691021.0,
2017-06-20,77.7,82.45,77.7,82.1,10963089.0,
2017-06-21,82.5,82.5,81.35,81.75,5082680.0,
2017-06-22,82.0,83.4,80.75,82.75,11286863.0,
2017-06-23,82.7,82.75,81.15,81.5,3436311.0,
2017-06-27,81.7,83.8,80.8,81.1,6031291.0,
2017-06-28,81.8,82.0,80.85,81.65,3192237.0,
2017-06-29,82.1,82.7,80.95,81.55,2374978.0,
2017-06-30,81.4,81.45,80.5,80.55,3999194.0,
2017-07-03,80.25,81.1,79.95,80.4,5308137.0,
2017-07-04,80.9,81.7,80.55,81.2,2415946.0,
2017-07-05,81.8,82.3,81.55,81.75,2227119.0,
2017-07-06,82.3,82.5,81.85,81.95,1223744.0,
2017-07-07,82.0,83.0,81.4,81.7,3227783.0,
2017-07-10,89.05,89.05,81.0,83.45,1442406.0,
2017-07-11,84.0,84.2,82.75,83.0,4536568.0,
2017-07-12,83.7,84.0,82.75,83.05,3279731.0,
2017-07-13,83.6,83.9,82.9,83.25,1882220.0,
2017-07-14,83.35,83.6,82.75,82.95,4106073.0,
2017-07-17,83.0,84.1,83.0,83.4,5230073.0,
2017-07-18,83.3,83.9,81.9,82.45,3271847.0,
2017-07-19,82.4,83.25,81.9,82.95,3930557.0,
2017-07-20,82.95,83.5,82.3,82.9,1375720.0,
2017-07-21,83.2,83.6,82.5,83.35,2135714.0,
2017-07-24,83.35,83.5,82.9,83.25,2111317.0,
2017-07-25,83.25,83.4,82.65,83.0,7554662.0,
2017-07-26,83.0,83.45,81.9,82.55,9530863.0,
2017-07-27,83.0,83.15,81.85,82.0,2646710.0,
2017-07-28,82.1,82.9,81.1,82.15,1689815.0,
2017-07-31,81.9,82.7,81.1,82.0,2681618.0,
2017-08-01,81.2,83.25,81.2,82.8,2365558.0,
2017-08-02,82.8,82.95,82.1,82.6,867025.0,
2017-08-03,82.5,83.4,82.2,82.65,2966583.0,
2017-08-04,82.55,82.75,79.7,80.25,5298112.0,
2017-08-07,80.7,80.9,79.85,80.0,3124773.0,
2017-08-08,80.2,80.4,78.05,78.25,1840878.0,
2017-08-09,78.3,78.3,77.15,77.8,2107243.0,
2017-08-10,77.0,77.8,75.8,76.7,10816439.0,
2017-08-11,76.45,77.1,75.85,76.55,4403984.0,
2017-08-14,77.0,81.15,76.6,79.55,8120241.0,
2017-08-16,81.25,83.45,81.1,82.05,11428360.0,
2017-08-17,82.6,82.6,81.35,81.65,3774599.0,
2017-08-18,80.4,81.4,80.05,80.3,2900287.0,
2017-08-21,80.65,80.85,80.0,80.2,2749000.0,
2017-08-22,81.0,81.5,79.65,80.05,2316424.0,
2017-08-23,80.35,80.35,78.6,78.75,2065914.0,
2017-08-24,79.7,80.8,78.8,79.15,7107291.0,
2017-08-28,79.3,79.7,78.45,78.85,2117665.0,
2017-08-29,78.35,78.4,76.75,76.95,4659510.0,
2017-08-30,77.5,78.0,77.05,77.65,2203355.0,
2017-08-31,77.7,79.75,77.55,79.25,5439368.0,
2017-09-01,79.25,80.75,78.85,80.1,7004328.0,
2017-09-04,79.85,80.15,78.0,78.45,1847590.0,
2017-09-05,79.0,79.0,78.0,78.35,1500822.0,
