,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,391.5,391.5,384.5,388.15,5563430.0,
2016-08-23,387.95,391.0,378.15,385.15,6720835.0,
2016-08-24,385.6,387.3,378.75,379.95,4261868.0,
2016-08-25,381.7,382.3,370.5,372.3,4773691.0,
2016-08-26,375.0,375.95,367.3,369.45,4311789.0,
2016-08-29,368.9,375.45,367.75,373.75,3718240.0,
2016-08-30,375.35,379.5,375.0,377.75,3804436.0,
2016-08-31,378.0,381.35,368.8,370.1,4530361.0,
2016-09-01,371.3,377.7,369.5,374.6,4453409.0,
2016-09-02,375.95,376.2,370.4,374.2,2824297.0,
2016-09-06,375.0,386.75,374.4,385.75,5828507.0,
2016-09-07,387.1,394.15,386.6,389.95,6965026.0,
2016-09-08,390.25,408.6,390.25,403.0,11234744.0,
2016-09-09,404.9,406.9,393.25,394.6,5962851.0,
2016-09-12,385.0,385.9,370.6,373.3,6717365.0,
2016-09-14,370.0,378.0,363.15,373.9,11105369.0,
2016-09-15,374.0,375.1,363.75,366.4,4875040.0,
2016-09-16,369.5,371.9,357.6,358.85,6075750.0,
2016-09-19,360.0,363.95,355.3,361.65,5121611.0,
2016-09-20,364.3,370.0,359.25,365.6,5697810.0,
2016-09-21,365.3,372.5,365.3,369.8,6868967.0,
2016-09-22,377.7,379.8,372.8,377.25,6669414.0,
2016-09-23,377.35,378.4,371.0,372.0,4461871.0,
2016-09-26,371.35,376.55,368.4,369.75,4351638.0,
2016-09-27,372.6,374.6,366.6,367.95,4403977.0,
2016-09-28,368.25,382.2,368.25,380.35,6338968.0,
2016-09-29,383.35,383.85,365.0,368.8,13361086.0,
2016-09-30,367.85,377.45,363.3,374.25,5506157.0,
2016-10-03,376.9,384.8,376.3,382.85,4480810.0,
2016-10-04,386.0,393.0,382.4,391.15,8523432.0,
2016-10-05,395.2,396.5,389.0,390.7,5154852.0,
2016-10-06,392.8,395.85,386.55,389.85,7730432.0,
2016-10-07,392.9,407.6,390.2,406.55,11610384.0,
2016-10-10,409.9,420.7,409.0,418.4,11642373.0,
2016-10-13,414.0,420.4,408.8,413.8,11106052.0,
2016-10-14,416.0,417.5,409.5,412.3,5275390.0,
2016-10-17,412.2,415.8,407.6,410.8,6712935.0,
2016-10-18,414.4,426.5,412.1,424.95,7584884.0,
