,Open,High,Low,Close,Volume,DeliveryPct
2024-05-15,1426.0,1455.95,1275.0,1406.3,12003210.0,60.15
2024-05-16,1419.0,1473.0,1400.05,1460.25,1757996.0,31.19
2024-05-17,1440.0,1490.0,1426.0,1451.65,725596.0,36.3
2024-05-20,1459.8,1482.1,1450.15,1464.5,72083.0,45.71
2024-05-21,1454.0,1459.95,1390.95,1416.6,291122.0,31.02
2024-05-22,1413.0,1432.0,1385.75,1395.55,192390.0,55.17
2024-05-23,1404.65,1427.0,1385.0,1415.5,300708.0,71.95
2024-05-24,1400.0,1415.45,1380.9,1387.05,113873.0,68.48
2024-05-27,1387.05,1462.8,1387.05,1436.0,472113.0,73.29
2024-05-28,1454.0,1454.0,1412.1,1417.25,201068.0,68.35
2024-05-29,1410.0,1432.0,1409.0,1418.2,116261.0,78.77
2024-05-30,1420.0,1444.45,1386.05,1395.05,72200.0,51.19
2024-05-31,1408.95,1445.0,1369.25,1408.0,257875.0,51.69
2024-06-03,1438.0,1455.0,1382.0,1447.45,309370.0,65.99
2024-06-04,1438.0,1438.0,1231.65,1376.2,240619.0,44.04
2024-06-05,1377.0,1424.0,1320.55,1402.3,123665.0,61.91
2024-06-06,1418.0,1455.0,1392.25,1415.2,102889.0,55.54
2024-06-07,1417.0,1574.2,1400.0,1525.5,378686.0,34.65
2024-06-10,1533.35,1596.85,1500.05,1532.65,161584.0,35.58
2024-06-11,1532.0,1560.65,1509.0,1557.25,118196.0,47.24
2024-06-12,1575.65,1579.95,1520.95,1530.05,148978.0,58.26
2024-06-13,1549.0,1580.0,1522.3,1563.45,124733.0,51.09
2024-06-14,1590.6,1630.65,1575.1,1606.6,262154.0,52.53
2024-06-17,1590.6,1630.65,1575.1,1606.6,262154.0,52.53
2024-06-18,1610.0,1625.0,1577.9,1607.25,150975.0,54.83
2024-06-19,1624.95,1624.95,1553.2,1582.3,86076.0,51.36
2024-06-20,1598.95,1612.65,1567.5,1600.05,108081.0,62.53
2024-06-21,1614.0,1614.0,1572.9,1588.1,71572.0,61.46
2024-06-24,1649.45,1764.3,1633.15,1699.85,1347592.0,31.58
2024-06-25,1702.0,1907.45,1702.0,1864.65,995915.0,33.62
2024-06-26,1864.6,1933.0,1834.8,1894.4,393445.0,37.66
2024-06-27,1899.0,1917.7,1848.05,1899.75,229285.0,49.77
2024-06-28,1900.0,1920.0,1884.4,1902.9,143237.0,65.7
2024-07-01,1891.1,1918.95,1890.0,1899.2,54814.0,35.81
2024-07-02,1904.85,1909.2,1756.0,1830.85,297951.0,35.59
2024-07-03,1848.75,1848.75,1783.6,1800.4,151002.0,63.05
2024-07-04,1819.0,1879.95,1801.45,1871.25,121157.0,45.66
2024-07-05,1879.75,1890.0,1832.35,1844.05,45970.0,48.59
2024-07-08,1870.0,1870.0,1801.05,1819.7,37271.0,41.9
2024-07-09,1831.0,1859.0,1811.55,1823.35,30540.0,31.89
2024-07-10,1837.95,1869.0,1780.25,1858.8,89236.0,48.88
2024-07-11,1881.0,1938.45,1765.1,1793.3,74142.0,43.26
2024-07-12,1818.0,1834.0,1740.75,1806.6,113642.0,44.79
2024-07-15,1824.6,1824.6,1766.1,1807.2,55731.0,47.55
2024-07-16,1807.2,1813.9,1795.0,1799.15,32223.0,56.92
2024-07-17,1807.2,1813.9,1795.0,1799.15,32223.0,56.92
2024-07-18,1805.0,1830.0,1770.5,1779.3,148849.0,60.51
2024-07-19,1775.1,1795.35,1720.0,1732.8,146191.0,66.59
2024-07-22,1715.1,1794.5,1676.1,1764.2,106024.0,51.75
2024-07-23,1783.0,1783.0,1688.0,1738.65,27623.0,38.33
2024-07-24,1750.0,1761.0,1730.05,1743.25,25369.0,56.6
2024-07-25,1710.0,1739.35,1698.4,1724.0,89592.0,75.68
2024-07-26,1724.0,1754.0,1717.4,1748.9,96338.0,81.13
2024-07-29,1786.0,1786.0,1701.05,1715.95,77788.0,73.03
2024-07-30,1735.0,1778.05,1715.1,1729.5,72437.0,52.56
2024-07-31,1729.5,1859.2,1722.7,1836.25,125089.0,52.54
2024-08-01,1846.0,1866.0,1761.0,1769.0,54650.0,36.17
2024-08-02,1790.0,1790.0,1733.8,1737.7,20079.0,45.35
2024-08-05,1719.95,1735.0,1651.2,1672.9,92092.0,42.91
2024-08-06,1667.1,1729.0,1638.0,1641.95,111839.0,76.2
2024-08-07,1690.0,1714.95,1644.25,1679.0,68266.0,59.07
2024-08-08,1680.05,1716.9,1678.4,1686.65,15093.0,44.37
2024-08-09,1692.0,1750.0,1692.0,1732.25,22028.0,52.3
2024-08-12,1732.25,1742.4,1689.65,1701.1,46627.0,45.08
2024-08-13,1687.0,1692.9,1624.0,1637.25,161300.0,75.74
2024-08-14,1677.0,1677.0,1555.05,1574.75,222195.0,76.54
2024-08-15,1677.0,1677.0,1555.05,1574.75,222195.0,76.54
2024-08-16,1574.0,1619.65,1560.15,1575.9,214760.0,71.05
2024-08-19,1581.75,1624.0,1581.75,1596.95,231716.0,79.67
2024-08-20,1609.9,1624.7,1591.5,1615.05,106046.0,79.02
2024-08-21,1620.0,1620.0,1589.95,1600.55,96808.0,84.58
2024-08-22,1601.0,1677.0,1601.0,1669.25,79186.0,62.72
2024-08-23,1678.3,1743.55,1656.75,1726.85,201495.0,53.65
2024-08-26,1730.0,1793.2,1710.2,1784.15,77539.0,57.37
2024-08-27,1784.0,1784.0,1720.0,1734.8,73489.0,79.52
2024-08-28,1751.95,1766.0,1690.05,1699.1,32947.0,48.95
2024-08-29,1700.0,1720.95,1645.0,1666.2,70694.0,70.37
2024-08-30,1680.0,1795.0,1666.35,1771.7,149450.0,59.95
2024-09-02,1807.1,1848.6,1753.05,1828.3,100905.0,52.6
2024-09-03,1825.0,1862.45,1801.0,1848.5,48750.0,59.78
2024-09-04,1795.0,2001.0,1795.0,1928.6,129310.0,39.09
2024-09-05,1928.0,1928.0,1845.0,1869.3,66980.0,44.13
2024-09-06,1878.0,1878.0,1815.45,1837.5,34053.0,41.83
2024-09-09,1849.95,1854.9,1764.75,1775.6,44467.0,52.81
2024-09-10,1776.0,1818.7,1766.05,1789.45,22253.0,46.71
2024-09-11,1775.45,1801.8,1745.0,1769.3,47096.0,46.52
2024-09-12,1769.3,1786.3,1747.0,1750.55,16388.0,59.46
2024-09-13,1792.5,1819.0,1730.0,1794.95,122509.0,72.48
2024-09-16,1808.45,1814.7,1744.1,1752.35,19394.0,48.9
2024-09-17,1750.1,1796.0,1729.05,1773.4,59382.0,51.58
2024-09-18,1790.0,1807.7,1746.0,1777.45,38862.0,50.6
2024-09-19,1797.0,1814.0,1720.0,1731.6,206155.0,90.27
2024-09-20,1801.0,1814.0,1741.15,1752.55,48718.0,34.69
2024-09-23,1775.0,1787.55,1736.75,1749.4,34823.0,65.86
2024-09-24,1735.0,1757.35,1731.6,1748.4,15824.0,42.2
2024-09-25,1748.4,1769.25,1741.4,1749.5,22487.0,68.0
2024-09-26,1732.0,1760.0,1732.0,1750.4,12816.0,64.75
2024-09-27,1759.0,1890.0,1749.15,1847.15,112921.0,63.61
2024-09-30,1845.0,1850.0,1781.0,1794.3,43089.0,55.85
2024-10-01,1794.3,1829.95,1767.05,1812.5,22948.0,44.76
2024-10-02,1794.3,1829.95,1767.05,1812.5,22948.0,44.76
2024-10-03,1800.0,1808.9,1749.9,1788.05,55990.0,60.33
2024-10-04,1770.2,1798.0,1730.05,1749.1,63166.0,76.17
2024-10-07,1770.0,1772.55,1665.05,1687.0,48018.0,71.05
2024-10-08,1687.0,1719.0,1666.15,1709.5,12236.0,47.98
2024-10-09,1703.15,1752.65,1688.4,1744.1,16860.0,46.98
2024-10-10,1747.8,1765.05,1705.55,1712.55,17194.0,63.02
2024-10-11,1737.55,1784.0,1680.05,1745.75,83733.0,63.55
2024-10-14,1771.95,1771.95,1696.7,1725.65,26500.0,47.33
2024-10-15,1744.0,1783.0,1715.3,1743.75,31799.0,36.75
2024-10-16,1730.2,1745.8,1720.0,1726.05,9866.0,49.34
2024-10-17,1743.25,1743.25,1703.6,1715.75,9901.0,47.82
2024-10-18,1705.0,1715.0,1681.25,1701.0,16206.0,59.36
2024-10-21,1701.7,1704.8,1658.55,1666.3,45180.0,71.11
2024-10-22,1679.8,1680.65,1600.0,1607.1,26698.0,67.35
2024-10-23,1582.0,1647.95,1582.0,1607.95,79765.0,44.61
2024-10-24,1611.05,1629.75,1568.4,1590.8,33412.0,67.95
2024-10-25,1594.25,1629.2,1588.0,1601.85,33550.0,58.1
2024-10-28,1601.0,1601.0,1571.35,1576.1,27304.0,57.01
2024-10-29,1575.0,1590.95,1552.1,1560.7,70522.0,79.51
2024-10-30,1560.7,1614.85,1540.65,1583.4,50036.0,76.99
2024-10-31,1583.4,1654.0,1571.7,1623.1,36055.0,52.17
2024-11-01,1678.0,1678.0,1623.0,1668.1,5743.0,45.93
2024-11-04,1668.1,1668.1,1601.0,1611.95,413063.0,96.98
2024-11-05,1595.1,1615.0,1560.05,1569.8,26488.0,47.23
2024-11-06,1589.05,1624.95,1553.8,1609.2,254945.0,77.62
2024-11-07,1660.0,1723.0,1610.05,1680.15,414233.0,60.76
2024-11-08,1740.0,1771.0,1692.0,1704.15,271374.0,18.54
2024-11-11,1678.6,1730.0,1673.7,1681.1,44502.0,45.82
2024-11-12,1684.0,1730.0,1652.75,1677.15,52790.0,45.55
2024-11-13,1650.0,1676.6,1575.0,1591.45,51459.0,41.77
2024-11-14,1601.0,1624.7,1552.0,1567.55,20767.0,46.23
2024-11-18,1575.0,1624.95,1536.15,1546.9,21010.0,50.89
2024-11-19,1546.25,1572.15,1515.15,1524.35,36842.0,46.61
2024-11-20,1546.25,1572.15,1515.15,1524.35,36842.0,46.61
2024-11-21,1512.2,1570.0,1503.0,1534.6,64926.0,37.17
2024-11-22,1534.0,1542.0,1509.25,1520.2,69668.0,79.36
2024-11-25,1585.0,1595.0,1529.95,1536.3,57672.0,60.26
2024-11-26,1541.0,1550.7,1485.5,1520.7,33803.0,45.53
2024-11-27,1520.7,1609.0,1502.5,1561.5,276954.0,80.62
2024-11-28,1566.0,1581.0,1530.0,1549.6,129657.0,70.98
2024-11-29,1549.6,1635.0,1534.8,1586.6,188613.0,65.34
2024-12-02,1579.05,1591.85,1568.0,1580.55,15121.0,41.95
2024-12-03,1584.0,1584.0,1472.25,1528.0,1085031.0,48.94
2024-12-04,1545.0,1586.1,1520.75,1539.65,222973.0,37.11
2024-12-05,1546.8,1557.9,1460.1,1519.4,426133.0,43.21
2024-12-06,1503.5,1528.0,1492.7,1524.05,127308.0,44.62
2024-12-09,1529.0,1544.2,1495.0,1524.1,284897.0,46.45
2024-12-10,1524.1,1588.8,1515.05,1574.35,193614.0,42.74
2024-12-11,1581.7,1658.7,1561.2,1651.6,317492.0,36.63
2024-12-12,1639.95,1671.95,1618.95,1634.25,86761.0,35.74
2024-12-13,1624.95,1664.0,1593.95,1635.6,99401.0,45.33
2024-12-16,1689.0,1704.95,1656.95,1673.7,206992.0,34.14
2024-12-17,1680.5,1753.5,1663.05,1739.35,256191.0,33.33
2024-12-18,1745.5,1748.0,1705.0,1721.8,109588.0,50.91
2024-12-19,1690.0,1708.4,1671.05,1699.8,77250.0,55.15
2024-12-20,1699.8,1722.0,1666.8,1684.8,75489.0,37.62
2024-12-23,1695.55,1695.55,1647.2,1661.1,66380.0,42.24
2024-12-24,1658.0,1746.45,1645.05,1696.55,207199.0,33.5
2024-12-25,1658.0,1746.45,1645.05,1696.55,207199.0,33.5
2024-12-26,1696.55,1722.55,1659.0,1690.0,121392.0,52.94
2024-12-27,1698.85,1735.95,1681.0,1704.25,60464.0,41.43
2024-12-30,1714.9,1763.95,1691.15,1748.95,180431.0,53.43
2024-12-31,1755.0,1755.2,1717.25,1734.15,51770.0,42.93
2025-01-01,1741.05,1789.0,1712.25,1761.45,81691.0,37.85
2025-01-02,1779.05,1815.9,1762.55,1791.9,94810.0,34.34
2025-01-03,1779.95,1818.0,1771.9,1790.45,41554.0,45.28
2025-01-06,1817.3,1845.55,1761.05,1772.0,175629.0,47.1
2025-01-07,1769.0,1769.05,1720.6,1743.1,83013.0,57.49
2025-01-08,1748.1,1830.0,1743.0,1774.4,231195.0,35.74
2025-01-09,1784.85,1784.85,1730.0,1742.9,70265.0,34.76
2025-01-10,1740.45,1798.0,1705.0,1741.3,173529.0,45.42
2025-01-13,1680.0,1697.75,1607.8,1659.8,189474.0,35.09
2025-01-14,1659.8,1733.35,1625.3,1682.3,55052.0,36.48
2025-01-15,1699.3,1717.05,1685.0,1699.7,72961.0,63.84
2025-01-16,1725.2,1725.2,1666.05,1697.9,66244.0,61.41
2025-01-17,1723.35,1723.35,1651.0,1668.3,70627.0,43.99
2025-01-20,1674.9,1708.3,1632.0,1657.1,216922.0,84.94
2025-01-21,1655.0,1655.0,1610.05,1618.15,42903.0,45.33
2025-01-22,1624.0,1636.1,1580.0,1588.1,39629.0,31.47
2025-01-23,1586.5,1650.9,1578.65,1628.75,36859.0,36.43
2025-01-24,1653.2,1653.2,1578.0,1597.75,29851.0,30.72
2025-01-27,1599.95,1669.05,1450.0,1563.15,591834.0,6.31
2025-01-28,1586.6,1609.3,1488.05,1570.25,65851.0,20.86
2025-01-29,1543.05,1614.8,1543.05,1603.1,44752.0,54.92
2025-01-30,1600.0,1619.95,1563.0,1571.8,15334.0,35.57
2025-01-31,1568.6,1584.3,1547.1,1558.1,207930.0,87.64
2025-02-03,1546.2,1619.0,1536.75,1602.85,49533.0,41.73
2025-02-04,1585.0,1615.0,1585.0,1605.4,15441.0,41.42
2025-02-05,1607.55,1652.45,1576.05,1642.95,38835.0,62.56
2025-02-06,1647.85,1677.55,1625.3,1634.15,199986.0,89.73
2025-02-07,1659.1,1659.1,1629.05,1641.1,34105.0,66.3
2025-02-10,1635.0,1659.0,1622.05,1651.3,63184.0,60.09
2025-02-11,1638.0,1660.6,1582.0,1626.05,47397.0,52.86
2025-02-12,1648.0,1653.2,1560.35,1621.9,110589.0,44.82
2025-02-13,1597.55,1619.5,1518.85,1605.6,127067.0,35.52
2025-02-14,1629.7,1648.0,1571.1,1617.4,70435.0,42.83
2025-02-17,1610.0,1627.8,1520.4,1553.45,135878.0,53.45
