,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,2588.0,2594.45,2536.3,2548.7,1132637.0,
2016-08-23,2544.95,2604.95,2540.2,2601.05,751687.0,
2016-08-24,2589.8,2602.0,2569.05,2572.05,558439.0,
2016-08-25,2580.0,2589.7,2526.0,2551.05,969845.0,
2016-08-26,2559.8,2572.55,2517.2,2524.95,625157.0,
2016-08-29,2534.95,2534.95,2466.75,2500.55,744364.0,
2016-08-30,2510.0,2549.8,2501.25,2544.15,722013.0,
2016-08-31,2550.0,2550.0,2500.85,2511.3,1615834.0,
2016-09-01,2524.9,2534.95,2487.05,2507.5,672868.0,
2016-09-02,2512.0,2519.4,2496.05,2514.8,871165.0,
2016-09-06,2519.9,2520.15,2480.0,2484.05,1119533.0,
2016-09-07,2499.7,2499.7,2423.0,2440.55,1927020.0,
2016-09-08,2360.0,2360.0,2284.75,2322.1,3510758.0,
2016-09-09,2329.7,2366.65,2320.05,2352.45,1371219.0,
2016-09-12,2337.0,2363.95,2324.0,2359.05,1012227.0,
2016-09-14,2362.0,2377.6,2310.0,2328.45,1034929.0,
2016-09-15,2339.95,2342.1,2316.75,2326.95,1409482.0,
2016-09-16,2336.7,2376.0,2320.0,2361.7,2179002.0,
2016-09-19,2365.0,2427.0,2350.0,2411.45,1401273.0,
2016-09-20,2411.0,2416.9,2385.4,2406.5,592276.0,
2016-09-21,2407.7,2424.0,2400.7,2413.4,839010.0,
2016-09-22,2425.25,2428.0,2371.1,2378.0,1428787.0,
2016-09-23,2382.0,2403.85,2371.15,2398.1,900363.0,
2016-09-26,2401.1,2419.1,2395.0,2401.1,876738.0,
2016-09-27,2401.1,2448.0,2401.1,2436.1,1019396.0,
2016-09-28,2431.0,2437.5,2415.2,2423.05,865664.0,
2016-09-29,2435.0,2456.5,2419.6,2437.8,1801979.0,
2016-09-30,2437.05,2449.8,2423.1,2430.8,1087682.0,
2016-10-03,2450.0,2457.65,2401.1,2411.7,909440.0,
2016-10-04,2420.0,2425.05,2398.0,2405.15,890359.0,
2016-10-05,2408.0,2415.4,2376.1,2386.35,588177.0,
2016-10-06,2395.0,2402.4,2372.75,2388.75,1133786.0,
2016-10-07,2388.0,2388.0,2358.2,2367.8,908256.0,
2016-10-10,2369.9,2386.9,2355.05,2380.3,601071.0,
2016-10-13,2363.3,2369.9,2320.9,2328.9,2586667.0,
2016-10-14,2315.0,2387.0,2291.0,2366.2,3870607.0,
2016-10-17,2368.9,2375.8,2344.4,2362.45,1364173.0,
2016-10-18,2376.0,2415.7,2354.8,2400.2,1064316.0,
2016-10-19,2401.0,2410.0,2370.3,2395.1,992529.0,
2016-10-20,2396.9,2409.35,2386.0,2401.15,632927.0,
2016-10-21,2400.0,2431.9,2398.25,2428.65,629830.0,
2016-10-24,2428.2,2434.9,2402.55,2427.7,626595.0,
2016-10-25,2405.0,2414.6,2381.0,2398.45,886233.0,
2016-10-26,2398.6,2402.75,2372.5,2396.25,718565.0,
2016-10-27,2379.7,2429.5,2365.5,2418.1,1470801.0,
2016-10-28,2410.0,2415.1,2388.0,2398.7,876051.0,
2016-11-01,2399.7,2399.7,2334.15,2350.0,1467388.0,
2016-11-02,2341.0,2344.0,2295.0,2304.05,1162538.0,
2016-11-03,2294.0,2335.0,2284.5,2319.45,731655.0,
2016-11-04,2320.0,2336.15,2294.0,2330.55,591876.0,
2016-11-07,2337.9,2344.9,2260.05,2277.05,1024026.0,
2016-11-08,2280.45,2307.0,2260.0,2283.2,966817.0,
2016-11-09,2180.0,2275.0,2142.85,2169.85,2250113.0,
2016-11-10,2204.8,2217.5,2140.8,2155.45,1086213.0,
2016-11-11,2147.05,2147.05,2086.2,2101.15,1199212.0,
2016-11-15,2116.9,2157.55,2051.9,2121.3,3145162.0,
2016-11-16,2145.1,2208.9,2138.0,2189.6,2009979.0,
2016-11-17,2185.0,2208.6,2130.15,2137.2,1252344.0,
2016-11-18,2142.0,2150.0,2104.2,2125.1,1070267.0,
2016-11-21,2126.2,2140.0,2105.0,2132.9,896683.0,
2016-11-22,2132.0,2177.45,2122.05,2135.0,659430.0,
2016-11-23,2149.0,2162.95,2127.2,2156.35,637904.0,
2016-11-24,2154.9,2207.6,2137.0,2188.45,1513117.0,
2016-11-25,2212.0,2307.25,2192.2,2300.35,2138074.0,
2016-11-28,2294.0,2319.45,2251.9,2282.6,962148.0,
2016-11-29,2275.0,2292.0,2252.55,2259.85,721148.0,
2016-11-30,2265.0,2294.75,2242.3,2276.05,1722916.0,
2016-12-01,2277.0,2290.0,2254.05,2263.45,561526.0,
2016-12-02,2258.0,2270.8,2205.2,2221.85,999016.0,
2016-12-05,2229.0,2237.85,2170.0,2186.0,1124763.0,
2016-12-06,2190.0,2203.95,2169.9,2182.35,796722.0,
2016-12-07,2182.2,2184.45,2145.65,2154.55,1032853.0,
2016-12-08,2160.5,2199.0,2160.0,2195.75,1619773.0,
2016-12-09,2205.0,2219.9,2173.3,2195.25,794359.0,
2016-12-12,2194.8,2217.6,2163.0,2208.2,655879.0,
2016-12-13,2218.0,2218.0,2183.0,2200.3,1073767.0,
2016-12-14,2214.0,2224.7,2189.0,2207.6,935183.0,
2016-12-15,2202.0,2272.1,2202.0,2259.3,2147705.0,
2016-12-16,2277.0,2290.0,2252.0,2282.65,993615.0,
2016-12-19,2280.0,2297.7,2261.3,2288.9,667105.0,
2016-12-20,2292.0,2345.0,2287.05,2339.3,1461380.0,
2016-12-21,2343.8,2343.8,2305.6,2313.6,1017451.0,
2016-12-22,2306.0,2325.0,2286.2,2307.7,934150.0,
2016-12-23,2300.0,2317.75,2278.8,2288.1,559477.0,
2016-12-26,2266.0,2301.6,2266.0,2293.1,448704.0,
2016-12-27,2281.5,2330.0,2281.5,2323.4,647346.0,
2016-12-28,2326.7,2349.9,2303.15,2313.4,675209.0,
2016-12-29,2303.0,2359.9,2303.0,2351.7,981758.0,
2016-12-30,2354.9,2378.6,2345.65,2365.55,702874.0,
2017-01-02,2366.6,2375.1,2352.4,2361.35,411566.0,
2017-01-03,2361.25,2371.7,2343.3,2368.25,737662.0,
2017-01-04,2369.7,2388.85,2358.3,2379.5,710033.0,
2017-01-05,2384.0,2389.95,2320.4,2334.4,1108202.0,
2017-01-06,2321.0,2329.35,2257.1,2281.4,1504948.0,
2017-01-09,2275.0,2311.3,2257.0,2303.7,927289.0,
2017-01-10,2304.0,2329.8,2291.5,2315.35,766957.0,
2017-01-11,2315.0,2329.6,2280.2,2324.4,965648.0,
2017-01-12,2324.4,2360.0,2304.0,2344.35,1285187.0,
2017-01-13,2348.0,2357.95,2237.85,2249.3,5117790.0,
2017-01-16,2250.0,2273.9,2228.0,2258.55,1682404.0,
2017-01-17,2254.9,2287.8,2252.8,2278.75,1504978.0,
2017-01-18,2278.0,2298.0,2265.45,2295.1,1568287.0,
2017-01-19,2295.0,2295.15,2282.95,2291.0,1125838.0,
2017-01-20,2287.0,2300.0,2265.0,2285.35,1018623.0,
2017-01-23,2265.0,2313.5,2259.8,2306.7,1159273.0,
2017-01-24,2304.0,2323.0,2290.0,2318.35,1141319.0,
2017-01-25,2322.6,2360.0,2318.05,2353.0,2055824.0,
2017-01-27,2345.05,2378.75,2345.05,2357.8,1435829.0,
2017-01-30,2341.0,2351.95,2318.15,2332.9,1288978.0,
2017-01-31,2320.0,2332.05,2200.05,2229.8,2333402.0,
2017-02-01,2220.0,2239.95,2155.55,2167.9,2432076.0,
2017-02-02,2170.05,2219.0,2153.0,2207.65,3004741.0,
2017-02-03,2209.7,2243.0,2191.0,2232.55,1076686.0,
2017-02-06,2258.0,2258.5,2214.95,2240.75,1204455.0,
2017-02-07,2244.0,2252.6,2226.0,2244.6,907319.0,
2017-02-08,2244.9,2282.6,2244.05,2270.95,1106292.0,
2017-02-09,2275.0,2328.0,2270.2,2317.3,2016601.0,
2017-02-10,2311.0,2424.45,2311.0,2397.95,2891080.0,
2017-02-13,2396.0,2429.0,2382.35,2414.25,1909906.0,
