,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,472.0,474.3,465.0,466.35,1107412.0,
2016-08-23,466.7,474.5,461.5,465.8,1617568.0,
2016-08-24,467.0,471.7,463.5,467.05,894108.0,
2016-08-25,470.2,470.95,455.9,458.1,1769817.0,
2016-08-26,460.0,463.7,457.0,459.95,857182.0,
2016-08-29,462.7,462.7,448.55,449.55,797904.0,
2016-08-30,451.5,464.7,451.2,462.95,981748.0,
2016-08-31,462.0,473.8,461.55,468.8,1779070.0,
2016-09-01,470.0,476.4,466.3,469.15,1046734.0,
2016-09-02,469.95,474.2,465.95,471.85,1070131.0,
2016-09-06,470.0,481.25,467.4,480.05,1553926.0,
2016-09-07,481.2,483.5,470.15,471.85,1254946.0,
2016-09-08,465.0,466.95,455.0,459.05,3145694.0,
2016-09-09,458.0,465.45,451.3,458.3,1469794.0,
2016-09-12,454.0,466.4,453.0,463.85,1746181.0,
2016-09-14,466.7,472.6,463.65,466.7,1321007.0,
2016-09-15,469.0,471.9,460.8,462.75,956858.0,
2016-09-16,467.4,469.0,459.0,465.3,1477056.0,
2016-09-19,468.2,474.7,464.35,466.6,1134564.0,
2016-09-20,469.0,469.0,460.25,462.2,913111.0,
2016-09-21,464.0,465.75,455.1,461.15,2142358.0,
2016-09-22,465.0,466.8,453.75,454.75,2766927.0,
2016-09-23,458.0,458.0,452.85,454.6,2221151.0,
2016-09-26,452.05,454.2,446.0,448.95,1027167.0,
2016-09-27,446.0,453.4,446.0,447.85,1306463.0,
2016-09-28,449.0,449.0,439.4,440.5,1785763.0,
2016-09-29,444.0,444.0,424.3,427.15,4331711.0,
2016-09-30,435.0,435.0,418.7,419.85,2210429.0,
2016-10-03,420.0,425.0,418.2,420.7,1754766.0,
2016-10-04,424.65,431.9,422.25,428.7,2145572.0,
2016-10-05,431.1,433.0,423.25,425.3,1476240.0,
2016-10-06,425.0,428.65,419.15,420.75,1559084.0,
2016-10-07,421.9,424.4,417.2,419.75,1562901.0,
2016-10-10,421.5,424.8,417.0,421.85,997527.0,
2016-10-13,421.7,424.7,417.5,422.2,2473032.0,
2016-10-14,423.5,429.65,418.0,419.1,6379695.0,
2016-10-17,421.0,421.0,405.5,408.55,3248168.0,
2016-10-18,408.0,430.8,405.75,425.1,7264158.0,
2016-10-19,427.85,436.45,419.1,424.9,4525016.0,
