,Open,High,Low,Close,Volume,DeliveryPct
2018-12-18,264.0,274.45,252.9,260.2,132419.0,
2018-12-19,263.0,267.0,260.5,261.6,43171.0,
2018-12-20,261.5,261.5,254.75,258.15,104473.0,
2018-12-21,258.5,259.7,255.65,258.0,38311.0,
2018-12-24,260.85,265.0,260.85,261.85,55392.0,
2018-12-26,264.0,264.0,254.5,255.15,77811.0,
2018-12-27,256.05,260.0,255.2,259.1,28397.0,
2018-12-28,259.95,260.0,256.4,259.85,45026.0,
2018-12-31,260.0,275.0,260.0,264.3,107921.0,
2019-01-01,266.5,266.5,260.75,261.65,81585.0,
2019-01-02,252.05,252.05,237.35,247.7,99617.0,
2019-01-03,237.5,249.0,237.5,241.85,15318.0,
2019-01-04,240.0,242.8,238.25,240.0,51454.0,
2019-01-07,243.45,252.3,240.0,248.1,45525.0,
2019-01-08,246.0,246.0,240.1,245.0,6674.0,
2019-01-09,242.1,245.5,240.95,245.0,8169.0,
2019-01-10,248.95,248.95,241.15,245.0,4051.0,
2019-01-11,243.05,249.85,240.6,241.75,5149.0,
2019-01-14,242.45,247.4,240.6,243.55,19059.0,
2019-01-15,242.15,244.9,242.1,244.0,25730.0,
2019-01-16,249.75,257.95,243.0,253.3,14398.0,
2019-01-17,254.75,260.0,246.05,247.1,67942.0,
2019-01-18,245.3,249.55,242.75,245.5,14431.0,
2019-01-21,244.05,248.0,243.5,246.6,8357.0,
2019-01-22,245.8,249.0,244.05,246.55,9447.0,
2019-01-23,244.55,252.0,244.5,249.95,7949.0,
2019-01-24,248.0,254.3,246.0,251.95,6860.0,
2019-01-25,250.05,260.0,245.45,249.95,105061.0,
2019-01-28,243.1,248.15,243.1,243.65,12448.0,
2019-01-29,243.0,244.9,242.1,243.05,4063.0,
2019-01-30,245.0,255.1,236.2,237.7,5155.0,
2019-01-31,239.65,247.9,234.4,240.9,256928.0,
2019-02-01,244.25,244.3,235.0,237.3,7399.0,
2019-02-04,237.55,240.75,235.0,235.2,4704.0,
2019-02-05,241.05,241.05,234.5,235.1,9423.0,
2019-02-06,243.9,243.9,220.2,228.5,37410.0,
2019-02-07,231.8,236.0,225.05,227.95,4186.0,
2019-02-08,229.95,234.5,222.35,232.15,7768.0,
2019-02-11,230.0,230.0,223.1,226.25,19510.0,
2019-02-12,225.05,231.0,219.05,221.15,32648.0,
2019-02-13,223.4,223.9,218.0,221.65,9084.0,
