,Open,High,Low,Close,Volume,DeliveryPct
2021-12-13,760.0,767.7,712.25,726.05,16646140.0,36.65
2021-12-14,713.95,723.65,650.15,659.45,4652710.0,28.48
2021-12-15,646.9,653.9,612.0,616.5,2688974.0,22.54
2021-12-16,622.7,637.3,593.05,630.3,3454815.0,16.9
2021-12-17,634.5,634.5,600.0,614.5,1339275.0,32.57
2021-12-20,595.1,599.8,545.4,568.95,1502980.0,29.1
2021-12-21,581.6,596.65,570.0,574.8,886131.0,23.3
2021-12-22,575.0,603.4,575.0,596.15,890525.0,28.91
2021-12-23,603.5,609.0,580.0,582.45,472154.0,28.36
2021-12-24,594.0,594.95,580.0,584.95,476003.0,31.62
2021-12-27,575.0,587.35,571.7,576.2,309374.0,37.74
2021-12-28,586.3,595.95,580.0,583.75,305279.0,48.59
2021-12-29,588.0,621.9,582.3,602.65,1022920.0,21.9
2021-12-30,605.9,612.0,589.0,594.45,269830.0,28.37
2021-12-31,591.0,607.9,587.95,593.25,253861.0,29.01
2022-01-03,596.0,606.6,590.85,594.15,531818.0,73.83
2022-01-04,599.15,605.95,596.0,598.05,306289.0,37.98
2022-01-05,595.0,603.0,590.55,593.85,231705.0,29.16
2022-01-06,571.0,602.45,571.0,592.9,334376.0,34.55
2022-01-07,585.15,592.9,580.0,587.3,692752.0,41.7
2022-01-10,590.0,604.8,588.2,594.95,328884.0,32.98
2022-01-11,597.9,601.7,590.4,592.05,195271.0,47.73
2022-01-12,592.05,604.85,591.0,597.65,415127.0,31.78
2022-01-13,601.9,601.9,593.75,596.0,220785.0,68.6
2022-01-14,594.0,601.0,581.15,589.9,504036.0,80.31
2022-01-17,590.0,602.95,589.35,594.3,284677.0,37.88
2022-01-18,598.0,599.6,589.0,591.15,466624.0,51.79
2022-01-19,590.0,596.0,574.7,580.45,213431.0,45.66
2022-01-20,584.6,587.75,570.0,571.4,169400.0,39.77
2022-01-21,571.0,574.55,548.5,554.65,184372.0,42.84
2022-01-24,550.0,554.9,521.0,524.35,199433.0,47.23
2022-01-25,515.0,545.8,500.0,538.35,281980.0,26.73
2022-01-26,515.0,545.8,500.0,538.35,281980.0,26.73
2022-01-27,534.5,539.65,511.6,519.7,127589.0,38.82
2022-01-28,521.0,536.0,513.0,514.45,212061.0,28.46
2022-01-31,527.7,528.6,495.0,499.05,241146.0,54.62
