,Open,High,Low,Close,Volume,DeliveryPct
2025-11-19,505.0,517.0,480.1,490.8,101572434.0,44.58
2025-11-20,499.0,513.0,478.5,480.15,21203762.0,23.4
2025-11-21,473.0,489.0,470.85,475.85,7262990.0,36.16
2025-11-24,476.7,504.0,473.9,496.75,10791518.0,32.18
2025-11-25,498.0,504.8,489.75,501.15,5600010.0,26.94
2025-11-26,504.0,513.0,482.0,490.75,5022364.0,30.62
2025-11-27,491.25,504.0,488.3,490.4,2810553.0,29.6
2025-11-28,491.0,497.3,482.0,483.95,2582800.0,35.47
2025-12-01,485.45,488.3,474.5,477.15,1507233.0,46.64
2025-12-02,475.95,491.95,464.1,487.75,2774396.0,36.65
2025-12-03,488.2,497.65,482.1,492.6,2436232.0,34.96
2025-12-04,491.9,502.95,487.0,490.2,1867762.0,36.61
2025-12-05,492.0,497.0,488.6,490.15,2311434.0,47.11
2025-12-08,490.15,495.5,489.05,491.35,1651206.0,57.91
2025-12-09,485.0,499.85,477.9,491.65,1990862.0,39.23
2025-12-10,491.7,498.75,470.0,473.9,1083095.0,37.11
2025-12-11,474.95,480.0,470.0,475.0,817058.0,45.5
2025-12-12,477.0,483.7,471.0,473.0,561582.0,42.71
2025-12-15,470.0,475.6,454.7,460.2,927201.0,48.39
2025-12-16,460.2,467.4,447.45,460.1,1310471.0,47.11
2025-12-17,456.0,459.0,440.5,443.95,1943682.0,56.68
2025-12-18,443.95,473.95,438.05,469.85,3812788.0,46.44
2025-12-19,469.3,485.0,463.7,482.15,1153059.0,46.2
2025-12-22,480.1,484.45,474.25,478.0,584466.0,47.07
2025-12-23,477.85,507.9,474.0,497.75,3116627.0,40.32
2025-12-24,495.6,507.35,492.85,495.75,1360987.0,34.77
2025-12-25,495.6,507.35,492.85,495.75,1360987.0,34.77
2025-12-26,498.55,522.5,496.3,516.45,4612061.0,39.97
2025-12-29,521.0,521.75,500.0,501.0,816313.0,33.83
2025-12-30,503.3,512.85,501.0,503.0,718658.0,34.2
2025-12-31,504.65,511.5,500.5,507.9,474586.0,40.75
2026-01-01,508.3,523.95,503.3,505.0,1991982.0,26.56
2026-01-02,509.0,549.0,507.8,543.95,6677506.0,29.97
2026-01-05,543.9,556.4,533.35,544.05,2363291.0,31.83
2026-01-06,547.0,547.8,513.0,516.55,1488821.0,41.53
2026-01-07,520.2,529.8,506.9,520.6,1225286.0,31.29
2026-01-08,521.6,537.5,521.6,531.45,1403714.0,36.5
2026-01-09,531.45,531.85,514.05,516.0,624948.0,44.87
2026-01-12,517.6,528.6,503.75,525.45,981569.0,39.25
2026-01-13,530.95,540.0,526.05,534.75,711867.0,49.4
2026-01-14,534.0,539.5,528.9,533.1,719949.0,45.94
2026-01-15,534.0,539.5,528.9,533.1,719949.0,45.94
2026-01-16,529.25,532.95,515.9,518.9,627130.0,48.79
2026-01-19,512.6,527.45,507.0,514.05,350902.0,39.99
2026-01-20,509.5,518.0,488.85,494.1,781340.0,51.12
2026-01-21,490.1,500.1,480.1,493.2,514775.0,37.66
2026-01-22,500.0,532.6,496.25,527.45,1143352.0,49.61
2026-01-23,523.75,528.2,507.6,511.9,804833.0,60.71
2026-01-26,523.75,528.2,507.6,511.9,804833.0,60.71
2026-01-27,518.3,518.3,504.1,509.9,585805.0,49.96
2026-01-28,512.45,517.35,501.9,504.1,275662.0,55.22
2026-01-29,501.3,517.65,501.0,515.5,411150.0,53.46
2026-01-30,507.0,526.1,506.45,522.15,357073.0,47.01
2026-02-02,505.6,532.85,505.6,528.5,491868.0,53.32
2026-02-03,550.0,555.2,520.2,534.2,1128540.0,56.95
2026-02-04,539.9,568.4,535.45,559.85,1499558.0,35.95
2026-02-05,559.85,567.0,545.55,549.1,580535.0,41.97
2026-02-06,545.0,557.45,537.65,543.5,386380.0,43.34
2026-02-09,544.1,570.25,544.1,568.3,642506.0,52.01
2026-02-10,566.55,589.8,558.3,581.9,771304.0,31.54
2026-02-11,581.0,583.7,562.0,571.4,728753.0,65.83
2026-02-12,572.0,580.9,566.75,576.15,495164.0,49.2
2026-02-13,575.0,576.45,551.3,560.5,400493.0,46.98
2026-02-16,550.0,557.4,523.0,548.0,1142097.0,40.51
2026-02-17,551.9,563.0,544.6,549.8,1334623.0,70.17
2026-02-18,551.05,558.45,538.75,553.65,415761.0,44.27
2026-02-19,555.1,556.85,540.05,543.5,221787.0,37.16
2026-02-20,542.7,556.95,540.0,552.7,244765.0,35.21
2026-02-23,557.9,585.75,554.85,574.95,620564.0,31.62
2026-02-24,577.0,578.9,561.5,565.6,274335.0,39.44
2026-02-25,571.6,595.0,568.15,589.4,963993.0,45.94
2026-02-26,593.85,602.0,587.85,592.65,456887.0,35.33
2026-02-27,592.65,600.0,575.0,581.3,547379.0,53.06
2026-03-02,551.3,571.6,549.0,558.85,517293.0,42.06
2026-03-03,551.3,571.6,549.0,558.85,517293.0,42.06
2026-03-04,548.05,553.45,543.35,548.55,397965.0,61.9
2026-03-05,556.85,556.85,526.4,540.35,582952.0,44.02
2026-03-06,540.0,551.3,538.5,547.2,434732.0,58.27
2026-03-09,527.0,536.0,515.4,522.1,344298.0,43.07
2026-03-10,532.0,551.7,528.0,544.4,421657.0,55.76
2026-03-11,549.0,549.0,522.6,528.15,710395.0,77.18
2026-03-12,529.0,539.0,509.0,535.45,542969.0,56.28
2026-03-13,532.8,532.8,507.95,513.1,362574.0,50.14
2026-03-16,502.55,531.95,502.55,527.9,381299.0,38.35
2026-03-17,535.25,537.0,522.55,526.4,215782.0,37.84
2026-03-18,529.95,561.85,528.2,553.5,602040.0,45.02
2026-03-19,542.5,564.75,532.0,542.35,584828.0,53.21
2026-03-20,550.0,550.0,536.35,546.5,294561.0,41.06
2026-03-23,540.0,541.4,524.7,536.4,292503.0,46.29
2026-03-24,550.85,551.75,528.1,531.35,934257.0,60.34
2026-03-25,532.3,537.3,518.9,526.3,904829.0,55.57
2026-03-26,532.3,537.3,518.9,526.3,904829.0,55.57
2026-03-27,528.85,541.6,519.45,531.85,1241907.0,49.41
2026-03-30,522.7,530.0,508.3,515.1,368985.0,49.07
2026-03-31,522.7,530.0,508.3,515.1,368985.0,49.07
2026-04-01,540.0,548.4,524.0,531.15,658692.0,47.01
2026-04-02,528.0,534.9,516.0,531.45,297100.0,47.16
2026-04-03,528.0,534.9,516.0,531.45,297100.0,47.16
2026-04-06,525.1,533.95,523.5,528.65,494872.0,56.01
2026-04-07,528.65,553.0,520.05,546.55,922265.0,45.48
2026-04-08,558.8,578.4,557.0,568.4,508954.0,50.39
2026-04-09,563.6,566.75,548.25,555.95,421834.0,47.91
2026-04-10,563.8,569.4,556.2,561.45,317869.0,49.97
2026-04-13,555.0,564.95,545.25,558.95,317433.0,48.33
