,Open,High,Low,Close,Volume,DeliveryPct
2025-06-02,406.0,438.9,405.0,435.55,13347851.0,63.64
2025-06-03,431.2,436.85,415.3,435.2,2669763.0,62.08
2025-06-04,435.9,439.9,428.8,435.15,1352157.0,70.1
2025-06-05,433.1,436.5,430.1,431.65,618715.0,80.58
2025-06-06,431.6,434.45,425.65,432.45,653521.0,69.7
2025-06-09,430.0,435.5,427.25,434.75,885336.0,69.76
2025-06-10,435.0,435.4,422.1,424.3,521610.0,46.93
2025-06-11,428.9,428.9,413.1,417.05,638756.0,63.18
2025-06-12,417.75,418.35,410.0,412.55,246864.0,61.94
2025-06-13,400.0,408.4,393.45,402.35,450851.0,50.05
2025-06-16,402.0,403.0,388.8,400.05,351660.0,51.76
2025-06-17,399.9,411.3,398.1,409.75,446213.0,66.37
2025-06-18,409.75,409.75,392.3,397.65,267496.0,63.9
2025-06-19,397.65,398.0,382.5,390.2,568653.0,59.37
2025-06-20,390.1,395.0,388.5,393.5,387484.0,67.77
2025-06-23,387.0,390.4,384.0,389.35,244936.0,62.29
2025-06-24,389.35,403.0,389.35,400.95,264767.0,60.91
2025-06-25,400.95,406.0,397.95,405.05,284019.0,74.88
2025-06-26,405.95,406.05,399.55,402.6,159147.0,69.11
2025-06-27,404.7,411.65,398.5,410.15,234441.0,69.97
2025-06-30,406.0,408.9,396.55,405.15,928189.0,75.39
2025-07-01,405.45,408.2,401.0,405.15,345252.0,80.53
2025-07-02,404.95,410.0,401.6,408.75,272324.0,71.83
2025-07-03,405.0,412.5,404.0,408.7,493471.0,64.6
2025-07-04,409.1,409.5,400.0,401.6,77098.0,63.74
2025-07-07,398.0,409.0,398.0,406.55,224799.0,62.67
2025-07-08,412.5,430.0,406.55,427.8,1715672.0,55.03
2025-07-09,432.05,434.0,421.0,432.05,640994.0,57.13
2025-07-10,434.0,443.0,429.15,438.8,1558879.0,55.71
2025-07-11,439.15,443.3,431.95,434.85,537148.0,52.87
2025-07-14,436.95,439.4,430.0,436.15,394487.0,56.01
2025-07-15,432.0,441.9,431.8,435.3,520869.0,53.23
2025-07-16,434.85,454.0,433.95,452.0,1620138.0,62.74
2025-07-17,452.05,458.9,446.65,451.6,1334429.0,64.22
2025-07-18,450.0,463.0,444.55,461.0,1105101.0,55.98
2025-07-21,460.0,460.5,452.05,458.95,697027.0,68.44
2025-07-22,456.2,463.95,434.45,449.6,2430147.0,38.32
2025-07-23,454.5,474.4,453.05,465.4,2574898.0,49.97
2025-07-24,470.0,474.0,446.0,447.3,572167.0,48.4
2025-07-25,448.0,454.0,438.8,445.05,519556.0,65.08
2025-07-28,445.0,448.6,425.0,427.25,323017.0,45.06
2025-07-29,422.0,430.85,413.05,418.4,283827.0,52.17
2025-07-30,419.95,426.75,417.65,422.7,106559.0,53.37
2025-07-31,418.0,423.95,410.4,413.8,154822.0,49.6
2025-08-01,413.1,421.55,410.1,413.45,135456.0,63.59
2025-08-04,417.9,428.5,413.1,425.35,155337.0,54.19
2025-08-05,424.0,428.65,420.75,426.25,241718.0,73.07
2025-08-06,426.0,427.5,415.0,420.55,513593.0,74.99
2025-08-07,416.0,429.95,416.0,429.2,136289.0,52.13
2025-08-08,428.9,442.3,424.0,434.65,327627.0,60.1
2025-08-11,430.65,432.8,425.7,427.6,144988.0,67.68
2025-08-12,427.9,441.0,427.9,432.25,276326.0,60.8
2025-08-13,430.3,439.8,430.3,437.4,158442.0,69.46
2025-08-14,436.95,441.0,434.8,439.2,144649.0,68.01
2025-08-18,438.05,446.0,438.05,442.5,246506.0,66.94
2025-08-19,442.0,448.75,440.1,441.9,253021.0,66.38
2025-08-20,440.05,449.5,432.0,434.25,216018.0,53.32
2025-08-21,434.25,436.4,425.15,426.0,236847.0,46.06
2025-08-22,424.9,425.0,418.0,420.65,252774.0,71.99
2025-08-25,421.0,423.6,413.3,417.5,178667.0,47.84
2025-08-26,417.5,418.0,405.65,409.55,128707.0,51.67
2025-08-28,405.5,406.0,395.15,396.65,460425.0,63.42
2025-08-29,400.0,407.25,392.6,399.45,431294.0,77.6
2025-09-01,399.0,410.15,392.0,405.3,542011.0,49.21
2025-09-02,411.0,421.3,405.3,419.2,348490.0,50.99
2025-09-03,419.2,420.0,411.45,412.6,87302.0,51.11
2025-09-04,412.0,422.35,410.0,411.15,109551.0,42.31
2025-09-05,410.0,417.95,404.05,410.8,84959.0,34.93
2025-09-08,411.95,414.0,403.15,404.2,84973.0,54.85
2025-09-09,405.95,408.05,399.0,400.5,73253.0,69.27
2025-09-10,404.95,419.0,400.0,416.55,330700.0,49.21
2025-09-11,416.8,424.7,409.1,410.95,145773.0,55.15
2025-09-12,411.95,432.5,410.5,419.6,390762.0,59.06
2025-09-15,418.95,424.65,409.0,419.65,1931404.0,77.31
2025-09-16,421.9,421.9,409.55,413.0,887586.0,85.82
2025-09-17,413.0,428.9,411.4,428.0,1648107.0,83.51
2025-09-18,428.0,434.75,420.05,423.25,394188.0,41.61
2025-09-19,428.7,431.0,418.35,419.75,185567.0,54.23
2025-09-22,421.45,434.8,412.45,432.0,1208690.0,71.97
2025-09-23,431.05,445.85,425.05,437.45,783363.0,65.28
2025-09-24,439.0,439.55,428.25,430.4,250572.0,59.67
2025-09-25,430.0,439.1,430.0,431.05,226868.0,51.21
2025-09-26,428.25,431.8,417.5,419.45,149704.0,52.19
2025-09-29,424.8,424.8,403.65,414.9,1143573.0,51.41
2025-09-30,414.9,419.4,404.0,413.0,357523.0,57.46
2025-10-01,417.95,434.6,413.7,431.8,404508.0,59.23
2025-10-03,431.95,434.0,423.0,431.55,666275.0,73.77
2025-10-06,435.0,439.0,424.35,425.65,292304.0,57.85
2025-10-07,430.0,430.0,417.15,419.9,212543.0,60.17
2025-10-08,419.9,432.0,418.95,430.1,168958.0,56.0
2025-10-09,433.0,449.0,426.5,446.05,738679.0,54.52
2025-10-10,448.5,457.0,443.9,452.85,1116213.0,57.12
2025-10-13,449.9,472.0,446.25,465.4,1685998.0,40.25
2025-10-14,469.0,473.95,427.45,438.95,4111860.0,29.45
2025-10-15,446.75,448.65,430.7,440.65,1649792.0,49.61
2025-10-16,440.95,456.8,437.0,438.8,994268.0,51.75
2025-10-17,439.6,449.8,438.4,441.65,288308.0,46.66
2025-10-20,441.65,442.05,434.25,437.9,284301.0,49.47
2025-10-21,441.7,442.85,437.75,440.3,65836.0,61.91
2025-10-22,441.7,442.85,437.75,440.3,65836.0,61.91
2025-10-23,440.7,446.55,433.2,435.25,314904.0,60.7
2025-10-24,438.0,438.8,427.5,428.7,314217.0,63.68
2025-10-27,429.45,436.05,426.35,432.55,262502.0,51.47
2025-10-28,435.2,435.9,425.95,428.65,216634.0,50.34
2025-10-29,428.65,433.45,422.3,428.7,1037776.0,82.29
2025-10-30,429.15,441.15,419.85,436.25,904269.0,69.31
2025-10-31,430.1,445.0,430.1,433.7,459389.0,57.42
2025-11-03,431.3,441.7,429.0,435.95,180487.0,55.97
2025-11-04,439.0,443.7,435.75,440.25,442445.0,70.45
2025-11-05,439.0,443.7,435.75,440.25,442445.0,70.45
2025-11-06,437.0,437.8,416.0,421.9,450031.0,54.55
2025-11-07,415.05,439.9,413.55,436.6,400791.0,56.05
2025-11-10,436.25,442.0,425.15,438.7,265694.0,59.64
2025-11-11,431.05,437.85,427.1,431.5,178993.0,50.51
2025-11-12,431.0,435.1,428.05,432.3,729884.0,85.69
2025-11-13,433.0,440.55,432.8,435.7,573794.0,79.61
2025-11-14,438.7,438.7,426.1,428.4,110719.0,53.61
2025-11-17,435.0,440.0,431.4,437.9,237384.0,67.75
2025-11-18,438.95,448.0,427.35,430.8,340462.0,56.84
2025-11-19,430.0,430.5,422.0,426.8,244835.0,52.33
2025-11-20,426.8,431.65,425.0,427.3,149056.0,56.27
2025-11-21,427.4,427.45,415.6,417.0,336387.0,66.03
2025-11-24,418.85,421.0,394.75,402.6,2643462.0,67.44
2025-11-25,396.0,414.15,396.0,409.55,359661.0,53.99
2025-11-26,413.7,416.8,404.55,414.25,231642.0,58.25
2025-11-27,417.95,419.35,409.6,416.25,129513.0,53.46
2025-11-28,415.2,415.2,406.5,411.75,252806.0,68.78
2025-12-01,412.05,419.0,410.55,416.75,68123.0,48.9
2025-12-02,419.5,419.5,410.5,415.15,106028.0,62.33
2025-12-03,412.55,418.0,403.2,404.65,207555.0,62.57
2025-12-04,404.65,409.2,401.4,404.25,39747.0,45.54
2025-12-05,404.25,404.3,395.2,397.75,82731.0,61.09
2025-12-08,398.9,399.05,387.6,389.65,132247.0,65.04
2025-12-09,389.65,399.0,384.5,391.95,93298.0,45.24
2025-12-10,389.0,404.35,389.0,390.5,219899.0,74.25
2025-12-11,390.95,393.0,386.5,391.45,51484.0,55.71
2025-12-12,394.0,402.35,390.6,397.65,344260.0,76.49
2025-12-15,394.6,398.0,393.25,395.2,85222.0,58.78
2025-12-16,398.7,417.0,394.05,414.0,403671.0,51.35
