,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,843.1,848.0,835.0,842.45,10869.0,
2016-08-23,844.95,844.95,832.8,833.55,3820.0,
2016-08-24,833.5,840.05,832.75,836.75,3155.0,
2016-08-25,836.6,840.05,830.55,839.85,26179.0,
2016-08-26,838.95,840.05,825.0,829.95,10337.0,
2016-08-29,830.7,836.0,821.0,823.7,5999.0,
2016-08-30,824.85,842.0,823.5,838.4,19110.0,
2016-08-31,838.4,845.0,828.0,836.85,16941.0,
2016-09-01,839.6,846.35,826.3,829.8,19816.0,
2016-09-02,832.8,832.8,812.0,818.6,16471.0,
2016-09-06,819.1,834.9,816.15,829.6,39162.0,
2016-09-07,831.5,855.0,830.0,848.1,20125.0,
2016-09-08,848.1,864.0,841.75,860.3,217000.0,
2016-09-09,861.05,873.0,848.0,850.65,26886.0,
2016-09-12,847.65,847.65,816.0,819.15,18297.0,
2016-09-14,824.95,830.0,815.0,822.85,42994.0,
2016-09-15,829.0,840.0,820.0,824.7,6147.0,
2016-09-16,824.75,907.0,824.75,893.45,98750.0,
2016-09-19,890.0,912.45,818.6,894.8,44282.0,
2016-09-20,894.0,894.0,875.35,884.35,9188.0,
2016-09-21,884.5,910.0,878.05,885.75,35329.0,
2016-09-22,885.25,899.0,878.75,885.2,6661.0,
2016-09-23,891.45,892.75,855.25,859.55,30833.0,
2016-09-26,860.0,869.0,842.2,850.0,8860.0,
2016-09-27,851.35,892.2,850.0,867.35,51556.0,
2016-09-28,868.8,869.0,846.1,860.4,39517.0,
2016-09-29,864.95,870.0,826.0,853.35,27252.0,
2016-09-30,835.0,853.35,832.4,845.2,11156.0,
2016-10-03,847.2,889.0,845.05,881.45,19094.0,
2016-10-04,870.85,900.0,870.8,889.65,25458.0,
2016-10-05,894.25,949.0,894.25,913.75,72572.0,
2016-10-06,913.75,918.0,892.75,910.95,26737.0,
2016-10-07,890.1,898.95,882.0,893.3,16648.0,
2016-10-10,898.95,899.0,868.05,874.6,9479.0,
2016-10-13,880.0,910.0,859.05,897.2,45027.0,
2016-10-14,900.0,919.0,896.0,902.55,68279.0,
2016-10-17,899.95,912.85,871.1,880.6,36367.0,
2016-10-18,882.1,895.0,876.0,880.8,13682.0,
2016-10-19,881.0,889.95,872.9,876.4,11890.0,
2016-10-20,876.5,888.45,860.1,863.9,15056.0,
2016-10-21,863.0,883.9,863.0,877.1,13486.0,
2016-10-24,877.8,877.8,860.0,863.25,10053.0,
2016-10-25,867.0,867.0,849.0,850.3,15374.0,
2016-10-26,846.05,863.0,840.0,850.1,20013.0,
2016-10-27,841.6,856.95,839.0,846.3,16658.0,
2016-10-28,846.3,853.0,840.0,850.65,6097.0,
2016-11-01,865.3,865.3,850.05,855.9,7339.0,
2016-11-02,855.85,858.95,845.35,851.1,12512.0,
2016-11-03,851.6,857.7,851.6,854.25,12067.0,
2016-11-04,859.8,869.0,842.0,854.9,117215.0,
2016-11-07,868.0,868.05,838.9,848.2,10875.0,
2016-11-08,859.7,859.7,832.0,853.85,14447.0,
2016-11-09,822.0,868.0,816.35,847.9,15710.0,
2016-11-10,865.0,875.0,852.0,870.6,15628.0,
2016-11-11,869.0,895.0,864.5,882.4,39347.0,
2016-11-15,871.25,875.0,812.0,849.4,21623.0,
2016-11-16,846.0,864.9,835.0,860.95,4889.0,
2016-11-17,857.2,862.0,841.0,844.75,3990.0,
2016-11-18,844.75,844.75,830.0,833.25,9757.0,
2016-11-21,835.1,846.05,822.65,839.05,7235.0,
2016-11-22,850.0,874.8,827.05,847.3,38946.0,
2016-11-23,847.0,847.0,827.3,836.1,53543.0,
2016-11-24,835.0,841.25,815.1,820.3,25091.0,
2016-11-25,826.1,831.95,818.95,829.55,46309.0,
2016-11-28,830.0,830.05,820.0,824.95,8604.0,
2016-11-29,829.35,830.05,821.1,828.05,16591.0,
2016-11-30,829.95,874.0,822.0,833.05,66360.0,
2016-12-01,845.4,848.05,825.65,829.5,7925.0,
2016-12-02,831.65,835.0,821.0,829.6,4181.0,
2016-12-05,832.1,835.0,821.2,828.3,24503.0,
2016-12-06,822.1,832.0,822.1,829.55,14517.0,
2016-12-07,830.0,832.75,822.55,825.2,3772.0,
2016-12-08,822.55,832.05,822.55,829.6,12460.0,
2016-12-09,830.75,844.0,818.2,823.2,19786.0,
2016-12-12,829.25,829.25,821.0,826.55,2222.0,
2016-12-13,827.0,832.0,821.0,828.85,5290.0,
2016-12-14,830.1,830.55,820.15,823.05,10572.0,
2016-12-15,820.0,830.0,820.0,826.05,1934.0,
2016-12-16,831.0,831.0,822.0,825.9,30872.0,
2016-12-19,830.7,830.7,802.0,811.9,5293.0,
2016-12-20,810.0,811.0,787.8,794.3,10128.0,
2016-12-21,806.0,806.8,780.0,783.5,4394.0,
2016-12-22,781.05,786.9,775.3,776.85,5150.0,
2016-12-23,777.0,780.5,754.65,769.8,7562.0,
2016-12-26,775.0,775.0,741.3,744.0,6442.0,
2016-12-27,748.25,764.8,744.0,758.35,5344.0,
2016-12-28,769.95,769.95,743.1,748.95,9216.0,
