,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,567.0,577.95,563.45,569.5,12706.0,
2016-08-23,569.55,573.75,557.7,560.5,10677.0,
2016-08-24,564.5,577.9,555.15,565.3,14135.0,
2016-08-25,567.55,588.7,565.0,585.05,25825.0,
2016-08-26,581.15,589.0,560.75,568.6,13255.0,
2016-08-29,568.0,572.0,563.3,568.9,9570.0,
2016-08-30,570.15,572.0,565.5,567.3,8761.0,
2016-08-31,570.05,573.95,551.1,559.05,20680.0,
2016-09-01,568.9,568.9,551.0,552.55,27688.0,
2016-09-02,551.2,558.95,550.0,550.7,18893.0,
2016-09-06,552.05,557.95,543.15,546.35,25732.0,
2016-09-07,550.0,578.95,547.05,573.95,32794.0,
2016-09-08,576.4,584.0,562.45,565.25,20806.0,
2016-09-09,569.9,591.8,563.25,570.7,274099.0,
2016-09-12,568.0,568.0,547.0,551.2,24553.0,
2016-09-14,546.3,558.2,543.0,546.45,15170.0,
2016-09-15,550.7,554.45,542.05,546.8,11297.0,
2016-09-16,552.0,557.9,543.95,546.7,18693.0,
2016-09-19,548.6,549.0,537.6,541.05,20006.0,
2016-09-20,545.0,548.9,536.0,539.05,13658.0,
2016-09-21,535.2,545.0,530.25,534.1,19567.0,
2016-09-22,546.65,546.65,536.1,539.75,31592.0,
2016-09-23,538.95,564.0,537.05,550.55,67505.0,
2016-09-26,548.0,556.9,546.0,551.25,21225.0,
2016-09-27,554.85,559.5,550.05,555.25,17805.0,
2016-09-28,557.55,560.0,551.55,555.45,10903.0,
2016-09-29,556.5,559.7,535.0,551.1,23998.0,
2016-09-30,550.0,561.0,538.1,552.4,13910.0,
2016-10-03,550.15,569.0,550.1,559.45,19757.0,
2016-10-04,569.0,569.0,557.1,564.7,31387.0,
2016-10-05,564.7,567.0,559.5,561.75,8383.0,
2016-10-06,561.75,571.2,559.1,568.4,22014.0,
2016-10-07,570.0,581.75,562.5,579.5,33361.0,
2016-10-10,584.75,584.75,576.25,582.45,18059.0,
2016-10-13,575.05,584.4,568.0,570.3,15190.0,
2016-10-14,572.95,573.0,563.35,566.05,6035.0,
2016-10-17,566.0,598.0,566.0,577.25,35933.0,
2016-10-18,580.3,595.25,578.25,587.4,32805.0,
2016-10-19,577.0,594.0,577.0,590.35,38896.0,
2016-10-20,590.8,614.4,589.75,604.55,98968.0,
2016-10-21,605.5,640.0,599.9,617.4,257515.0,
2016-10-24,617.0,625.35,596.0,599.25,30524.0,
2016-10-25,591.5,606.0,580.25,592.55,30820.0,
2016-10-26,585.0,605.55,583.0,586.95,15359.0,
2016-10-27,583.05,585.0,575.25,577.35,13504.0,
2016-10-28,579.15,592.15,576.2,580.9,8345.0,
2016-11-01,597.0,597.0,576.2,578.95,11614.0,
2016-11-02,570.15,587.0,570.15,575.1,122951.0,
2016-11-03,571.25,583.9,570.25,573.45,16006.0,
2016-11-04,570.35,574.0,550.0,554.35,17711.0,
2016-11-07,568.0,568.0,556.35,561.75,8145.0,
2016-11-08,567.4,567.4,552.7,559.25,7491.0,
2016-11-09,500.0,575.95,498.0,565.2,36639.0,
2016-11-10,577.8,601.7,566.0,570.8,37302.0,
2016-11-11,569.8,585.25,555.0,558.7,14875.0,
2016-11-15,542.5,553.0,511.2,532.4,20893.0,
2016-11-16,542.75,558.7,525.1,551.45,15490.0,
2016-11-17,547.05,552.15,535.05,540.55,4462.0,
2016-11-18,540.0,565.0,532.0,555.8,46659.0,
2016-11-21,550.35,551.25,513.55,522.45,36215.0,
2016-11-22,522.0,537.95,522.0,531.9,12669.0,
2016-11-23,533.0,537.25,522.5,527.6,24100.0,
2016-11-24,520.25,527.8,516.25,520.25,22040.0,
2016-11-25,520.5,543.0,520.5,539.55,9620.0,
2016-11-28,545.0,560.0,540.0,553.15,13008.0,
2016-11-29,575.0,585.0,563.0,567.65,98512.0,
2016-11-30,560.1,568.6,555.5,559.45,13126.0,
2016-12-01,560.0,564.9,551.0,553.7,8136.0,
2016-12-02,557.6,576.0,550.6,573.35,27157.0,
2016-12-05,574.0,590.4,568.55,586.05,31653.0,
2016-12-06,577.5,599.0,572.55,579.75,36967.0,
2016-12-07,580.0,595.0,577.0,591.65,23717.0,
2016-12-08,583.0,601.0,583.0,599.25,30022.0,
2016-12-09,595.0,601.0,592.75,598.7,8785.0,
2016-12-12,590.15,596.0,579.15,586.65,4761.0,
2016-12-13,584.05,594.75,584.05,585.45,3862.0,
2016-12-14,584.35,589.95,568.0,575.25,9999.0,
2016-12-15,567.0,584.85,567.0,576.9,3660.0,
2016-12-16,575.1,596.0,575.1,580.1,9620.0,
2016-12-19,572.05,584.0,566.1,574.3,31505.0,
2016-12-20,568.0,588.8,568.0,584.15,13460.0,
2016-12-21,583.05,592.0,574.0,580.8,11195.0,
2016-12-22,575.1,587.95,571.0,583.65,32801.0,
2016-12-23,584.0,586.9,575.25,582.0,8446.0,
2016-12-26,576.4,584.0,572.0,578.7,8719.0,
2016-12-27,573.95,586.8,572.5,585.2,62781.0,
2016-12-28,585.2,598.95,580.0,592.35,16182.0,
2016-12-29,590.25,626.0,590.25,607.05,291857.0,
2016-12-30,609.85,614.95,593.0,597.2,33046.0,
2017-01-02,601.95,623.0,590.25,620.5,52328.0,
2017-01-03,625.0,666.0,613.0,642.75,438676.0,
2017-01-04,644.4,659.5,638.25,642.9,52341.0,
2017-01-05,640.05,641.15,623.5,627.75,23559.0,
2017-01-06,627.5,632.05,616.15,619.3,12993.0,
2017-01-09,624.0,629.95,610.65,621.35,14607.0,
2017-01-10,630.0,630.0,617.0,618.2,14618.0,
2017-01-11,620.05,644.0,620.05,631.4,151725.0,
2017-01-12,632.0,638.6,625.0,627.95,19047.0,
