,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,1934.9,1935.05,1921.0,1926.35,11974.0,
2016-08-23,1911.0,1940.95,1911.0,1926.45,3926.0,
2016-08-24,1924.0,1962.9,1901.55,1946.1,3290.0,
2016-08-25,1953.95,2035.0,1953.0,2005.5,10236.0,
2016-08-26,2037.7,2125.7,2016.05,2075.25,16894.0,
2016-08-29,2100.0,2108.0,2011.1,2097.7,7928.0,
2016-08-30,2099.9,2200.0,2052.0,2149.35,129120.0,
2016-08-31,2181.6,2198.9,2136.7,2175.75,6719.0,
2016-09-01,2175.75,2199.0,2171.0,2196.15,12511.0,
2016-09-02,2198.7,2277.0,2189.0,2246.8,33953.0,
2016-09-06,2273.9,2420.0,2252.0,2398.15,41755.0,
2016-09-07,2415.0,2444.0,2353.0,2356.3,32108.0,
2016-09-08,2356.4,2375.0,2339.0,2341.45,12416.0,
2016-09-09,2353.0,2372.45,2333.0,2344.8,11117.0,
2016-09-12,224.0,249.8,223.0,241.45,302622.0,
2016-09-14,241.8,244.45,237.5,239.8,81476.0,
2016-09-15,239.0,240.25,227.0,230.8,94714.0,
2016-09-16,237.9,237.9,224.0,225.7,95154.0,
2016-09-19,229.5,234.4,224.0,224.4,127469.0,
2016-09-20,225.0,229.9,218.5,219.45,84931.0,
2016-09-21,219.45,221.0,213.6,214.8,98355.0,
2016-09-22,220.0,220.0,212.0,212.5,100105.0,
2016-09-23,216.6,217.45,211.1,212.05,73714.0,
2016-09-26,210.05,215.0,210.05,212.15,49865.0,
2016-09-27,215.0,215.0,210.0,210.15,64785.0,
2016-09-28,210.5,212.0,208.0,209.65,68231.0,
2016-09-29,210.0,212.5,205.0,209.1,153388.0,
2016-09-30,205.25,217.7,205.25,213.45,117725.0,
2016-10-03,213.45,224.8,212.1,223.05,182227.0,
2016-10-04,225.0,228.0,220.85,222.55,115142.0,
2016-10-05,223.7,224.4,218.0,219.25,86507.0,
2016-10-06,220.0,222.75,214.55,216.85,61465.0,
2016-10-07,218.0,219.9,214.0,215.35,25251.0,
2016-10-10,216.0,218.9,212.5,214.1,32497.0,
2016-10-13,212.0,222.0,209.6,214.5,117881.0,
2016-10-14,214.5,215.0,208.5,210.35,45460.0,
2016-10-17,208.5,215.0,208.0,208.55,40988.0,
2016-10-18,214.35,214.35,208.35,212.1,30481.0,
2016-10-19,212.4,214.25,209.0,209.5,30661.0,
2016-10-20,211.0,211.4,206.55,208.45,66426.0,
2016-10-21,210.05,210.7,205.0,205.45,61122.0,
2016-10-24,209.8,209.8,202.0,203.1,60298.0,
2016-10-25,203.0,209.9,201.0,203.85,112293.0,
2016-10-26,201.2,203.7,198.0,199.1,83892.0,
2016-10-27,198.0,199.7,195.0,197.8,72322.0,
2016-10-28,195.05,204.8,195.05,199.4,129064.0,
2016-11-01,201.5,209.6,201.5,207.35,60189.0,
2016-11-02,206.65,206.65,200.0,200.7,36407.0,
2016-11-03,203.05,205.0,201.0,202.05,48399.0,
2016-11-04,204.85,204.9,195.1,195.8,76521.0,
2016-11-07,200.0,202.05,194.35,195.3,30902.0,
2016-11-08,196.0,209.5,195.1,201.75,362237.0,
2016-11-09,185.4,201.85,185.4,198.65,114510.0,
2016-11-10,203.45,205.0,197.05,199.45,35905.0,
2016-11-11,200.0,204.0,191.05,191.85,43418.0,
2016-11-15,192.0,195.35,186.0,191.55,67611.0,
2016-11-16,192.8,194.8,186.0,193.35,45544.0,
2016-11-17,195.2,195.2,188.0,189.2,63526.0,
2016-11-18,189.15,192.3,185.0,186.45,37456.0,
2016-11-21,185.1,188.0,182.0,182.55,36052.0,
2016-11-22,183.0,187.0,181.0,184.35,25998.0,
2016-11-23,185.25,186.0,181.0,183.0,22640.0,
2016-11-24,181.0,185.75,181.0,182.0,24771.0,
2016-11-25,182.15,185.5,180.0,181.65,57981.0,
2016-11-28,181.0,185.2,180.0,181.45,56955.0,
2016-11-29,183.6,187.0,180.1,181.95,56901.0,
2016-11-30,184.05,185.05,179.1,180.25,117743.0,
2016-12-01,183.9,183.9,178.0,178.7,673205.0,
2016-12-02,178.75,183.0,175.0,177.9,78805.0,
2016-12-05,179.8,203.7,175.65,199.5,1804413.0,
2016-12-06,202.0,203.9,195.0,198.35,412704.0,
2016-12-07,203.0,203.9,195.45,198.2,440948.0,
2016-12-08,200.9,206.0,199.15,203.7,212102.0,
2016-12-09,204.0,205.5,200.3,202.75,77017.0,
2016-12-12,205.35,205.35,198.65,199.8,44273.0,
2016-12-13,203.7,203.7,199.65,202.25,27075.0,
2016-12-14,203.25,203.25,196.75,197.75,34668.0,
2016-12-15,198.0,201.8,197.0,197.6,30942.0,
2016-12-16,197.6,201.7,194.5,198.55,44537.0,
2016-12-19,200.1,201.5,196.0,199.7,22856.0,
2016-12-20,199.7,200.95,195.0,196.25,24959.0,
2016-12-21,197.5,198.45,195.3,196.05,18327.0,
2016-12-22,195.7,196.7,191.75,193.1,24467.0,
2016-12-23,192.5,196.6,191.6,196.15,18827.0,
2016-12-26,196.5,197.7,190.8,196.0,35364.0,
2016-12-27,194.15,203.55,193.8,199.95,329467.0,
