,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,127.95,127.95,122.65,123.25,45212.0,
2016-08-23,122.5,125.5,121.6,124.65,41936.0,
2016-08-24,124.5,128.2,123.2,126.7,51400.0,
2016-08-25,126.7,128.05,124.25,124.8,26970.0,
2016-08-26,125.2,126.0,122.0,122.85,33815.0,
2016-08-29,120.8,128.0,120.8,125.65,70348.0,
2016-08-30,125.8,128.0,123.0,123.9,76486.0,
2016-08-31,125.35,127.0,122.9,125.2,96267.0,
2016-09-01,125.25,129.75,124.0,128.95,143363.0,
2016-09-02,128.95,135.7,115.0,123.15,924900.0,
2016-09-06,127.0,130.0,125.3,125.95,298581.0,
2016-09-07,126.9,126.9,123.0,124.15,100468.0,
2016-09-08,125.6,129.0,123.2,125.85,226227.0,
2016-09-09,126.3,126.4,124.05,124.85,57380.0,
2016-09-12,121.05,124.75,116.4,118.55,125551.0,
2016-09-14,119.75,121.75,118.0,118.85,108385.0,
2016-09-15,119.05,120.0,117.2,117.75,62612.0,
2016-09-16,118.2,123.3,117.5,122.3,243883.0,
2016-09-19,122.0,122.0,118.2,119.4,118982.0,
2016-09-20,120.7,121.4,118.75,119.35,96520.0,
2016-09-21,119.95,121.7,118.65,120.6,35634.0,
2016-09-22,121.85,126.7,119.5,124.85,142488.0,
2016-09-23,124.45,126.0,120.5,122.15,54472.0,
2016-09-26,121.05,123.85,119.5,119.75,31185.0,
2016-09-27,119.0,124.0,118.8,121.55,54069.0,
2016-09-28,121.95,122.8,120.2,120.95,26850.0,
2016-09-29,121.0,122.0,117.9,120.55,150354.0,
2016-09-30,119.4,123.5,118.1,122.95,86059.0,
2016-10-03,123.25,125.75,122.1,123.0,41530.0,
2016-10-04,124.95,127.0,121.2,125.85,57340.0,
2016-10-05,126.2,128.6,125.0,125.65,55129.0,
2016-10-06,127.05,127.65,122.5,123.25,38645.0,
2016-10-07,122.6,123.9,122.0,123.3,19267.0,
2016-10-10,124.5,124.9,121.75,123.6,34928.0,
2016-10-13,124.9,124.9,121.4,122.15,26863.0,
2016-10-14,123.05,124.9,121.0,123.1,28184.0,
2016-10-17,121.05,124.0,121.05,123.0,17739.0,
2016-10-18,122.5,128.95,122.5,125.55,58523.0,
2016-10-19,126.7,130.5,123.3,127.8,88917.0,
2016-10-20,129.95,129.95,124.55,126.05,59530.0,
2016-10-21,126.55,130.0,125.05,127.9,170505.0,
2016-10-24,128.05,129.85,126.55,127.2,28518.0,
2016-10-25,128.7,128.9,125.2,126.3,29480.0,
2016-10-26,126.05,127.75,124.9,125.45,22271.0,
2016-10-27,125.05,127.15,124.5,126.0,24703.0,
2016-10-28,125.25,127.6,124.6,127.1,26170.0,
2016-11-01,125.15,128.35,125.15,127.1,20001.0,
2016-11-02,126.5,127.5,125.9,127.0,126808.0,
2016-11-03,127.0,128.15,126.5,127.0,34017.0,
2016-11-04,127.5,128.0,127.0,127.35,332368.0,
2016-11-07,128.95,129.0,123.5,126.4,25853.0,
2016-11-08,128.95,128.95,127.0,127.15,19246.0,
2016-11-09,120.0,127.5,119.5,126.4,70625.0,
2016-11-10,127.6,128.0,126.75,127.0,26910.0,
2016-11-11,127.9,127.95,125.2,127.2,70500.0,
2016-11-15,125.0,126.95,120.7,121.8,116802.0,
2016-11-16,127.7,127.7,120.4,121.5,29368.0,
2016-11-17,121.5,122.7,118.25,119.7,159380.0,
2016-11-18,119.05,119.75,115.55,118.15,21627.0,
2016-11-21,117.3,120.4,114.5,116.4,22944.0,
2016-11-22,117.95,119.75,114.35,119.15,78661.0,
2016-11-23,119.15,120.0,118.2,118.7,25348.0,
2016-11-24,119.05,120.9,118.05,119.25,77295.0,
2016-11-25,119.8,120.1,118.25,118.55,771520.0,
2016-11-28,118.2,121.9,116.15,117.05,194172.0,
2016-11-29,119.85,120.15,116.0,117.0,294958.0,
2016-11-30,117.05,117.9,115.0,116.0,28379.0,
2016-12-01,117.1,117.1,114.9,115.15,19144.0,
2016-12-02,114.95,116.85,112.35,115.75,75043.0,
2016-12-05,117.25,117.25,114.0,114.9,21352.0,
2016-12-06,116.35,116.7,114.8,116.1,9221.0,
2016-12-07,116.15,117.3,115.8,116.85,7108.0,
2016-12-08,115.3,119.0,115.3,117.95,24483.0,
2016-12-09,118.0,121.25,117.55,119.65,23424.0,
2016-12-12,119.7,120.35,117.0,119.0,12595.0,
2016-12-13,119.9,119.95,117.5,119.1,18927.0,
2016-12-14,118.15,120.0,117.65,117.95,8095.0,
2016-12-15,117.3,119.8,115.0,118.75,13424.0,
2016-12-16,118.15,119.55,117.15,118.4,6265.0,
2016-12-19,119.95,119.95,115.35,115.85,6067.0,
2016-12-20,116.3,117.25,115.0,116.65,10539.0,
2016-12-21,115.1,117.25,114.2,115.0,789027.0,
2016-12-22,113.55,117.1,113.55,116.65,13467.0,
2016-12-23,116.05,117.8,114.65,114.85,27645.0,
2016-12-26,114.75,117.45,113.35,114.5,49368.0,
2016-12-27,113.3,116.1,113.3,114.4,140315.0,
2016-12-28,115.8,117.9,114.35,117.4,176337.0,
2016-12-29,116.5,120.7,116.15,118.8,84119.0,
2016-12-30,118.05,120.4,117.2,118.85,35163.0,
2017-01-02,121.95,121.95,117.3,119.5,5032.0,
2017-01-03,119.9,121.0,117.7,120.3,114963.0,
2017-01-04,120.45,122.0,118.5,119.65,59938.0,
2017-01-05,120.4,121.4,118.55,119.4,10016.0,
2017-01-06,122.0,122.0,117.95,118.45,182690.0,
2017-01-09,118.25,119.8,117.5,117.75,140129.0,
2017-01-10,118.95,121.5,117.9,119.45,134474.0,
2017-01-11,120.0,121.35,118.25,119.65,182023.0,
2017-01-12,120.95,120.95,118.5,118.7,147160.0,
2017-01-13,118.75,120.7,116.85,117.5,38373.0,
2017-01-16,118.0,118.4,112.15,113.2,141422.0,
2017-01-17,113.8,116.0,113.0,115.8,63997.0,
2017-01-18,115.65,116.0,114.0,114.3,17354.0,
2017-01-19,115.1,116.5,115.0,116.1,61912.0,
2017-01-20,115.2,120.0,115.2,117.75,58639.0,
2017-01-23,118.0,119.0,116.55,118.3,11946.0,
2017-01-24,118.3,119.9,117.7,119.15,22952.0,
2017-01-25,118.15,120.7,117.15,120.15,133497.0,
2017-01-27,122.0,122.0,119.0,120.05,135366.0,
2017-01-30,121.0,121.9,119.55,120.0,329111.0,
2017-01-31,121.45,121.45,119.15,120.25,79425.0,
2017-02-01,119.05,121.0,117.3,120.0,36581.0,
2017-02-02,119.4,121.0,118.3,119.05,134007.0,
2017-02-03,120.65,126.0,119.35,125.75,147699.0,
2017-02-06,130.0,130.0,126.3,127.65,49787.0,
2017-02-07,127.5,128.9,125.0,125.3,17480.0,
2017-02-08,127.95,128.05,123.0,124.65,40903.0,
2017-02-09,129.0,129.0,125.7,128.5,90421.0,
2017-02-10,128.5,128.75,124.4,124.8,34809.0,
2017-02-13,122.3,127.75,122.3,126.95,42221.0,
2017-02-14,127.0,128.0,124.65,125.3,23853.0,
2017-02-15,127.0,127.0,122.75,123.4,30009.0,
2017-02-16,124.0,124.95,122.45,124.1,17720.0,
2017-02-17,124.6,125.5,122.0,123.0,39054.0,
2017-02-20,124.85,125.0,122.0,123.35,62168.0,
2017-02-21,123.35,124.9,121.6,122.05,25972.0,
2017-02-22,123.0,124.3,121.35,122.9,24610.0,
2017-02-23,122.9,124.85,121.65,122.5,33419.0,
2017-02-27,124.5,124.85,121.6,122.9,29336.0,
2017-02-28,122.85,123.45,120.15,120.45,21450.0,
2017-03-01,122.4,122.4,120.0,121.75,18988.0,
2017-03-02,121.15,123.0,120.1,121.75,28395.0,
2017-03-03,121.0,124.4,121.0,122.5,26349.0,
2017-03-06,120.35,123.5,120.35,122.1,14522.0,
2017-03-07,122.0,123.0,121.5,122.35,15686.0,
2017-03-08,122.6,123.25,121.0,122.0,28532.0,
2017-03-09,121.15,123.5,120.95,123.1,28006.0,
2017-03-10,120.55,124.0,120.55,122.9,62441.0,
2017-03-14,123.05,125.45,122.35,123.25,36925.0,
2017-03-15,123.65,124.45,121.65,123.9,27478.0,
2017-03-16,124.65,127.0,122.65,123.65,123023.0,
2017-03-17,125.8,126.0,123.4,125.65,47544.0,
2017-03-20,126.9,127.0,124.4,124.95,95379.0,
2017-03-21,124.55,127.0,124.55,125.25,14287.0,
2017-03-22,122.25,127.6,122.25,127.0,39097.0,
2017-03-23,125.2,128.0,121.65,124.55,82610.0,
2017-03-24,125.0,126.95,124.1,125.25,48422.0,
2017-03-27,125.4,127.0,123.7,124.15,64825.0,
2017-03-28,126.45,128.15,124.25,127.65,65635.0,
2017-03-29,128.95,145.9,128.2,142.2,1250286.0,
2017-03-30,142.0,143.9,137.25,137.95,229193.0,
2017-03-31,137.0,147.3,135.85,144.9,369827.0,
2017-04-03,145.8,148.0,142.5,143.35,192653.0,
2017-04-05,143.0,144.8,140.05,141.0,89569.0,
2017-04-06,144.0,144.0,139.0,141.7,106681.0,
2017-04-07,141.0,145.9,139.3,139.9,109749.0,
2017-04-10,140.05,142.5,138.2,138.95,51113.0,
2017-04-11,140.05,142.85,138.6,139.5,60987.0,
2017-04-12,140.0,143.4,137.55,139.2,91804.0,
2017-04-13,141.0,141.0,138.2,139.4,43640.0,
2017-04-17,140.0,143.0,138.2,140.05,64771.0,
2017-04-18,141.95,141.95,135.0,136.55,94616.0,
2017-04-19,136.2,138.8,135.5,135.95,50265.0,
2017-04-20,137.95,142.0,136.0,139.5,162174.0,
2017-04-21,141.85,142.85,138.0,140.25,178785.0,
2017-04-24,141.9,142.9,140.0,140.35,104450.0,
2017-04-25,142.45,142.5,139.5,140.3,135993.0,
2017-04-26,140.0,141.8,139.0,139.15,84337.0,
2017-04-27,138.85,139.4,138.15,138.35,38579.0,
2017-04-28,139.65,139.65,137.2,137.75,30326.0,
2017-05-02,139.0,139.0,137.2,138.35,44778.0,
2017-05-03,136.05,141.7,136.0,138.55,72073.0,
2017-05-04,137.0,139.85,135.3,137.0,47621.0,
2017-05-05,137.05,138.95,136.05,137.65,38395.0,
2017-05-08,139.0,142.05,137.3,137.9,51727.0,
2017-05-09,139.95,140.0,136.3,138.2,40613.0,
2017-05-10,139.8,139.8,137.0,137.65,65583.0,
2017-05-11,138.9,138.9,136.6,138.1,26082.0,
2017-05-12,138.0,139.75,135.5,137.5,52525.0,
2017-05-15,138.45,140.1,137.1,139.35,92460.0,
2017-05-16,139.0,141.0,136.9,138.8,253487.0,
2017-05-17,138.9,139.7,137.25,138.3,44497.0,
2017-05-18,137.0,149.0,137.0,140.45,410077.0,
2017-05-19,139.1,142.8,132.0,133.35,168439.0,
2017-05-22,134.95,137.7,131.1,134.25,135379.0,
2017-05-23,135.45,136.35,127.0,135.2,172655.0,
2017-05-24,133.55,135.0,129.2,132.1,70934.0,
2017-05-25,132.6,138.2,130.0,135.45,97840.0,
2017-05-26,135.5,138.5,133.75,137.35,53427.0,
2017-05-29,137.35,138.5,133.05,137.9,46605.0,
2017-05-30,139.0,141.5,134.3,141.0,92507.0,
2017-05-31,141.0,142.6,135.4,137.45,91537.0,
2017-06-01,138.7,138.7,135.1,136.15,72888.0,
2017-06-02,137.5,139.75,133.1,138.95,54606.0,
2017-06-05,139.0,140.95,137.05,140.1,55080.0,
2017-06-06,140.85,141.4,137.5,140.2,38214.0,
2017-06-07,142.7,142.7,138.3,138.85,27876.0,
2017-06-08,141.7,141.7,136.5,137.55,25622.0,
2017-06-09,138.8,141.0,138.05,139.9,88304.0,
2017-06-12,139.9,141.1,137.0,139.7,130934.0,
2017-06-13,139.9,140.5,137.9,140.05,48106.0,
2017-06-14,139.75,139.9,137.0,137.5,35676.0,
2017-06-15,137.45,137.5,135.2,135.8,21005.0,
2017-06-16,137.0,140.5,135.9,139.9,44096.0,
2017-06-19,140.5,141.0,137.65,138.45,16671.0,
2017-06-20,139.95,140.0,137.05,138.55,20465.0,
2017-06-21,138.75,139.75,136.15,137.9,34496.0,
