,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,312.0,312.05,304.15,305.7,1130620.0,
2016-08-23,305.95,310.35,304.35,306.15,1134199.0,
2016-08-24,307.5,309.5,305.2,306.4,865345.0,
2016-08-25,307.1,309.9,303.55,306.35,1286991.0,
2016-08-26,306.65,307.3,301.7,303.4,767674.0,
2016-08-29,303.45,313.5,300.85,311.55,1223678.0,
2016-08-30,314.95,328.15,314.55,326.05,3263919.0,
2016-08-31,327.7,332.95,324.6,326.05,2253745.0,
2016-09-01,327.0,329.4,322.9,327.3,1645756.0,
2016-09-02,337.05,338.9,331.2,332.3,2323193.0,
2016-09-06,335.7,336.6,329.6,332.9,885742.0,
2016-09-07,332.4,332.75,328.5,330.65,2067143.0,
2016-09-08,331.0,342.3,328.9,337.85,3294803.0,
2016-09-09,338.0,338.0,327.3,329.8,2094798.0,
2016-09-12,316.0,323.4,310.0,321.6,1833521.0,
2016-09-14,324.0,328.45,322.05,326.2,971448.0,
2016-09-15,326.7,328.0,319.8,322.2,741373.0,
2016-09-16,325.0,339.7,323.2,338.35,5043289.0,
2016-09-19,340.8,343.65,335.55,337.4,2173004.0,
2016-09-20,336.55,338.0,330.6,332.55,1017386.0,
2016-09-21,332.95,341.5,331.35,333.8,2098496.0,
2016-09-22,338.5,350.6,338.5,349.15,3858785.0,
2016-09-23,352.9,354.8,348.0,350.5,3228823.0,
2016-09-26,347.9,353.5,345.5,348.25,1441653.0,
2016-09-27,350.25,351.75,346.3,347.85,1712135.0,
2016-09-28,348.0,357.8,342.5,350.9,2532489.0,
2016-09-29,354.4,356.5,337.65,349.4,4628395.0,
2016-09-30,345.05,368.6,343.0,365.85,4329352.0,
2016-10-03,369.8,382.8,365.9,377.6,3278206.0,
2016-10-04,380.95,385.25,374.4,377.45,2588516.0,
2016-10-05,379.95,384.9,373.5,379.4,1838703.0,
2016-10-06,380.0,387.95,377.1,384.7,3096282.0,
2016-10-07,383.9,389.2,380.0,386.2,1961307.0,
2016-10-10,388.6,393.5,386.55,388.55,1247661.0,
2016-10-13,387.9,387.9,380.25,385.05,1586464.0,
2016-10-14,388.0,391.65,383.4,390.45,1242560.0,
2016-10-17,390.9,394.0,385.0,389.25,2062493.0,
2016-10-18,394.0,401.8,392.0,395.05,2231607.0,
2016-10-19,396.0,396.4,389.2,391.4,1378425.0,
2016-10-20,394.8,395.15,390.0,393.05,1198309.0,
2016-10-21,393.1,397.2,390.5,395.9,1509614.0,
2016-10-24,397.25,399.0,393.35,395.75,905922.0,
2016-10-25,394.8,409.0,392.5,407.7,2310529.0,
2016-10-26,407.5,411.25,396.1,399.95,2155079.0,
2016-10-27,400.95,420.0,387.25,412.1,9380056.0,
2016-10-28,415.9,415.95,402.25,405.0,3136287.0,
2016-11-01,411.6,411.7,402.0,403.75,1954407.0,
2016-11-02,401.95,408.4,397.25,400.8,1576538.0,
2016-11-03,404.15,405.5,391.0,392.5,3592297.0,
2016-11-04,393.0,397.6,387.25,392.7,1141253.0,
2016-11-07,398.0,399.0,388.0,389.65,995524.0,
2016-11-08,394.0,394.0,385.6,390.95,1211557.0,
2016-11-09,354.5,383.95,351.9,379.7,3266911.0,
2016-11-10,384.0,389.9,376.65,379.15,1595511.0,
2016-11-11,375.0,375.0,351.9,361.8,3159026.0,
2016-11-15,361.0,361.0,338.0,347.5,2398759.0,
2016-11-16,352.65,362.95,345.6,358.7,1737436.0,
2016-11-17,354.0,368.0,345.2,362.9,2130082.0,
2016-11-18,363.0,364.8,356.6,361.75,1217518.0,
2016-11-21,360.45,360.45,341.65,344.65,1811722.0,
2016-11-22,346.25,352.9,344.25,349.45,747137.0,
2016-11-23,351.95,357.0,346.6,355.2,1202353.0,
2016-11-24,354.0,364.0,348.0,359.95,1757289.0,
2016-11-25,357.8,359.4,353.05,355.5,1231110.0,
2016-11-28,348.5,356.5,348.5,354.2,665969.0,
2016-11-29,354.1,362.4,352.25,358.7,812566.0,
2016-11-30,361.5,379.5,360.0,374.1,2131541.0,
2016-12-01,373.5,376.5,364.4,367.5,1167302.0,
2016-12-02,357.25,365.5,356.25,358.35,1409758.0,
2016-12-05,358.0,362.55,352.8,356.85,910021.0,
2016-12-06,359.0,360.75,354.0,354.95,747985.0,
2016-12-07,356.0,363.05,354.1,360.6,916952.0,
2016-12-08,363.95,364.8,361.1,363.3,787129.0,
2016-12-09,365.8,366.85,360.5,363.45,592786.0,
2016-12-12,363.35,368.8,357.55,367.55,738597.0,
2016-12-13,368.15,384.35,367.0,382.2,3136157.0,
2016-12-14,382.4,387.4,378.4,380.15,2958083.0,
2016-12-15,376.2,381.0,373.65,379.4,615476.0,
2016-12-16,379.0,383.6,374.05,378.2,603536.0,
2016-12-19,378.4,381.0,374.4,376.1,550972.0,
2016-12-20,376.6,377.5,369.65,370.55,664140.0,
2016-12-21,370.0,373.05,369.95,371.1,797108.0,
2016-12-22,369.0,374.75,365.0,367.15,1246719.0,
2016-12-23,366.0,371.8,364.2,370.65,683545.0,
2016-12-26,370.65,370.65,365.25,366.6,381140.0,
2016-12-27,362.05,364.0,349.35,351.65,1510214.0,
2016-12-28,349.1,356.7,346.4,353.45,1529496.0,
2016-12-29,353.4,367.9,347.8,364.65,2550664.0,
2016-12-30,363.9,367.0,358.45,360.5,917360.0,
2017-01-02,357.2,369.4,355.4,367.65,1099942.0,
2017-01-03,356.65,384.15,356.65,377.4,2784655.0,
2017-01-04,377.0,377.8,372.0,375.25,818943.0,
2017-01-05,376.95,389.7,376.25,384.8,2392687.0,
2017-01-06,385.9,392.85,384.75,387.1,1746493.0,
2017-01-09,387.05,389.25,382.85,384.75,671414.0,
2017-01-10,385.0,388.75,382.3,383.45,950940.0,
2017-01-11,383.7,386.35,379.3,380.5,943941.0,
