,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,135.75,136.65,132.5,133.6,3453206.0,
2016-08-23,133.7,135.85,132.05,135.5,4188128.0,
2016-08-24,135.6,136.8,134.15,136.2,3550061.0,
2016-08-25,136.95,137.35,133.65,134.1,2777826.0,
2016-08-26,134.35,135.15,132.2,134.0,3586164.0,
2016-08-29,133.9,134.9,132.3,134.35,2689494.0,
2016-08-30,135.1,142.95,134.7,141.45,6299917.0,
2016-08-31,142.0,144.5,140.5,141.7,6284081.0,
2016-09-01,140.95,142.4,135.6,137.5,3435993.0,
2016-09-02,136.8,140.5,136.75,140.0,3234020.0,
2016-09-06,142.1,146.6,141.6,145.7,5844510.0,
2016-09-07,147.2,154.2,146.3,150.75,10445879.0,
2016-09-08,151.2,153.8,148.25,152.1,4452546.0,
2016-09-09,151.1,152.15,148.35,149.3,4760285.0,
2016-09-12,146.4,146.9,139.6,141.05,4757118.0,
2016-09-14,139.8,145.2,139.5,144.65,5602441.0,
2016-09-15,145.3,145.9,141.4,143.45,3415822.0,
2016-09-16,145.25,147.45,140.25,140.8,7166925.0,
2016-09-19,142.05,143.1,141.0,141.75,2920926.0,
2016-09-20,142.65,143.2,141.0,141.55,2585398.0,
2016-09-21,142.0,143.7,141.05,141.5,3035316.0,
2016-09-22,145.0,146.25,142.6,145.8,4549769.0,
2016-09-23,146.0,148.0,144.1,145.2,4524412.0,
2016-09-26,145.0,145.0,140.75,141.3,4276948.0,
2016-09-27,142.65,142.85,139.2,141.55,3455224.0,
2016-09-28,141.0,147.4,140.8,146.0,4109456.0,
2016-09-29,147.35,148.1,132.45,135.4,7010722.0,
2016-09-30,135.0,139.0,133.8,137.35,4217197.0,
2016-10-03,139.0,143.8,138.8,143.2,4112055.0,
2016-10-04,144.0,155.0,142.5,152.2,12915444.0,
2016-10-05,153.0,154.9,150.4,152.35,7385189.0,
2016-10-06,153.4,154.45,147.25,149.4,4288776.0,
2016-10-07,149.9,150.55,147.4,149.1,3385978.0,
2016-10-10,150.2,151.0,144.8,145.65,3728631.0,
2016-10-13,144.0,144.2,140.75,142.25,7498766.0,
2016-10-14,143.55,144.4,140.15,141.25,3230470.0,
2016-10-17,141.9,142.7,136.1,137.3,4779048.0,
2016-10-18,138.5,143.7,138.2,143.2,3708398.0,
2016-10-19,144.0,144.2,140.45,142.75,3195646.0,
2016-10-20,143.25,149.3,143.0,147.85,5526031.0,
2016-10-21,147.5,148.0,144.4,146.95,3224297.0,
2016-10-24,147.1,150.85,147.1,148.0,4283625.0,
2016-10-25,147.0,149.3,147.0,147.75,2744146.0,
2016-10-26,147.0,149.65,142.8,144.65,3228567.0,
2016-10-27,143.95,145.45,141.5,143.85,2633065.0,
2016-10-28,144.45,148.0,143.75,147.65,3860131.0,
2016-11-01,147.0,147.7,143.7,144.2,2336674.0,
2016-11-02,142.25,142.75,138.3,139.05,3525327.0,
2016-11-03,138.2,140.5,136.1,137.05,4522777.0,
2016-11-04,138.0,138.3,132.3,133.95,6460119.0,
2016-11-07,135.8,137.0,131.6,132.85,6212822.0,
2016-11-08,132.55,133.3,128.5,129.55,5101370.0,
2016-11-09,119.1,130.9,116.0,128.7,10105589.0,
2016-11-10,134.0,145.4,132.5,143.05,12454663.0,
2016-11-11,143.0,154.45,140.6,143.9,17837062.0,
2016-11-15,145.5,149.9,142.55,147.8,9838960.0,
2016-11-16,151.0,152.0,146.25,147.85,7363461.0,
2016-11-17,147.85,151.0,147.1,149.4,4976955.0,
2016-11-18,150.95,158.0,148.85,157.1,10697831.0,
2016-11-21,158.0,159.6,147.5,148.75,8355799.0,
2016-11-22,150.0,152.6,146.2,151.05,5293008.0,
2016-11-23,151.85,152.4,146.55,149.1,5028422.0,
2016-11-24,147.75,152.35,146.3,151.5,5034549.0,
2016-11-25,151.55,154.7,151.15,153.05,3755179.0,
2016-11-28,150.6,155.3,148.05,150.05,4409902.0,
2016-11-29,150.35,153.2,148.0,149.25,2733689.0,
2016-11-30,150.7,152.35,147.55,151.95,5256015.0,
2016-12-01,152.2,153.0,146.3,147.7,3933605.0,
2016-12-02,147.0,147.05,140.75,141.9,10182446.0,
2016-12-05,140.95,145.25,140.2,144.6,3600515.0,
2016-12-06,145.3,145.9,142.9,143.2,2699178.0,
2016-12-07,143.95,145.0,138.55,141.3,4190138.0,
2016-12-08,143.7,143.8,141.1,141.7,2420166.0,
2016-12-09,142.5,145.1,141.7,144.25,3039033.0,
2016-12-12,143.9,144.85,140.65,141.6,2524234.0,
2016-12-13,141.85,142.9,140.3,142.4,2349439.0,
2016-12-14,143.0,143.0,139.2,139.65,1961530.0,
2016-12-15,137.95,141.2,136.2,139.05,2787159.0,
2016-12-16,141.0,141.0,136.8,137.15,1987735.0,
2016-12-19,136.1,136.55,133.2,133.55,2650842.0,
2016-12-20,132.15,134.1,128.5,129.35,3766220.0,
2016-12-21,130.15,130.95,127.5,128.1,3408851.0,
2016-12-22,126.55,127.2,125.45,126.25,2433783.0,
2016-12-23,126.0,128.0,125.4,126.55,2500333.0,
2016-12-26,125.95,125.95,121.2,121.8,2216753.0,
2016-12-27,122.0,125.0,119.8,124.0,2768606.0,
2016-12-28,124.3,126.45,123.6,124.15,2229100.0,
2016-12-29,123.3,124.7,121.3,121.95,2479869.0,
2016-12-30,121.95,125.4,121.65,123.1,3209572.0,
2017-01-02,124.5,126.5,121.65,125.55,3427697.0,
2017-01-03,125.0,126.9,123.6,126.25,3067265.0,
2017-01-04,126.4,127.2,124.35,125.55,2202598.0,
2017-01-05,127.0,128.5,126.1,127.9,2837972.0,
2017-01-06,128.6,130.8,128.05,129.15,3301515.0,
2017-01-09,129.95,130.0,127.15,127.65,2543447.0,
2017-01-10,128.5,132.2,126.9,131.25,2941207.0,
2017-01-11,131.9,143.85,131.05,140.2,9087334.0,
2017-01-12,139.85,140.2,135.8,136.4,4274500.0,
2017-01-13,137.3,139.9,135.05,138.7,3792777.0,
2017-01-16,138.1,140.45,136.55,137.7,2982923.0,
2017-01-17,138.6,140.35,137.2,138.5,3977619.0,
2017-01-18,138.7,140.2,138.15,138.95,2260205.0,
2017-01-19,138.8,141.9,138.0,140.1,3659192.0,
2017-01-20,139.0,141.15,135.15,135.7,2810197.0,
2017-01-23,135.2,138.8,131.6,137.95,2656279.0,
2017-01-24,138.5,139.4,137.2,138.85,2225296.0,
2017-01-25,139.8,144.3,138.4,142.1,3864730.0,
2017-01-27,142.1,145.85,141.2,143.05,3639299.0,
2017-01-30,142.35,152.5,141.75,148.45,7000407.0,
2017-01-31,148.0,148.0,142.8,144.2,2759245.0,
2017-02-01,144.9,153.0,143.25,151.9,7953417.0,
2017-02-02,150.6,153.45,146.4,151.6,6780058.0,
2017-02-03,151.7,169.1,151.05,167.3,14969300.0,
2017-02-06,168.5,172.5,166.3,167.9,9057071.0,
2017-02-07,167.3,170.8,164.0,168.35,5724353.0,
2017-02-08,169.7,169.7,164.5,166.55,6245171.0,
2017-02-09,161.95,163.0,152.2,153.9,20881408.0,
2017-02-10,153.5,155.75,148.6,150.2,6777579.0,
