,Open,High,Low,Close,Volume,DeliveryPct
2024-06-07,1306.45,1320.0,1294.65,1307.55,1151764.0,70.19
2024-06-10,1327.0,1327.0,1307.15,1315.1,654963.0,66.58
2024-06-11,1316.1,1334.85,1312.0,1317.7,625503.0,63.68
2024-06-12,1318.7,1318.7,1284.35,1290.85,1374418.0,73.91
2024-06-13,1292.0,1300.0,1272.4,1275.45,1049119.0,75.28
2024-06-14,1282.55,1282.55,1258.2,1269.0,1574896.0,71.22
2024-06-17,1282.55,1282.55,1258.2,1269.0,1574896.0,71.22
2024-06-18,1265.0,1274.85,1237.0,1252.6,3609667.0,79.65
2024-06-19,1255.0,1281.25,1245.75,1272.85,1292892.0,52.05
2024-06-20,1272.95,1278.75,1259.0,1265.55,388681.0,53.35
2024-06-21,1275.0,1275.95,1255.0,1260.65,580871.0,58.73
2024-06-24,1255.0,1301.85,1245.75,1298.35,1700427.0,63.6
2024-06-25,1309.75,1309.75,1275.55,1281.9,612621.0,43.02
2024-06-26,1279.7,1291.2,1270.0,1276.8,370291.0,50.05
2024-06-27,1265.05,1294.85,1263.85,1287.8,619542.0,52.13
2024-06-28,1287.0,1298.0,1272.75,1276.5,632972.0,59.36
2024-07-01,1261.1,1276.65,1255.25,1267.8,533705.0,51.62
2024-07-02,1274.0,1292.0,1263.95,1274.95,749206.0,58.32
2024-07-03,1280.0,1286.15,1268.1,1271.5,420654.0,62.61
2024-07-04,1265.25,1281.95,1257.0,1259.4,375289.0,63.63
2024-07-05,1259.4,1267.75,1249.3,1254.15,779976.0,72.48
2024-07-08,1257.0,1279.0,1257.0,1272.1,2122654.0,76.09
2024-07-09,1279.0,1306.85,1276.1,1288.25,2432990.0,66.47
2024-07-10,1289.75,1295.45,1267.0,1281.05,854243.0,60.21
2024-07-11,1280.0,1294.1,1274.7,1284.5,682041.0,71.11
2024-07-12,1284.5,1292.7,1273.2,1289.65,703819.0,67.16
2024-07-15,1289.65,1308.0,1275.95,1303.7,551101.0,59.21
2024-07-16,1308.0,1317.45,1292.3,1298.6,1048505.0,47.42
2024-07-17,1308.0,1317.45,1292.3,1298.6,1048505.0,47.42
2024-07-18,1298.0,1302.0,1282.85,1299.45,558296.0,59.5
2024-07-19,1306.0,1314.65,1288.85,1297.75,1365917.0,48.13
2024-07-22,1295.05,1315.0,1292.5,1308.1,1066896.0,55.48
2024-07-23,1317.5,1335.65,1263.55,1332.0,1093010.0,37.16
2024-07-24,1360.0,1417.3,1342.0,1382.85,6354785.0,40.92
2024-07-25,1374.0,1450.0,1337.85,1443.8,3367113.0,48.64
2024-07-26,1441.05,1442.7,1410.75,1415.4,892506.0,45.99
2024-07-29,1430.0,1434.95,1406.3,1421.1,860229.0,60.28
2024-07-30,1410.0,1430.0,1404.4,1409.25,394332.0,51.29
2024-07-31,1413.85,1424.5,1406.25,1413.3,940385.0,67.14
2024-08-01,1411.0,1421.0,1406.05,1413.75,489925.0,51.24
2024-08-02,1400.0,1431.0,1394.1,1421.0,1436552.0,71.7
2024-08-05,1386.0,1435.85,1382.65,1400.25,1199119.0,41.13
