,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,644.0,655.5,641.35,652.0,1553265.0,
2016-08-23,648.0,653.6,639.8,645.25,913169.0,
2016-08-24,642.05,651.7,641.15,644.2,737226.0,
2016-08-25,645.0,646.05,629.3,632.25,1421234.0,
2016-08-26,634.5,639.0,625.65,634.8,1284634.0,
2016-08-29,631.6,649.2,631.6,637.15,1693138.0,
2016-08-30,640.05,643.7,637.95,638.75,517904.0,
2016-08-31,641.4,644.65,634.75,638.95,1414184.0,
2016-09-01,639.9,645.0,612.8,627.15,876847.0,
2016-09-02,625.1,639.9,617.1,635.2,936009.0,
2016-09-06,632.0,650.8,632.0,647.95,1201199.0,
2016-09-07,646.6,668.0,646.55,660.85,2101398.0,
2016-09-08,661.0,662.6,652.35,659.35,656016.0,
2016-09-09,650.0,671.35,650.0,660.5,1633446.0,
2016-09-12,648.0,657.9,635.1,649.1,1753618.0,
2016-09-14,648.35,700.25,648.35,696.3,2349569.0,
2016-09-15,703.1,710.7,682.25,684.75,2481208.0,
2016-09-16,686.55,700.5,682.55,692.8,3224824.0,
2016-09-19,699.7,699.7,678.9,682.25,1953697.0,
2016-09-20,686.0,691.25,677.6,679.8,1396637.0,
2016-09-21,682.4,697.0,675.75,684.2,1933873.0,
2016-09-22,691.0,696.3,680.8,684.25,1694575.0,
2016-09-23,688.0,706.9,683.1,692.4,2740874.0,
2016-09-26,694.2,694.2,678.65,682.15,1229284.0,
2016-09-27,686.7,694.9,680.75,683.7,1391126.0,
2016-09-28,688.0,690.85,679.3,683.0,1854121.0,
2016-09-29,687.45,687.55,643.15,650.3,2010374.0,
2016-09-30,645.0,677.0,644.15,673.85,890121.0,
2016-10-03,675.9,686.2,674.05,680.2,770968.0,
2016-10-04,682.7,682.7,663.2,676.5,974764.0,
2016-10-05,681.0,688.8,675.75,680.4,1141880.0,
2016-10-06,682.0,683.3,666.35,671.5,911842.0,
2016-10-07,673.5,681.0,668.35,672.2,603127.0,
2016-10-10,678.3,679.4,670.0,670.9,263590.0,
2016-10-13,667.9,673.3,647.8,669.35,1318319.0,
2016-10-14,670.0,686.0,666.3,683.35,1146193.0,
2016-10-17,678.8,693.0,678.0,686.85,1817729.0,
2016-10-18,690.0,694.35,687.1,692.6,1109599.0,
2016-10-19,693.0,712.75,683.25,710.25,2494933.0,
2016-10-20,712.0,720.9,705.8,714.95,2416259.0,
2016-10-21,712.0,722.2,711.0,718.35,1191762.0,
2016-10-24,717.1,730.7,713.25,721.45,879910.0,
2016-10-25,716.6,722.1,701.45,712.9,859918.0,
2016-10-26,710.55,718.4,693.5,699.15,1076459.0,
2016-10-27,699.0,714.15,695.05,706.5,1677187.0,
2016-10-28,704.1,713.65,664.4,697.8,6093817.0,
2016-11-01,698.9,709.45,698.3,706.25,1575977.0,
2016-11-02,696.0,701.4,676.85,680.15,1541761.0,
2016-11-03,683.95,687.0,661.6,669.35,2615531.0,
2016-11-04,675.0,676.0,658.8,672.45,1262242.0,
2016-11-07,675.0,684.9,665.2,668.35,1065436.0,
2016-11-08,671.0,687.35,656.4,684.4,1642646.0,
2016-11-09,641.5,670.0,624.05,661.2,2249007.0,
2016-11-10,671.7,703.3,668.6,694.25,1545779.0,
2016-11-11,692.0,692.05,643.05,647.1,1525662.0,
2016-11-15,647.0,647.0,596.0,600.35,2089813.0,
2016-11-16,601.05,636.3,594.0,620.7,2233058.0,
2016-11-17,620.7,626.6,609.5,617.1,945261.0,
2016-11-18,624.9,629.2,617.5,623.6,828521.0,
2016-11-21,623.5,628.5,599.6,608.85,1088943.0,
2016-11-22,610.15,623.0,584.2,606.2,2288495.0,
2016-11-23,613.9,620.5,608.05,611.05,1615159.0,
2016-11-24,610.9,614.8,597.5,609.25,1313739.0,
2016-11-25,609.35,631.0,601.4,628.7,1092235.0,
2016-11-28,625.1,634.5,620.05,628.65,721679.0,
2016-11-29,620.2,638.7,620.2,625.45,1696319.0,
2016-11-30,628.0,636.0,624.15,633.95,1605002.0,
2016-12-01,631.0,654.1,630.0,650.5,2180181.0,
2016-12-02,647.8,660.45,643.0,652.2,1784642.0,
2016-12-05,649.0,666.85,648.95,663.65,735061.0,
2016-12-06,667.3,680.0,660.95,672.55,1113924.0,
2016-12-07,677.2,678.1,666.05,672.2,466868.0,
2016-12-08,679.45,703.5,677.05,700.15,1340805.0,
2016-12-09,702.5,712.0,690.5,695.5,1127650.0,
2016-12-12,695.0,703.0,687.0,695.55,641528.0,
2016-12-13,695.0,702.45,674.35,678.05,1053489.0,
2016-12-14,680.0,680.05,648.0,651.1,1721417.0,
2016-12-15,638.0,660.0,638.0,644.85,2182228.0,
2016-12-16,649.7,666.95,639.85,663.4,1667478.0,
2016-12-19,662.85,662.85,636.1,641.0,1047989.0,
2016-12-20,641.0,649.1,630.75,634.3,785850.0,
2016-12-21,635.0,638.4,625.35,631.1,685134.0,
2016-12-22,628.1,630.9,616.3,618.95,648979.0,
2016-12-23,623.0,636.35,610.35,627.0,1103100.0,
2016-12-26,628.9,628.9,606.5,612.3,879938.0,
2016-12-27,610.0,640.0,606.05,636.45,995647.0,
2016-12-28,642.05,646.0,628.75,631.3,1775517.0,
2016-12-29,632.1,640.0,630.1,638.0,838184.0,
2016-12-30,644.8,653.5,642.0,647.0,793645.0,
2017-01-02,649.3,660.45,645.0,658.65,630573.0,
2017-01-03,660.5,664.4,652.65,655.0,646417.0,
2017-01-04,653.5,671.45,651.85,667.55,1753095.0,
2017-01-05,668.0,677.0,665.1,674.6,1248822.0,
2017-01-06,676.0,677.7,657.8,659.9,1102393.0,
2017-01-09,662.0,676.45,660.05,672.9,587555.0,
2017-01-10,672.9,680.0,660.6,663.5,927771.0,
2017-01-11,666.0,672.5,658.0,669.2,2114062.0,
2017-01-12,676.3,687.0,666.1,685.55,1477860.0,
2017-01-13,689.0,696.95,683.6,688.05,1483522.0,
2017-01-16,687.8,704.9,681.15,702.7,1712230.0,
2017-01-17,706.25,737.0,706.0,734.55,4665850.0,
2017-01-18,737.35,737.35,723.9,730.5,1545659.0,
2017-01-19,729.95,747.5,725.05,739.6,1853796.0,
2017-01-20,735.35,744.9,729.0,733.75,1427685.0,
2017-01-23,730.9,734.75,717.0,726.05,1101389.0,
2017-01-24,730.8,734.85,721.0,729.55,1468981.0,
2017-01-25,730.25,754.5,724.4,740.2,3886150.0,
2017-01-27,740.5,751.65,726.25,728.45,2002366.0,
2017-01-30,728.8,741.2,728.8,738.05,1123250.0,
2017-01-31,741.55,741.55,722.35,724.75,861064.0,
2017-02-01,725.65,744.9,714.2,741.3,2270029.0,
2017-02-02,739.3,751.65,734.0,740.1,1576538.0,
2017-02-03,740.95,744.9,732.6,738.2,1338656.0,
2017-02-06,740.0,740.3,717.2,726.35,1726012.0,
2017-02-07,729.0,739.0,722.05,729.05,1604701.0,
2017-02-08,729.0,731.75,723.05,727.7,803715.0,
2017-02-09,729.0,741.15,725.15,738.45,2152286.0,
2017-02-10,740.0,740.6,723.4,726.95,1301800.0,
2017-02-13,730.0,732.75,721.3,730.1,511470.0,
2017-02-14,729.9,730.0,710.2,715.85,801530.0,
2017-02-15,718.4,720.6,700.25,709.1,928990.0,
2017-02-16,704.6,708.95,692.2,699.9,2170027.0,
2017-02-17,699.8,713.65,695.0,710.3,851471.0,
2017-02-20,710.5,721.15,709.8,714.75,725029.0,
2017-02-21,713.85,715.0,706.15,711.35,638541.0,
2017-02-22,711.3,715.55,704.0,708.9,1524113.0,
2017-02-23,711.95,722.75,705.05,718.1,1770114.0,
2017-02-27,719.5,720.05,708.0,715.55,1407519.0,
2017-02-28,715.0,726.5,713.95,718.3,922229.0,
2017-03-01,716.8,724.5,713.0,717.35,700967.0,
2017-03-02,721.9,725.0,688.35,701.55,1218854.0,
2017-03-03,696.3,700.55,684.25,690.6,1597291.0,
2017-03-06,691.6,693.75,680.4,684.15,1145144.0,
2017-03-07,685.0,705.0,684.95,702.9,1841179.0,
2017-03-08,707.4,714.35,703.25,707.8,1829216.0,
2017-03-09,709.35,720.55,707.85,713.45,1126295.0,
2017-03-10,708.1,716.75,701.25,704.55,732956.0,
2017-03-14,716.0,718.5,698.5,702.1,2052711.0,
2017-03-15,697.25,713.0,693.3,710.8,1047007.0,
2017-03-16,715.0,719.85,706.0,708.7,2030009.0,
2017-03-17,713.4,730.6,709.35,716.35,3459822.0,
2017-03-20,717.0,721.4,710.1,716.85,577631.0,
2017-03-21,717.0,728.9,716.85,727.45,2352808.0,
2017-03-22,722.5,727.5,715.15,718.25,888548.0,
2017-03-23,722.9,732.5,715.1,729.25,1058512.0,
2017-03-24,730.7,735.6,719.6,722.1,984813.0,
2017-03-27,721.7,729.7,720.0,725.75,901856.0,
2017-03-28,729.8,734.85,719.7,722.15,2007440.0,
2017-03-29,722.0,728.6,715.85,719.4,1379079.0,
2017-03-30,720.0,725.4,709.8,714.5,1526258.0,
2017-03-31,718.8,733.7,717.55,726.9,1229746.0,
2017-04-03,727.15,745.6,726.35,735.45,1821400.0,
2017-04-05,737.5,739.85,725.0,732.1,1450296.0,
2017-04-06,736.4,739.3,726.45,729.1,1148532.0,
2017-04-07,729.9,734.65,723.0,726.85,667873.0,
2017-04-10,728.65,735.8,725.4,732.15,753141.0,
2017-04-11,735.0,745.8,731.15,734.75,1340295.0,
2017-04-12,735.4,743.4,727.0,736.0,1303918.0,
2017-04-13,735.7,739.35,724.0,727.25,1790255.0,
2017-04-17,723.0,737.8,720.6,735.75,458607.0,
2017-04-18,734.0,778.9,734.0,761.4,3811889.0,
2017-04-19,766.3,790.0,765.0,772.4,2289288.0,
2017-04-20,773.5,796.5,773.5,782.1,2973237.0,
2017-04-21,789.9,789.9,773.35,779.5,1072550.0,
2017-04-24,780.4,801.6,780.4,794.3,1179142.0,
2017-04-25,799.8,809.4,796.2,807.0,1043777.0,
2017-04-26,809.9,836.95,808.4,831.25,2519713.0,
2017-04-27,832.5,864.95,802.3,818.5,9425305.0,
2017-04-28,812.5,821.7,800.15,806.15,4382491.0,
2017-05-02,812.2,815.6,793.95,804.45,1184667.0,
2017-05-03,810.7,819.5,804.3,812.6,1049555.0,
2017-05-04,817.0,817.0,805.1,811.4,1607781.0,
2017-05-05,813.0,817.75,804.0,807.9,1365694.0,
2017-05-08,808.0,814.3,800.25,803.85,1565587.0,
2017-05-09,803.9,816.25,801.15,813.9,1067850.0,
2017-05-10,818.95,826.5,817.6,823.5,1116650.0,
2017-05-11,826.8,837.0,818.8,825.35,1223198.0,
2017-05-12,826.9,829.9,818.5,824.25,869885.0,
2017-05-15,827.9,845.8,824.25,837.25,1384655.0,
2017-05-16,837.9,839.4,823.05,827.05,844940.0,
2017-05-17,828.9,832.0,822.45,830.45,469001.0,
2017-05-18,820.0,828.4,814.0,817.95,833014.0,
2017-05-19,809.95,809.95,749.5,791.45,5582307.0,
2017-05-22,792.1,806.15,780.55,790.5,1187580.0,
2017-05-23,789.0,793.0,765.65,785.55,1073054.0,
2017-05-24,790.6,794.9,775.85,787.2,899155.0,
2017-05-25,790.95,828.4,790.55,810.35,5360047.0,
2017-05-26,806.2,843.0,805.4,837.6,795062.0,
2017-05-29,840.0,858.4,825.0,845.75,1097557.0,
2017-05-30,847.0,864.9,836.1,850.15,1117049.0,
2017-05-31,852.4,876.0,850.25,861.3,1840674.0,
2017-06-01,861.55,880.0,861.55,876.95,877250.0,
2017-06-02,877.95,882.95,862.1,865.15,517027.0,
2017-06-05,866.0,881.35,865.0,874.75,718925.0,
2017-06-06,874.8,880.75,861.2,865.6,819601.0,
2017-06-07,874.25,879.35,857.7,859.3,683210.0,
2017-06-08,861.9,874.5,859.95,866.65,999292.0,
2017-06-09,868.4,872.5,848.05,856.65,578994.0,
2017-06-12,856.5,856.5,838.85,842.25,465065.0,
2017-06-13,840.0,856.7,838.55,849.0,572089.0,
2017-06-14,854.95,854.95,838.0,846.85,749295.0,
2017-06-15,847.0,864.7,841.4,853.75,1116250.0,
2017-06-16,858.0,881.0,858.0,866.05,2190520.0,
2017-06-19,867.25,884.25,865.1,873.75,1305259.0,
2017-06-20,886.0,891.85,858.9,861.95,1649870.0,
2017-06-21,860.0,874.0,855.35,866.15,1041405.0,
2017-06-22,861.8,865.6,856.2,861.2,949558.0,
2017-06-23,861.5,864.8,830.2,834.05,956381.0,
2017-06-27,836.05,844.85,825.1,835.1,1046026.0,
2017-06-28,834.0,835.1,823.0,832.9,497427.0,
2017-06-29,831.1,840.5,821.1,826.55,868497.0,
2017-06-30,824.5,844.0,821.4,840.4,1138316.0,
2017-07-03,841.0,859.0,841.0,856.1,1037822.0,
2017-07-04,860.7,860.7,845.0,847.7,562771.0,
2017-07-05,847.7,856.85,846.1,853.55,586392.0,
