,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,15.35,15.95,14.85,15.0,679867.0,
2016-08-23,14.9,15.25,14.75,14.95,443773.0,
2016-08-24,15.0,15.1,14.15,14.2,763972.0,
2016-08-25,14.1,14.4,13.4,13.7,932845.0,
2016-08-26,13.75,13.95,12.9,13.15,503774.0,
2016-08-29,13.4,13.6,12.8,13.0,544322.0,
2016-08-30,13.1,13.6,13.0,13.45,472557.0,
2016-08-31,13.6,13.95,13.2,13.7,320533.0,
2016-09-01,13.85,13.85,13.45,13.5,201551.0,
2016-09-02,13.75,13.75,13.25,13.35,97498.0,
2016-09-06,13.7,13.8,13.35,13.5,244927.0,
2016-09-07,13.55,13.85,12.5,12.85,924394.0,
2016-09-08,12.75,13.45,12.35,12.6,859989.0,
2016-09-09,12.5,13.75,12.5,13.15,1107048.0,
2016-09-12,12.9,13.0,12.5,12.75,287371.0,
2016-09-14,12.9,13.15,12.65,12.85,171140.0,
2016-09-15,13.0,13.0,12.7,12.8,117205.0,
2016-09-16,13.0,13.0,12.6,12.8,118164.0,
2016-09-19,12.8,12.95,12.6,12.7,165938.0,
2016-09-20,12.7,12.8,12.4,12.5,214171.0,
2016-09-21,12.6,13.45,12.6,13.05,652269.0,
2016-09-22,13.05,13.6,13.05,13.35,312772.0,
2016-09-23,13.35,13.5,12.85,12.9,328062.0,
2016-09-26,12.85,13.05,12.55,12.6,285454.0,
2016-09-27,13.0,13.1,12.55,12.6,234862.0,
2016-09-28,12.55,13.9,12.5,12.6,1325976.0,
2016-09-29,12.75,12.85,11.65,11.85,526621.0,
2016-09-30,12.0,12.25,11.5,11.65,432251.0,
2016-10-03,11.95,13.1,11.85,12.95,809441.0,
2016-10-04,13.0,13.3,12.75,13.0,629028.0,
2016-10-05,13.4,15.6,12.9,15.6,5601581.0,
2016-10-06,16.2,16.9,14.7,15.4,2356613.0,
2016-10-07,16.2,16.2,14.75,15.5,930183.0,
2016-10-10,15.55,15.6,14.5,14.75,573710.0,
2016-10-13,14.6,15.7,14.3,14.55,691352.0,
2016-10-14,14.55,15.4,14.55,14.8,465509.0,
2016-10-17,14.95,15.2,14.35,14.45,335791.0,
2016-10-18,14.4,15.2,14.4,15.0,357250.0,
2016-10-19,15.1,15.35,15.0,15.1,475834.0,
2016-10-20,15.2,15.5,15.05,15.1,253663.0,
2016-10-21,15.1,15.15,14.75,14.9,138658.0,
2016-10-24,15.1,15.75,14.9,15.15,735621.0,
2016-10-25,15.45,15.85,14.95,15.0,722604.0,
2016-10-26,15.0,15.1,14.65,14.75,140030.0,
2016-10-27,14.95,15.0,14.4,14.55,155915.0,
2016-10-28,14.75,17.05,14.5,16.45,2945114.0,
2016-11-01,17.0,19.9,16.95,18.6,4583435.0,
2016-11-02,18.0,20.0,17.25,18.4,3195615.0,
2016-11-03,18.15,18.95,17.2,17.55,1696565.0,
2016-11-04,17.25,17.75,15.75,16.05,2517417.0,
2016-11-07,16.5,17.05,16.1,16.3,896407.0,
2016-11-08,16.25,16.6,15.2,15.95,610965.0,
2016-11-09,14.5,15.25,12.8,14.85,2296674.0,
2016-11-10,15.5,17.0,15.3,16.1,1339837.0,
2016-11-11,15.6,15.75,14.65,14.8,1150470.0,
2016-11-15,14.5,15.1,13.5,13.95,569957.0,
2016-11-16,14.4,14.85,13.5,13.7,355950.0,
2016-11-17,13.95,14.0,13.3,13.45,381011.0,
2016-11-18,13.6,13.7,13.0,13.05,423727.0,
2016-11-21,13.25,13.25,12.15,12.25,405582.0,
