,Open,High,Low,Close,Volume,DeliveryPct
2020-10-12,500.0,529.95,471.1,476.2,10808276.0,50.0
2020-10-13,477.9,517.5,477.0,514.5,3544992.0,35.62
2020-10-14,517.9,517.9,500.2,509.1,766545.0,33.76
2020-10-15,509.5,514.45,495.25,499.0,529249.0,38.05
2020-10-16,504.9,508.0,493.1,502.65,336269.0,50.22
2020-10-19,502.95,506.1,490.1,496.15,494325.0,63.54
2020-10-20,494.0,499.0,490.0,492.1,194723.0,54.57
2020-10-21,488.1,493.1,485.15,487.0,223684.0,49.56
2020-10-22,486.75,498.35,485.6,494.35,323982.0,58.16
2020-10-23,493.25,502.4,491.1,498.35,199513.0,46.42
2020-10-26,500.0,504.95,492.5,495.05,167569.0,33.04
2020-10-27,495.5,497.35,490.45,492.25,101434.0,56.63
2020-10-28,492.9,504.4,492.9,499.15,207064.0,38.32
2020-10-29,493.5,511.95,493.35,501.4,289789.0,42.24
2020-10-30,505.0,509.95,497.25,499.15,149661.0,40.4
2020-11-02,498.0,500.0,491.5,494.85,109054.0,46.39
2020-11-03,492.1,498.85,491.55,494.6,128700.0,41.69
2020-11-04,492.0,498.5,487.0,489.15,127685.0,27.97
2020-11-05,492.0,503.7,492.0,501.2,255927.0,56.82
2020-11-06,499.2,507.0,495.0,495.8,165281.0,38.97
2020-11-09,496.0,500.65,496.0,500.0,667759.0,80.92
2020-11-10,500.0,501.55,495.0,496.2,657706.0,85.39
2020-11-11,496.05,499.9,492.35,494.95,177344.0,68.71
2020-11-12,495.0,498.9,492.0,494.0,638121.0,86.75
2020-11-13,494.0,495.0,486.05,487.05,409114.0,80.71
2020-11-16,490.0,495.0,489.7,492.2,44438.0,50.57
2020-11-17,494.9,494.9,487.0,489.95,356710.0,71.93
2020-11-18,490.0,491.65,484.0,485.1,484828.0,82.86
2020-11-19,485.5,495.0,483.1,493.5,336804.0,60.96
2020-11-20,493.7,494.75,489.0,492.45,132682.0,57.8
2020-11-23,493.9,528.9,493.05,522.25,1540115.0,39.48
2020-11-24,526.0,550.0,525.15,546.2,1626681.0,38.25
2020-11-25,550.0,561.05,530.0,539.25,1430600.0,41.58
2020-11-26,538.0,555.5,530.1,547.25,497409.0,21.58
2020-11-27,551.0,556.0,543.6,548.55,378045.0,37.45
2020-11-30,551.0,556.0,543.6,548.55,378045.0,37.45
2020-12-01,549.95,555.0,541.3,551.15,374930.0,49.22
2020-12-02,551.15,553.0,536.0,539.2,403300.0,65.85
2020-12-03,544.9,544.9,533.1,537.0,359513.0,77.1
2020-12-04,538.05,542.7,534.1,538.25,287306.0,68.79
2020-12-07,539.0,548.95,535.55,546.95,412336.0,61.5
2020-12-08,548.95,557.45,544.75,555.0,1055404.0,62.7
2020-12-09,556.25,574.2,553.2,564.6,1608491.0,49.04
2020-12-10,565.0,566.0,551.85,564.7,524546.0,57.94
2020-12-11,566.0,572.4,505.0,569.65,627470.0,59.62
2020-12-14,571.0,579.8,563.6,575.5,976365.0,64.51
2020-12-15,576.0,577.7,566.0,574.85,824871.0,68.07
2020-12-16,575.25,576.0,567.7,569.05,411452.0,55.08
2020-12-17,566.1,571.9,562.0,565.35,374857.0,60.27
2020-12-18,565.0,568.35,540.0,549.15,504741.0,65.81
2020-12-21,546.0,553.9,537.0,540.15,456395.0,55.58
2020-12-22,540.15,552.4,535.0,549.45,343770.0,53.02
2020-12-23,549.85,552.45,546.0,550.25,167117.0,62.93
2020-12-24,555.0,563.0,550.4,559.25,768729.0,65.0
2020-12-25,555.0,563.0,550.4,559.25,768729.0,65.0
2020-12-28,560.0,564.8,552.35,559.45,308727.0,68.15
2020-12-29,555.05,562.0,553.25,560.0,263460.0,60.69
2020-12-30,560.0,565.5,555.85,561.05,158523.0,70.25
2020-12-31,563.1,564.15,554.0,555.8,234984.0,65.94
2021-01-01,556.0,563.35,554.2,555.9,160404.0,54.25
2021-01-04,557.0,560.0,552.6,556.05,161032.0,68.47
2021-01-05,555.0,555.85,551.0,551.75,133676.0,52.21
2021-01-06,555.1,557.0,539.45,542.4,271580.0,69.18
2021-01-07,547.0,554.4,546.25,550.05,340003.0,79.02
2021-01-08,553.9,553.95,547.65,550.65,222725.0,79.8
2021-01-11,545.0,555.6,545.0,548.35,137504.0,52.75
2021-01-12,542.6,556.7,542.6,555.1,323136.0,73.4
2021-01-13,555.1,556.5,542.2,551.75,292424.0,55.08
2021-01-14,551.75,559.7,549.5,555.55,148407.0,53.9
2021-01-15,558.9,595.8,552.7,579.4,2314984.0,33.75
2021-01-18,576.0,593.9,565.65,576.75,534923.0,47.19
2021-01-19,580.0,585.0,571.0,573.4,172859.0,47.22
2021-01-20,570.05,587.05,570.05,580.85,312641.0,57.79
2021-01-21,588.0,592.0,575.45,580.0,552692.0,78.91
2021-01-22,580.0,587.3,553.7,556.65,288026.0,54.02
2021-01-25,563.85,565.0,549.05,551.25,222478.0,53.73
2021-01-26,563.85,565.0,549.05,551.25,222478.0,53.73
2021-01-27,552.0,559.15,550.7,556.1,98512.0,51.15
2021-01-28,551.25,558.45,548.0,551.7,351385.0,72.24
2021-01-29,555.15,561.0,554.0,556.2,289191.0,85.78
2021-02-01,559.85,560.05,550.35,556.1,149465.0,62.26
2021-02-02,556.0,566.8,553.4,556.2,584342.0,84.19
2021-02-03,556.2,572.9,555.6,564.65,303574.0,40.36
2021-02-04,568.0,569.75,560.45,563.3,193206.0,61.3
2021-02-05,564.0,572.2,559.55,561.95,223479.0,60.05
2021-02-08,562.0,565.3,553.55,559.9,431354.0,63.26
2021-02-09,560.95,564.9,555.6,557.5,351460.0,74.53
2021-02-10,555.85,562.0,555.8,560.85,213530.0,78.22
2021-02-11,561.1,565.15,558.1,560.0,220380.0,58.45
2021-02-12,560.0,570.25,560.0,565.15,190627.0,57.98
2021-02-15,561.15,566.0,560.05,562.0,398871.0,90.51
2021-02-16,562.1,565.7,560.0,560.0,90569.0,62.32
2021-02-17,561.0,572.5,558.7,560.65,121542.0,45.62
2021-02-18,560.0,569.8,557.0,567.1,221209.0,34.07
2021-02-19,570.0,586.95,565.0,584.0,618486.0,43.01
2021-02-22,586.5,594.8,581.85,585.3,270912.0,59.62
2021-02-23,590.0,599.9,587.0,593.05,293762.0,53.81
2021-02-24,593.1,597.9,581.0,591.7,70648.0,49.65
2021-02-25,593.0,602.65,586.9,591.1,316025.0,41.13
2021-02-26,587.7,596.9,578.9,589.95,336654.0,81.37
2021-03-01,589.95,597.65,585.0,586.75,122982.0,46.31
2021-03-02,586.0,590.0,579.95,581.55,119321.0,30.47
2021-03-03,583.9,610.0,582.0,607.2,1818162.0,70.81
2021-03-04,599.0,606.85,594.35,604.1,196623.0,45.31
2021-03-05,603.25,608.35,601.0,604.0,173204.0,66.93
2021-03-08,605.5,620.0,603.15,615.35,247257.0,53.35
