,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,178.8,179.1,175.15,176.6,8706650.0,
2016-08-23,176.05,177.45,171.4,174.05,7534355.0,
2016-08-24,175.0,177.6,174.7,176.0,6394420.0,
2016-08-25,175.95,176.5,169.2,169.9,9613554.0,
2016-08-26,170.75,171.85,167.3,169.25,5697444.0,
2016-08-29,169.0,174.0,167.55,173.35,6398292.0,
2016-08-30,174.5,176.3,173.1,175.2,6658517.0,
2016-08-31,174.5,176.5,169.3,170.0,10220931.0,
2016-09-01,169.35,172.0,168.55,170.2,6972842.0,
2016-09-02,170.65,173.1,167.2,172.25,7542604.0,
2016-09-06,173.7,175.8,172.85,174.6,5841845.0,
2016-09-07,178.2,180.8,172.65,173.6,15020011.0,
2016-09-08,174.8,177.85,173.7,175.3,8909535.0,
2016-09-09,176.0,176.65,170.7,171.25,8131372.0,
2016-09-12,167.4,176.3,158.5,161.3,28341236.0,
2016-09-14,165.9,166.8,160.6,165.85,17809731.0,
2016-09-15,166.2,166.9,162.0,165.6,8663550.0,
2016-09-16,166.0,168.25,159.1,162.2,11305323.0,
2016-09-19,161.8,165.9,161.1,164.7,6832849.0,
2016-09-20,164.75,165.7,162.8,164.15,6518760.0,
2016-09-21,164.0,166.9,163.2,165.25,6661047.0,
2016-09-22,167.45,170.35,165.3,168.65,8346589.0,
2016-09-23,169.0,172.8,167.25,170.4,12914425.0,
2016-09-26,169.1,171.2,167.0,168.6,8560539.0,
2016-09-27,169.1,170.0,165.55,166.6,5235702.0,
2016-09-28,165.95,175.45,165.7,174.8,10469982.0,
2016-09-29,176.5,177.9,166.5,168.6,17069589.0,
2016-09-30,164.5,173.75,164.5,172.05,10684267.0,
2016-10-03,173.85,179.25,173.2,178.75,10155725.0,
2016-10-04,179.9,188.25,178.95,187.0,18699005.0,
2016-10-05,188.3,193.0,188.1,191.7,15449272.0,
2016-10-06,192.0,201.4,190.4,197.5,25679205.0,
2016-10-07,197.05,198.15,192.75,194.85,16820206.0,
2016-10-10,198.0,201.7,196.8,199.55,13383535.0,
2016-10-13,197.9,199.35,192.4,196.0,12212482.0,
2016-10-14,195.7,197.7,192.8,195.7,8106335.0,
2016-10-17,194.0,198.0,191.2,193.0,8720756.0,
2016-10-18,195.0,196.8,192.45,196.4,10308987.0,
2016-10-19,197.5,200.9,196.25,198.5,10003851.0,
2016-10-20,200.1,208.55,199.5,207.6,15749425.0,
2016-10-21,207.4,207.4,202.05,203.1,9803842.0,
2016-10-24,203.5,205.85,201.6,202.35,7033038.0,
2016-10-25,202.3,204.7,197.9,203.95,9453365.0,
2016-10-26,202.1,205.65,199.2,201.4,7907499.0,
2016-10-27,201.0,202.5,199.0,199.65,11324369.0,
2016-10-28,200.65,204.0,198.6,202.6,14116778.0,
2016-11-01,204.95,223.3,202.55,219.8,32288788.0,
2016-11-02,215.0,222.25,214.6,218.25,18435282.0,
2016-11-03,217.0,225.9,216.3,217.8,16636090.0,
2016-11-04,219.8,222.2,207.35,212.75,16862503.0,
2016-11-07,217.2,219.85,213.85,215.75,10599203.0,
2016-11-08,217.45,222.5,215.4,219.85,13020745.0,
2016-11-09,205.2,218.85,197.9,217.65,18615639.0,
2016-11-10,224.05,233.7,223.05,229.3,22574275.0,
2016-11-11,226.0,233.5,224.35,229.8,17352156.0,
2016-11-15,226.25,229.8,207.9,209.55,19801557.0,
2016-11-16,215.55,216.0,205.05,206.7,13357862.0,
2016-11-17,207.1,218.0,204.9,213.9,18214596.0,
2016-11-18,214.2,214.8,201.8,203.35,13408155.0,
2016-11-21,204.1,207.9,192.2,196.75,16042584.0,
2016-11-22,201.0,208.15,200.4,206.9,12753933.0,
2016-11-23,210.6,217.9,208.5,216.8,18128303.0,
2016-11-24,217.0,223.85,215.25,221.8,21724842.0,
2016-11-25,223.7,228.5,219.8,223.25,16972449.0,
2016-11-28,223.5,229.9,219.8,228.6,14342100.0,
2016-11-29,229.4,232.3,227.55,228.55,14745742.0,
2016-11-30,226.5,230.95,222.6,229.85,13649816.0,
2016-12-01,233.05,233.4,226.25,226.9,9165096.0,
2016-12-02,224.0,227.45,221.7,223.05,8595569.0,
2016-12-05,222.1,227.6,222.0,226.6,8193875.0,
2016-12-06,228.0,230.45,226.05,229.1,8399490.0,
2016-12-07,228.9,233.5,228.0,231.45,8896908.0,
2016-12-08,234.35,244.9,233.8,242.95,17131136.0,
2016-12-09,243.1,246.5,241.85,245.45,11710912.0,
2016-12-12,245.35,248.65,243.75,246.8,9602169.0,
2016-12-13,245.1,246.25,238.8,239.95,15817165.0,
2016-12-14,238.65,240.7,235.2,235.9,11286761.0,
2016-12-15,232.75,239.3,231.2,236.1,9081928.0,
2016-12-16,236.2,238.7,229.7,230.3,9753296.0,
2016-12-19,227.95,232.05,225.1,227.25,8533623.0,
2016-12-20,226.95,228.2,221.7,224.4,6958823.0,
2016-12-21,225.1,227.9,222.5,226.1,7327969.0,
