,Open,High,Low,Close,Volume,DeliveryPct
2021-09-14,540.0,648.0,532.5,620.1,22194857.0,49.42
2021-09-15,618.5,658.0,591.2,640.5,7226253.0,29.51
2021-09-16,643.95,672.0,636.0,644.05,1756036.0,33.34
2021-09-17,644.05,649.3,592.5,627.0,1823087.0,38.12
2021-09-20,613.5,617.8,575.55,584.5,873363.0,44.71
2021-09-21,583.5,594.1,535.1,575.4,1333438.0,33.56
2021-09-22,580.0,614.9,574.3,578.7,1007133.0,38.84
2021-09-23,586.0,600.0,577.0,579.35,480924.0,50.21
2021-09-24,585.0,591.0,568.5,579.75,378162.0,47.19
2021-09-27,581.1,585.7,573.4,578.3,428695.0,74.39
2021-09-28,575.0,580.9,570.3,578.15,503432.0,73.32
2021-09-29,575.0,575.0,550.55,565.55,262342.0,38.23
2021-09-30,562.5,571.85,562.5,569.95,170329.0,75.25
2021-10-01,562.2,572.0,550.0,551.3,292272.0,54.18
2021-10-04,552.05,561.15,547.7,551.6,202460.0,51.91
2021-10-05,551.65,585.35,551.65,580.7,498976.0,55.29
2021-10-06,576.1,580.65,576.1,579.35,142636.0,63.37
2021-10-07,578.0,581.65,568.6,572.8,90526.0,54.94
2021-10-08,568.0,586.8,566.15,581.5,542408.0,81.37
2021-10-11,581.0,585.85,564.0,567.4,137082.0,59.32
2021-10-12,561.25,573.4,561.25,564.7,96581.0,49.1
2021-10-13,563.0,569.9,542.0,559.75,235075.0,71.26
2021-10-14,560.0,565.65,560.0,562.4,1003444.0,95.21
2021-10-15,560.0,565.65,560.0,562.4,1003444.0,95.21
2021-10-18,565.0,575.7,565.0,574.95,534218.0,89.63
2021-10-19,574.95,574.95,558.05,561.25,155138.0,57.95
2021-10-20,560.0,630.0,548.65,584.4,973120.0,47.95
2021-10-21,584.4,587.0,571.0,572.35,432567.0,78.05
2021-10-22,573.95,579.5,571.0,573.9,91127.0,60.34
2021-10-25,580.45,600.0,561.0,569.0,218191.0,36.2
2021-10-26,568.5,574.9,553.65,569.1,452600.0,80.47
2021-10-27,563.0,577.0,560.0,568.55,75036.0,53.15
2021-10-28,566.7,575.0,561.15,569.25,293756.0,87.64
2021-10-29,562.15,568.95,550.0,564.5,205433.0,77.3
2021-11-01,560.0,572.35,560.0,569.55,120429.0,43.27
2021-11-02,565.6,574.0,561.25,569.1,84285.0,33.27
2021-11-03,563.1,568.75,562.15,564.9,36302.0,58.6
2021-11-04,563.1,568.75,562.15,564.9,36302.0,58.6
2021-11-05,537.1,574.0,537.1,559.75,19974.0,57.6
2021-11-08,560.6,582.45,560.6,564.5,216811.0,68.05
2021-11-09,560.1,574.9,543.65,570.0,295703.0,72.15
2021-11-10,563.1,573.4,562.05,564.0,74802.0,71.4
2021-11-11,563.0,570.2,556.0,564.05,66039.0,68.84
2021-11-12,561.0,569.7,561.0,565.55,504239.0,96.17
2021-11-15,565.55,571.0,563.5,568.1,333642.0,86.59
2021-11-16,566.0,591.65,565.15,590.05,339325.0,60.12
2021-11-17,590.0,602.95,578.45,584.2,198114.0,62.75
2021-11-18,580.0,583.25,565.8,571.0,328259.0,86.12
2021-11-19,580.0,583.25,565.8,571.0,328259.0,86.12
2021-11-22,568.0,578.0,567.95,575.2,86304.0,74.91
2021-11-23,567.25,588.9,567.25,583.8,120040.0,40.28
2021-11-24,577.6,589.1,566.0,568.1,493263.0,78.62
2021-11-25,567.0,579.0,565.0,571.55,50920.0,49.06
2021-11-26,567.0,602.0,567.0,585.0,334525.0,69.05
2021-11-29,576.0,591.85,569.5,572.05,192879.0,58.17
2021-11-30,570.2,582.6,570.2,576.5,93872.0,55.71
2021-12-01,580.0,583.6,573.0,575.75,47242.0,67.65
2021-12-02,573.1,598.6,573.1,590.9,130244.0,65.09
2021-12-03,590.9,599.45,580.35,584.75,72862.0,67.13
2021-12-06,584.0,595.85,580.7,589.65,106346.0,54.88
2021-12-07,590.0,595.0,574.25,579.7,86672.0,66.47
2021-12-08,579.0,581.0,569.15,571.35,80094.0,54.04
2021-12-09,572.0,575.75,567.25,570.75,51355.0,68.29
2021-12-10,568.55,576.45,567.25,573.9,72274.0,66.3
2021-12-13,573.0,576.45,568.0,570.2,97800.0,83.73
2021-12-14,570.0,572.1,567.25,570.8,36515.0,55.97
2021-12-15,576.2,577.0,568.4,570.1,27321.0,45.99
2021-12-16,571.0,581.9,565.25,567.4,73247.0,67.29
2021-12-17,567.0,567.0,540.0,541.25,90386.0,30.21
2021-12-20,526.0,544.05,505.2,510.85,103361.0,35.04
2021-12-21,524.0,559.0,511.4,548.25,72614.0,43.06
2021-12-22,538.1,550.0,538.1,548.05,43692.0,42.44
2021-12-23,550.9,555.0,536.05,542.65,32973.0,56.82
2021-12-24,538.0,541.55,531.95,532.85,20491.0,52.98
2021-12-27,533.0,539.25,533.0,536.5,16233.0,67.02
2021-12-28,537.0,557.25,535.35,555.5,67961.0,59.32
2021-12-29,558.4,575.0,550.0,565.25,177515.0,82.55
2021-12-30,565.0,581.0,555.0,578.65,98724.0,59.53
2021-12-31,573.25,586.9,567.4,582.5,130309.0,73.4
2022-01-03,591.75,601.0,570.35,598.75,154369.0,61.8
2022-01-04,596.0,597.95,578.0,579.8,34467.0,55.79
2022-01-05,585.0,585.0,565.2,568.65,35319.0,48.54
2022-01-06,580.0,600.0,565.3,568.85,71391.0,43.79
2022-01-07,570.0,575.45,561.9,564.1,33622.0,53.88
2022-01-10,565.0,574.85,560.0,562.55,51082.0,51.55
2022-01-11,565.0,569.15,559.0,560.8,78356.0,80.71
2022-01-12,562.1,563.75,555.0,555.9,47205.0,81.63
2022-01-13,550.1,555.9,549.15,551.8,367762.0,97.98
2022-01-14,546.0,551.95,546.0,548.6,24753.0,63.87
2022-01-17,552.5,553.9,542.0,545.85,334395.0,93.79
2022-01-18,549.0,549.0,535.55,537.7,64205.0,72.14
2022-01-19,535.0,536.8,526.5,528.0,37403.0,61.35
2022-01-20,525.0,536.9,522.0,523.4,39382.0,62.32
2022-01-21,523.4,529.85,519.65,523.5,19620.0,47.88
2022-01-24,529.85,548.6,501.25,518.95,47504.0,55.33
2022-01-25,508.6,522.3,492.2,516.6,43908.0,52.35
2022-01-26,508.6,522.3,492.2,516.6,43908.0,52.35
2022-01-27,524.0,525.0,513.65,516.8,41691.0,75.92
2022-01-28,515.0,527.0,509.95,510.95,20473.0,42.14
2022-01-31,520.0,525.0,510.85,516.35,18549.0,50.41
2022-02-01,520.0,522.95,513.0,514.9,16069.0,41.73
2022-02-02,514.9,521.0,511.8,513.85,21538.0,54.29
2022-02-03,514.0,517.95,511.2,513.75,10754.0,43.92
2022-02-04,505.35,514.95,493.2,503.1,80650.0,46.31
2022-02-07,499.1,503.0,492.75,494.3,25536.0,43.17
2022-02-08,494.3,499.05,488.7,492.3,14903.0,46.96
2022-02-09,506.45,506.45,485.0,486.4,18570.0,52.76
2022-02-10,496.0,497.2,480.25,482.9,75769.0,72.86
2022-02-11,489.0,489.0,471.0,473.15,81419.0,75.97
2022-02-14,461.0,469.7,444.6,448.8,84874.0,80.72
2022-02-15,459.8,459.8,429.0,436.85,108885.0,65.18
2022-02-16,449.9,470.0,441.0,442.6,93992.0,46.46
2022-02-17,447.45,450.0,435.5,443.95,417290.0,96.86
2022-02-18,445.0,445.0,434.25,435.25,16783.0,47.03
2022-02-21,430.0,434.0,420.1,420.55,99006.0,85.66
2022-02-22,415.05,416.05,401.0,408.15,303827.0,88.21
2022-02-23,403.5,427.25,403.5,415.25,136535.0,74.42
2022-02-24,401.0,410.8,373.8,379.15,42806.0,55.78
2022-02-25,379.15,416.95,379.15,411.25,499162.0,94.41
2022-02-28,409.85,428.0,402.95,421.7,46263.0,59.68
2022-03-01,409.85,428.0,402.95,421.7,46263.0,59.68
2022-03-02,423.5,423.5,405.0,409.4,34272.0,59.19
2022-03-03,419.0,431.85,410.7,425.75,261138.0,90.25
2022-03-04,416.0,437.55,416.0,430.15,36547.0,44.81
2022-03-07,415.1,437.45,415.0,417.5,39068.0,41.57
2022-03-08,412.0,429.75,412.0,423.9,35177.0,23.42
2022-03-09,430.0,430.95,415.3,424.85,66654.0,64.39
2022-03-10,429.9,431.1,422.1,424.7,23817.0,42.59
2022-03-11,416.0,431.9,416.0,421.65,28493.0,45.51
2022-03-14,419.0,421.7,399.45,408.45,49440.0,60.37
2022-03-15,413.25,415.75,402.35,407.0,32004.0,53.66
2022-03-16,407.0,414.8,406.0,410.95,15694.0,51.32
2022-03-17,417.1,425.0,407.1,417.0,99866.0,73.37
2022-03-18,417.1,425.0,407.1,417.0,99866.0,73.37
2022-03-21,417.0,421.95,401.0,403.35,86980.0,38.63
2022-03-22,403.35,404.55,391.0,401.4,155442.0,78.94
2022-03-23,407.0,423.65,402.45,416.1,110029.0,47.44
2022-03-24,422.0,437.0,415.05,431.8,85346.0,42.46
2022-03-25,435.95,477.0,428.45,437.9,3170131.0,85.44
2022-03-28,438.5,450.0,426.3,436.2,160683.0,37.48
2022-03-29,429.1,442.0,429.1,433.45,59879.0,35.47
2022-03-30,439.4,445.0,433.65,438.45,65023.0,66.64
2022-03-31,432.0,443.2,432.0,438.15,84768.0,63.0
2022-04-01,437.7,445.15,435.75,443.3,24792.0,46.23
2022-04-04,445.1,450.75,440.0,441.6,33596.0,46.94
2022-04-05,440.3,465.0,440.0,459.75,62133.0,51.64
2022-04-06,455.0,476.0,455.0,463.3,72949.0,59.02
2022-04-07,477.9,477.9,455.65,458.6,27377.0,50.07
2022-04-08,458.6,461.95,453.1,455.55,15078.0,52.96
2022-04-11,455.0,463.35,450.55,453.15,18629.0,41.7
2022-04-12,446.35,449.15,437.9,443.05,29734.0,47.56
2022-04-13,446.0,446.0,434.4,435.25,124160.0,89.87
2022-04-14,446.0,446.0,434.4,435.25,124160.0,89.87
2022-04-15,446.0,446.0,434.4,435.25,124160.0,89.87
2022-04-18,432.0,434.1,418.75,419.95,42335.0,51.52
2022-04-19,425.0,432.6,395.9,417.4,83201.0,69.91
2022-04-20,424.4,475.0,424.4,445.9,573187.0,11.57
2022-04-21,446.1,450.85,433.6,444.05,220570.0,78.37
2022-04-22,443.75,444.45,433.1,437.75,38496.0,54.87
2022-04-25,431.0,462.0,425.55,442.05,144041.0,22.84
2022-04-26,442.05,453.95,441.8,445.85,47839.0,23.24
2022-04-27,452.8,458.8,442.8,453.75,79778.0,31.26
2022-04-28,458.3,475.0,454.4,469.8,163516.0,30.18
2022-04-29,469.8,473.65,455.05,457.7,40729.0,31.07
2022-05-02,450.0,455.45,443.65,447.7,29333.0,34.81
2022-05-03,450.0,455.45,443.65,447.7,29333.0,34.81
2022-05-04,447.7,452.2,431.2,434.75,26048.0,47.84
2022-05-05,441.25,445.0,423.5,426.75,52963.0,54.27
2022-05-06,410.75,413.9,400.0,410.35,63846.0,57.2
2022-05-09,401.0,417.9,401.0,403.75,26803.0,38.84
2022-05-10,406.7,408.45,385.0,391.55,37785.0,47.0
2022-05-11,395.0,395.0,365.0,372.4,122127.0,60.17
2022-05-12,372.4,387.0,362.4,373.4,58999.0,36.56
2022-05-13,382.0,403.6,378.15,400.3,128920.0,32.96
2022-05-16,409.0,475.25,400.35,443.05,98229.0,50.02
2022-05-17,447.0,474.0,442.45,468.75,154351.0,39.77
2022-05-18,455.0,472.5,445.55,461.5,83945.0,44.45
