,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,382.95,382.95,371.4,372.15,1987988.0,
2016-08-23,372.15,377.75,369.2,372.4,957444.0,
2016-08-24,370.0,389.9,370.0,388.2,2252690.0,
2016-08-25,389.9,390.1,378.0,379.3,2595970.0,
2016-08-26,381.8,393.5,380.2,391.75,2173621.0,
2016-08-29,392.5,395.0,386.1,391.35,1466993.0,
2016-08-30,394.0,396.5,391.1,394.75,1235418.0,
2016-08-31,395.0,401.8,389.35,390.3,1532132.0,
2016-09-01,392.8,393.8,385.05,387.4,1005027.0,
2016-09-02,388.4,391.9,387.25,390.5,1013529.0,
2016-09-06,394.0,394.95,389.2,391.9,1047007.0,
2016-09-07,392.6,396.0,389.8,391.3,802751.0,
2016-09-08,391.8,392.35,385.6,390.15,1303536.0,
2016-09-09,389.25,393.75,386.4,389.2,803476.0,
2016-09-12,381.8,389.0,372.6,374.5,737381.0,
2016-09-14,374.95,378.2,367.9,376.1,1654036.0,
2016-09-15,376.6,386.45,371.1,384.4,1055417.0,
2016-09-16,387.0,388.2,374.0,378.7,1287624.0,
2016-09-19,380.0,394.0,377.5,391.05,1304397.0,
2016-09-20,392.95,392.95,381.15,382.8,1004593.0,
2016-09-21,382.5,384.5,377.5,379.1,1363438.0,
2016-09-22,382.7,385.45,376.2,379.5,1332890.0,
2016-09-23,379.55,387.3,378.35,382.95,951856.0,
2016-09-26,380.05,383.5,375.1,378.25,1124060.0,
2016-09-27,379.0,384.95,378.85,381.45,808207.0,
2016-09-28,380.05,384.0,378.05,380.9,1096317.0,
2016-09-29,383.4,385.4,358.25,370.15,2285059.0,
2016-09-30,368.7,380.65,366.0,379.1,1423665.0,
2016-10-03,382.2,391.35,380.4,388.75,991323.0,
2016-10-04,389.9,399.95,386.4,397.15,922916.0,
2016-10-05,401.3,404.4,393.65,396.15,1788508.0,
2016-10-06,396.6,399.75,385.0,388.55,990117.0,
2016-10-07,387.15,391.0,381.6,388.8,673824.0,
2016-10-10,391.95,395.0,387.4,389.15,656590.0,
2016-10-13,387.05,388.5,376.25,379.8,1009060.0,
2016-10-14,379.1,400.8,378.25,397.6,1697163.0,
2016-10-17,400.0,405.5,390.85,392.75,1698535.0,
2016-10-18,392.35,402.0,392.35,399.5,1155659.0,
2016-10-19,400.45,406.4,394.7,401.9,1363962.0,
2016-10-20,403.0,406.0,395.1,396.35,1135724.0,
2016-10-21,396.0,398.9,390.2,394.85,717664.0,
2016-10-24,398.5,401.45,391.6,393.55,1138366.0,
2016-10-25,389.9,401.4,383.3,397.55,1426081.0,
2016-10-26,396.75,398.05,380.3,385.35,1122371.0,
2016-10-27,383.95,387.8,378.05,381.15,1126937.0,
2016-10-28,383.0,389.0,381.6,386.7,650491.0,
2016-11-01,386.6,388.0,381.4,385.85,731739.0,
2016-11-02,378.65,380.0,370.4,372.65,706340.0,
2016-11-03,369.0,373.25,362.3,364.85,813490.0,
2016-11-04,366.2,370.5,358.2,360.05,1100762.0,
2016-11-07,362.15,366.3,356.7,359.35,1185370.0,
2016-11-08,360.5,361.8,351.3,357.0,1125591.0,
2016-11-09,339.5,343.0,321.3,338.4,2657301.0,
2016-11-10,348.0,357.45,344.0,349.65,1186190.0,
2016-11-11,346.15,348.4,328.1,333.2,1700061.0,
