,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,982.0,1006.25,981.0,990.2,6437.0,
2016-08-23,998.0,998.0,973.0,979.85,7442.0,
2016-08-24,987.0,1035.15,983.45,1017.95,43434.0,
2016-08-25,1059.9,1059.9,981.0,995.1,68899.0,
2016-08-26,988.0,1005.0,988.0,1001.15,11519.0,
2016-08-29,990.0,1019.0,987.5,1001.15,23163.0,
2016-08-30,987.0,1008.95,987.0,1000.3,13572.0,
2016-08-31,990.0,1019.0,990.0,1001.85,16736.0,
2016-09-01,992.0,1031.0,991.0,1000.75,12945.0,
2016-09-02,1005.75,1024.75,1005.1,1011.1,11391.0,
2016-09-06,991.0,1024.8,990.05,1010.5,218554.0,
2016-09-07,995.0,1023.8,995.0,1009.8,14642.0,
2016-09-08,997.25,1019.65,997.25,1015.5,20354.0,
2016-09-09,1003.0,1013.75,993.85,999.75,11347.0,
2016-09-12,1005.0,1005.0,970.0,975.6,16149.0,
2016-09-14,973.0,999.0,970.1,975.75,8035.0,
2016-09-15,971.0,992.0,971.0,986.2,10704.0,
2016-09-16,975.0,1009.9,962.1,971.3,25630.0,
2016-09-19,971.15,990.3,959.0,964.6,13816.0,
2016-09-20,964.9,975.0,954.0,960.85,12942.0,
2016-09-21,1037.0,1116.0,1003.15,1016.55,671101.0,
2016-09-22,1029.7,1034.0,1006.3,1012.7,84920.0,
2016-09-23,1012.0,1049.0,1012.0,1039.15,71755.0,
2016-09-26,1091.15,1108.8,1061.55,1072.5,387149.0,
2016-09-27,1075.0,1079.9,1053.0,1058.75,27383.0,
2016-09-28,1054.1,1099.05,1052.1,1084.6,74990.0,
2016-09-29,1081.0,1089.9,1051.0,1061.7,42080.0,
2016-09-30,1055.1,1079.0,1055.1,1065.35,16548.0,
2016-10-03,1066.0,1089.8,1066.0,1084.6,26129.0,
2016-10-04,1085.0,1089.75,1065.2,1070.65,24927.0,
2016-10-05,1073.95,1080.0,1065.2,1066.85,18178.0,
2016-10-06,1069.8,1074.9,1065.2,1068.55,10414.0,
2016-10-07,1071.8,1075.9,1065.2,1068.65,19466.0,
2016-10-10,1070.9,1070.9,1065.2,1067.2,13403.0,
2016-10-13,1065.0,1072.95,1060.2,1067.05,40449.0,
2016-10-14,1064.05,1070.0,1055.15,1063.0,22243.0,
2016-10-17,1064.9,1070.5,1061.0,1067.8,11410.0,
2016-10-18,1069.75,1095.0,1068.6,1090.15,50831.0,
2016-10-19,1085.8,1094.0,1077.15,1090.65,18235.0,
2016-10-20,1097.0,1100.0,1085.2,1091.35,18000.0,
2016-10-21,1090.75,1100.0,1082.45,1087.9,13852.0,
2016-10-24,1089.95,1100.0,1084.25,1093.7,23163.0,
2016-10-25,1099.0,1099.9,1088.55,1097.6,17336.0,
2016-10-26,1091.55,1109.9,1091.55,1103.45,35825.0,
2016-10-27,1093.0,1109.5,1091.25,1104.25,19793.0,
2016-10-28,1104.25,1159.5,1101.0,1144.05,160567.0,
2016-11-01,1159.75,1159.75,1130.2,1135.25,16931.0,
2016-11-02,1125.1,1146.0,1121.5,1123.05,19197.0,
2016-11-03,1121.0,1130.0,1101.2,1103.65,54233.0,
2016-11-04,1100.0,1112.75,1090.3,1095.45,34993.0,
2016-11-07,1105.0,1117.25,1091.0,1091.75,27797.0,
2016-11-08,1092.0,1101.25,1085.25,1087.7,18595.0,
2016-11-09,1062.0,1083.4,1030.0,1077.7,36654.0,
2016-11-10,1081.0,1105.35,1081.0,1093.6,19154.0,
2016-11-11,1075.25,1092.9,1065.0,1072.05,28252.0,
2016-11-15,1068.9,1075.0,1045.2,1056.55,358690.0,
2016-11-16,1074.9,1086.0,1058.2,1061.0,157440.0,
2016-11-17,1067.0,1079.75,1057.0,1060.45,38296.0,
2016-11-18,1064.0,1074.5,1060.05,1068.3,18229.0,
2016-11-21,1075.0,1075.05,1051.0,1057.4,23537.0,
2016-11-22,1055.0,1062.0,1051.1,1059.95,112541.0,
2016-11-23,1061.05,1072.0,1052.0,1067.0,170658.0,
