,Open,High,Low,Close,Volume,DeliveryPct
2024-10-28,2500.0,2624.4,2300.0,2338.9,21535158.0,47.97
2024-10-29,2375.1,2497.0,2352.05,2380.2,7937427.0,25.81
2024-10-30,2391.1,2450.0,2370.15,2441.65,2849157.0,30.92
2024-10-31,2453.0,2758.7,2441.7,2722.1,12359372.0,17.77
2024-11-01,2780.0,2910.0,2776.55,2890.1,5382498.0,17.5
2024-11-04,2909.65,3016.0,2712.0,2990.6,12683686.0,15.1
2024-11-05,2980.0,3568.8,2931.3,3472.7,14195138.0,16.05
2024-11-06,3435.0,3743.0,3425.0,3636.6,9495315.0,14.98
2024-11-07,3574.0,3619.8,3300.0,3348.65,5831790.0,28.04
2024-11-08,3304.95,3414.0,3056.75,3133.7,4885739.0,23.13
2024-11-11,3071.0,3122.0,2820.35,2822.8,4711657.0,26.82
2024-11-12,2821.0,3014.0,2762.25,2870.0,3934523.0,18.02
2024-11-13,2905.1,2970.0,2784.0,2875.75,2124099.0,23.51
2024-11-14,2900.0,2968.0,2872.0,2917.45,1428158.0,25.51
2024-11-18,2950.0,3186.0,2893.3,3114.45,3696718.0,20.22
2024-11-19,2950.0,3044.0,2880.0,2901.8,3339933.0,22.74
2024-11-20,2950.0,3044.0,2880.0,2901.8,3339933.0,22.74
2024-11-21,2883.0,2915.0,2690.0,2721.45,2282806.0,30.19
2024-11-22,2738.0,2805.0,2672.0,2705.2,1588761.0,20.52
2024-11-25,2789.95,2789.95,2565.0,2596.6,3059199.0,33.78
2024-11-26,2612.05,2622.3,2512.0,2525.85,2558847.0,29.9
2024-11-27,2544.2,2678.0,2534.5,2607.75,2887896.0,20.24
2024-11-28,2643.85,2686.35,2605.35,2633.85,1988167.0,39.43
2024-11-29,2641.6,2692.0,2585.0,2667.75,1299617.0,35.76
2024-12-02,2695.0,2797.0,2675.05,2740.3,2898505.0,20.06
2024-12-03,2755.0,2765.1,2690.0,2696.95,1257966.0,36.27
2024-12-04,2702.0,2764.3,2695.0,2722.15,1211550.0,28.58
2024-12-05,2732.35,2949.0,2715.0,2839.35,4528208.0,20.54
2024-12-06,2888.8,2975.0,2852.0,2903.1,3709349.0,17.52
2024-12-09,2918.4,2992.0,2902.0,2971.3,2843345.0,22.75
2024-12-10,3020.0,3185.0,3020.0,3134.65,5205256.0,17.44
2024-12-11,3143.0,3231.0,3134.65,3174.7,2544371.0,18.95
2024-12-12,3235.0,3445.45,3210.05,3292.25,8948458.0,14.34
2024-12-13,3270.0,3279.9,3162.0,3217.05,3292067.0,19.29
2024-12-16,3225.0,3257.55,3111.15,3133.15,2066749.0,31.02
2024-12-17,3133.1,3245.5,3081.0,3101.0,3220058.0,18.34
2024-12-18,3111.0,3145.0,3017.6,3042.15,2029095.0,19.58
2024-12-19,2950.0,3108.0,2941.05,3039.1,2375391.0,17.2
2024-12-20,3073.55,3085.95,2865.0,2879.35,2106023.0,31.52
2024-12-23,2922.0,2968.0,2830.45,2932.45,2082511.0,17.65
2024-12-24,2958.7,3030.0,2858.75,2868.7,1921221.0,24.48
2024-12-25,2958.7,3030.0,2858.75,2868.7,1921221.0,24.48
2024-12-26,2887.1,2900.0,2811.0,2823.15,1091798.0,26.61
2024-12-27,2827.0,2850.0,2781.3,2790.4,784366.0,25.82
2024-12-30,2800.0,2853.9,2758.8,2775.45,1058039.0,19.77
2024-12-31,2778.45,2868.0,2737.95,2854.6,1308765.0,22.39
2025-01-01,2869.0,2906.0,2842.5,2862.2,833148.0,20.57
2025-01-02,2870.0,2877.0,2830.0,2839.1,880522.0,23.84
2025-01-03,2843.1,2892.95,2815.0,2820.85,968095.0,25.6
2025-01-06,2826.95,2843.4,2695.0,2741.6,1248844.0,27.99
2025-01-07,2748.9,2824.0,2739.9,2769.0,826532.0,22.83
2025-01-08,2755.0,2760.6,2686.5,2697.65,757064.0,34.18
2025-01-09,2693.3,2693.3,2591.0,2600.4,1032882.0,34.42
2025-01-10,2585.0,2647.55,2560.0,2565.0,1258932.0,25.74
2025-01-13,2552.25,2648.0,2475.0,2487.2,1691859.0,26.97
2025-01-14,2520.0,2635.0,2493.1,2617.1,1667039.0,19.84
2025-01-15,2655.0,2684.9,2590.0,2609.9,981806.0,20.98
2025-01-16,2650.0,2683.95,2630.05,2648.5,738069.0,23.83
2025-01-17,2656.0,2656.0,2595.0,2605.3,421725.0,28.94
2025-01-20,2620.9,2667.45,2611.0,2634.6,543690.0,24.41
2025-01-21,2674.55,2721.0,2591.1,2673.4,1216649.0,21.95
2025-01-22,2680.0,2680.0,2362.25,2425.1,5626060.0,30.31
2025-01-23,2435.9,2464.3,2317.85,2343.4,2825108.0,25.05
2025-01-24,2369.95,2394.4,2207.0,2241.7,2527905.0,28.69
2025-01-27,2215.0,2268.0,2026.0,2196.15,4621411.0,19.1
2025-01-28,2208.8,2230.8,2030.0,2091.95,3757703.0,23.18
2025-01-29,2115.1,2222.0,2087.4,2207.55,2485779.0,17.83
2025-01-30,2226.0,2257.75,2145.0,2197.1,2372322.0,23.69
2025-01-31,2434.0,2505.5,2360.1,2392.7,7082312.0,13.02
2025-02-03,2369.45,2369.45,2275.0,2334.4,1607782.0,19.25
2025-02-04,2379.8,2403.6,2311.0,2353.3,1385138.0,19.2
2025-02-05,2373.95,2414.0,2362.1,2381.75,944692.0,21.41
2025-02-06,2390.0,2398.0,2320.0,2329.15,613329.0,28.31
2025-02-07,2321.0,2343.55,2290.2,2298.3,853039.0,18.33
2025-02-10,2298.3,2299.0,2222.6,2268.3,876016.0,26.22
2025-02-11,2268.0,2270.0,2152.5,2166.3,1056788.0,31.76
2025-02-12,2147.9,2215.0,2111.1,2190.8,1739591.0,15.49
2025-02-13,2191.1,2258.0,2168.25,2194.05,1047889.0,14.0
2025-02-14,2210.9,2218.95,2085.25,2103.9,1067068.0,25.5
2025-02-17,2100.0,2185.9,2052.4,2173.6,1362233.0,18.1
2025-02-18,2181.0,2193.05,2134.35,2164.6,837027.0,20.98
2025-02-19,2150.0,2266.85,2135.0,2220.3,1104031.0,16.38
2025-02-20,2225.0,2364.9,2220.0,2309.3,2298701.0,14.54
2025-02-21,2310.0,2344.4,2242.0,2260.7,939735.0,25.04
2025-02-24,2207.95,2274.8,2195.05,2232.85,755727.0,18.87
2025-02-25,2243.95,2294.9,2241.0,2268.75,755602.0,19.5
2025-02-27,2297.0,2298.0,2198.25,2212.9,763160.0,25.58
2025-02-28,2168.0,2194.95,2127.1,2158.55,762204.0,23.88
2025-03-03,2179.0,2179.05,2066.4,2116.05,1202101.0,19.49
2025-03-04,2079.85,2164.0,2072.05,2109.45,786403.0,17.81
2025-03-05,2115.2,2247.0,2115.2,2224.8,1415978.0,26.04
2025-03-06,2246.0,2254.0,2199.0,2209.9,732463.0,31.66
2025-03-07,2204.9,2281.45,2191.4,2226.1,828511.0,20.37
2025-03-10,2237.8,2250.0,2125.0,2140.9,637758.0,35.04
2025-03-11,2110.0,2129.95,2086.75,2114.25,723430.0,27.62
2025-03-12,2130.0,2149.75,2102.0,2117.55,448119.0,28.4
2025-03-13,2128.0,2153.9,2096.4,2125.25,525713.0,31.74
2025-03-17,2138.9,2183.0,2090.0,2114.9,649782.0,28.73
2025-03-18,2150.0,2186.75,2131.9,2178.8,648856.0,36.85
2025-03-19,2192.9,2268.4,2184.0,2255.2,828453.0,32.6
