,Open,High,Low,Close,Volume,DeliveryPct
2016-08-16,81.45,81.95,80.6,81.15,88437.0,
2016-08-17,81.85,83.9,81.2,83.55,253566.0,
2016-08-18,84.0,88.4,83.55,87.5,2728184.0,
2016-08-19,87.8,91.0,87.5,89.1,1327563.0,
2016-08-22,88.75,88.75,78.05,84.4,2926354.0,
2016-08-23,82.55,85.75,80.2,84.45,1068724.0,
2016-08-24,83.4,84.55,82.35,83.0,374121.0,
2016-08-25,83.4,86.9,82.25,83.1,931340.0,
2016-08-26,83.6,84.8,82.05,82.55,225257.0,
2016-08-29,83.9,83.9,80.5,80.65,199215.0,
2016-08-30,80.65,82.5,80.65,81.15,128415.0,
2016-08-31,81.9,83.45,80.9,81.4,249200.0,
2016-09-01,82.4,83.5,81.0,81.1,233657.0,
2016-09-02,81.15,83.5,81.0,81.9,263740.0,
2016-09-06,82.75,82.8,73.0,81.35,274892.0,
2016-09-07,82.75,82.75,80.85,81.2,167869.0,
2016-09-08,81.0,82.0,77.55,79.6,544879.0,
2016-09-09,80.0,80.0,77.75,78.2,213126.0,
2016-09-12,76.0,78.0,71.35,76.75,270399.0,
2016-09-14,76.05,79.95,76.05,78.15,336878.0,
2016-09-15,78.65,79.55,76.55,77.05,125989.0,
2016-09-16,77.4,78.65,72.7,73.6,575744.0,
2016-09-19,73.65,76.95,73.65,74.05,305769.0,
2016-09-20,75.0,75.5,73.5,74.05,191763.0,
2016-09-21,75.8,78.0,75.2,76.95,728618.0,
2016-09-22,77.4,77.9,76.1,76.4,117963.0,
2016-09-23,77.0,77.7,75.4,75.95,153067.0,
2016-09-26,74.1,75.7,74.1,75.1,100671.0,
2016-09-27,75.15,76.0,72.6,73.0,240615.0,
2016-09-28,73.2,75.5,73.2,74.9,156919.0,
2016-09-29,76.3,76.3,70.0,70.7,267294.0,
2016-09-30,70.5,71.75,69.1,69.9,336759.0,
2016-10-03,70.0,71.9,70.0,71.5,239099.0,
2016-10-04,71.75,72.75,71.6,72.15,155479.0,
2016-10-05,72.5,75.95,71.75,74.45,553134.0,
2016-10-06,75.75,75.75,72.1,72.75,196375.0,
2016-10-07,73.5,74.15,71.55,71.85,183389.0,
2016-10-10,72.0,74.0,72.0,72.65,351320.0,
2016-10-13,72.15,73.8,70.8,71.65,214505.0,
2016-10-14,71.85,72.5,70.1,71.4,149178.0,
2016-10-17,71.0,72.2,69.5,70.0,197909.0,
2016-10-18,70.5,71.8,70.5,71.0,101489.0,
2016-10-19,71.85,71.85,71.0,71.65,96638.0,
2016-10-20,71.8,74.1,71.8,73.2,298425.0,
2016-10-21,73.35,73.75,71.15,71.5,192662.0,
2016-10-24,72.15,74.0,72.05,73.3,301295.0,
2016-10-25,73.9,74.5,69.15,71.75,984954.0,
2016-10-26,71.05,72.55,70.45,71.7,221556.0,
2016-10-27,71.1,72.65,71.1,71.9,174765.0,
2016-10-28,71.5,72.5,70.3,70.9,85286.0,
2016-11-01,72.1,72.35,69.5,69.65,869091.0,
2016-11-02,69.05,70.05,69.0,69.25,180138.0,
2016-11-03,68.4,70.1,68.05,68.5,315040.0,
2016-11-04,69.0,69.0,65.4,66.05,272462.0,
2016-11-07,67.15,68.0,66.0,66.45,143485.0,
2016-11-08,66.85,66.85,64.1,65.05,211198.0,
2016-11-09,55.05,62.35,55.05,61.4,318318.0,
2016-11-10,63.0,73.65,62.95,73.65,1505425.0,
2016-11-11,74.3,74.9,70.1,73.65,753046.0,
2016-11-15,73.95,74.95,69.5,72.7,452335.0,
2016-11-16,73.35,73.9,71.55,72.95,345370.0,
2016-11-17,73.35,73.35,69.0,69.6,180851.0,
2016-11-18,69.95,71.0,68.6,70.25,190159.0,
2016-11-21,70.25,71.7,68.95,69.55,171256.0,
2016-11-22,70.75,71.45,69.6,71.05,94258.0,
2016-11-23,72.0,72.0,70.1,70.9,49860.0,
2016-11-24,70.15,71.4,69.55,69.8,38547.0,
2016-11-25,71.0,72.5,69.05,70.7,101938.0,
2016-11-28,72.4,72.4,70.1,71.15,49669.0,
2016-11-29,71.15,73.1,70.7,71.2,109665.0,
2016-11-30,71.85,84.85,71.85,80.9,6401230.0,
2016-12-01,81.8,88.45,81.1,82.55,4975364.0,
2016-12-02,82.5,82.5,79.2,79.85,584588.0,
2016-12-05,81.1,81.1,77.1,77.5,318684.0,
2016-12-06,76.85,79.9,76.85,78.1,357030.0,
2016-12-07,78.5,78.95,76.0,76.25,157715.0,
2016-12-08,78.4,78.4,76.75,77.2,157437.0,
2016-12-09,78.0,80.45,76.7,77.95,335751.0,
2016-12-12,78.0,78.6,76.15,76.9,136124.0,
2016-12-13,77.7,77.7,75.1,75.65,117659.0,
2016-12-14,75.9,81.6,74.8,78.0,2293747.0,
2016-12-15,75.2,77.95,75.2,76.45,226735.0,
2016-12-16,77.0,78.9,76.05,78.3,272611.0,
2016-12-19,78.0,78.8,76.15,76.7,126376.0,
2016-12-20,76.7,77.35,75.1,75.4,127908.0,
2016-12-21,77.0,83.45,77.0,79.75,2852717.0,
2016-12-22,80.8,82.35,80.0,81.35,1473896.0,
2016-12-23,81.4,81.45,79.05,79.45,425271.0,
2016-12-26,79.1,79.1,71.4,73.35,451502.0,
2016-12-27,73.2,77.3,72.15,75.8,424889.0,
2016-12-28,75.1,76.45,73.6,73.95,188197.0,
2016-12-29,74.5,75.9,74.0,75.15,168624.0,
2016-12-30,75.3,76.35,74.85,75.25,127454.0,
2017-01-02,75.55,76.4,75.2,75.95,101704.0,
2017-01-03,76.0,77.65,75.35,76.15,133944.0,
2017-01-04,76.6,78.3,76.35,76.9,130570.0,
2017-01-05,77.9,79.95,77.6,79.1,358225.0,
2017-01-06,78.8,79.95,78.8,79.2,218769.0,
2017-01-09,79.35,81.45,79.05,80.55,249343.0,
2017-01-10,80.05,83.0,78.6,81.15,276609.0,
2017-01-11,81.65,84.7,81.55,82.75,477006.0,
2017-01-12,82.75,83.3,81.15,81.3,141661.0,
2017-01-13,83.05,85.3,81.3,83.2,562811.0,
2017-01-16,83.25,83.25,81.1,81.55,100945.0,
2017-01-17,81.6,82.9,80.45,81.0,173159.0,
2017-01-18,81.4,83.0,80.45,81.75,243345.0,
2017-01-19,80.6,82.5,80.6,81.1,123392.0,
2017-01-20,81.2,81.7,80.3,80.6,135588.0,
2017-01-23,82.15,82.15,80.0,80.15,168688.0,
2017-01-24,80.15,81.5,78.7,79.05,303557.0,
2017-01-25,79.15,86.8,79.15,85.0,1185643.0,
2017-01-27,85.5,92.25,85.2,87.1,1935033.0,
2017-01-30,87.0,87.4,84.5,85.5,273733.0,
2017-01-31,85.5,85.5,83.1,83.4,142899.0,
2017-02-01,83.4,84.45,81.3,84.1,235394.0,
2017-02-02,84.45,84.5,82.8,83.6,205895.0,
2017-02-03,83.1,85.6,83.1,83.5,280598.0,
2017-02-06,83.8,84.7,82.5,83.0,227896.0,
2017-02-07,83.2,84.7,82.65,83.3,260265.0,
2017-02-08,83.1,84.6,83.0,83.5,221589.0,
2017-02-09,83.2,89.4,83.2,88.05,921472.0,
2017-02-10,88.85,89.4,83.5,84.1,909773.0,
2017-02-13,82.65,84.95,81.0,81.55,361294.0,
2017-02-14,82.95,82.95,80.25,80.45,200731.0,
2017-02-15,80.35,81.65,79.0,79.55,235906.0,
2017-02-16,81.5,83.5,79.0,82.35,237295.0,
2017-02-17,82.85,83.8,81.65,82.4,98411.0,
2017-02-20,82.4,84.4,81.85,83.15,137325.0,
2017-02-21,86.0,87.5,84.7,85.15,668444.0,
2017-02-22,85.9,85.9,82.75,83.3,179690.0,
2017-02-23,84.0,85.15,83.2,84.0,132799.0,
2017-02-27,83.1,86.5,81.05,83.3,256988.0,
2017-02-28,83.8,84.8,83.0,83.15,123921.0,
2017-03-01,84.0,86.35,81.1,85.6,510316.0,
2017-03-02,85.6,87.5,84.0,84.55,389282.0,
2017-03-03,84.5,84.5,82.45,83.25,133012.0,
2017-03-06,86.25,88.9,86.25,87.8,1173094.0,
2017-03-07,87.7,88.7,85.8,86.95,436609.0,
2017-03-08,87.0,87.7,85.0,85.7,235564.0,
2017-03-09,85.5,85.7,83.75,84.3,164430.0,
2017-03-10,84.3,85.35,83.0,83.4,153418.0,
2017-03-14,86.7,86.8,83.95,84.2,184629.0,
2017-03-15,84.2,84.95,83.5,84.25,98412.0,
2017-03-16,84.35,87.45,84.2,85.8,402613.0,
2017-03-17,85.8,85.8,82.65,84.05,423026.0,
2017-03-20,84.05,86.5,83.4,84.85,250843.0,
2017-03-21,84.8,84.95,83.4,83.85,137772.0,
