,Open,High,Low,Close,Volume,DeliveryPct
2023-12-14,160.9,160.9,155.55,156.7,994187.0,58.91
2023-12-15,158.1,159.0,154.0,154.8,663361.0,54.35
2023-12-18,154.8,157.9,153.2,154.55,1185670.0,52.41
2023-12-19,155.4,157.4,154.7,155.4,674815.0,51.92
2023-12-20,156.0,157.2,143.15,145.7,2001926.0,47.56
2023-12-21,144.5,147.2,141.35,144.65,2386137.0,57.79
2023-12-22,146.45,147.8,142.5,145.3,3166326.0,47.42
2023-12-25,146.45,147.8,142.5,145.3,3166326.0,47.42
2023-12-26,145.3,146.95,144.0,144.25,1068644.0,55.03
2023-12-27,144.0,146.75,142.2,143.45,1411250.0,51.38
2023-12-28,144.0,146.6,140.95,142.05,1391825.0,49.47
2023-12-29,143.45,145.4,140.05,144.45,1856330.0,43.43
2024-01-01,145.9,147.4,144.45,145.65,1426474.0,50.37
2024-01-02,146.85,146.85,142.2,143.25,2011396.0,48.54
2024-01-03,143.25,148.2,143.25,147.4,1908958.0,36.29
2024-01-04,148.55,152.8,148.5,149.75,2552918.0,38.42
2024-01-05,151.5,152.3,148.75,151.0,1041227.0,45.39
2024-01-08,152.15,152.5,148.0,148.5,1049350.0,47.19
2024-01-09,149.7,152.3,148.05,149.0,1170663.0,40.99
2024-01-10,150.05,158.65,149.85,157.0,7080881.0,25.87
2024-01-11,161.0,162.0,155.0,155.5,2073321.0,42.15
2024-01-12,156.25,157.4,153.5,153.95,718442.0,52.19
2024-01-15,154.0,155.45,152.6,153.15,962420.0,45.11
2024-01-16,153.15,154.2,150.25,152.4,865283.0,44.04
2024-01-17,150.1,152.25,147.6,148.9,1206079.0,46.98
2024-01-18,149.5,152.5,144.0,149.05,1323471.0,38.33
2024-01-19,149.5,152.95,149.5,150.7,1183141.0,51.12
2024-01-22,151.3,153.75,147.6,150.25,730954.0,33.94
2024-01-23,150.0,150.7,140.4,142.35,1886704.0,48.44
2024-01-24,142.3,142.3,133.2,135.95,5445542.0,49.61
2024-01-25,137.0,145.65,133.9,137.4,6819182.0,29.04
2024-01-26,137.0,145.65,133.9,137.4,6819182.0,29.04
2024-01-29,139.0,157.0,137.55,149.95,12904141.0,18.7
2024-01-30,151.0,153.4,149.2,152.8,2512732.0,42.32
2024-01-31,152.95,171.25,151.5,163.8,21295085.0,22.82
2024-02-01,165.9,166.5,161.45,163.15,4880567.0,39.88
2024-02-02,164.0,165.7,155.05,156.25,3041974.0,46.22
2024-02-05,157.0,158.9,151.0,152.3,2096442.0,44.0
2024-02-06,152.8,155.5,151.3,152.45,1415483.0,51.74
2024-02-07,153.55,155.65,149.35,150.2,1303424.0,52.43
2024-02-08,150.65,152.55,147.3,147.9,1371304.0,48.81
2024-02-09,148.35,160.0,148.1,157.5,11748437.0,19.26
2024-02-12,158.7,161.6,151.6,153.05,3456986.0,27.13
2024-02-13,150.7,154.9,145.0,152.5,1895137.0,35.53
2024-02-14,152.0,152.0,147.95,150.4,1195420.0,34.71
2024-02-15,151.4,155.95,150.35,153.3,1653201.0,35.86
2024-02-16,154.4,158.25,152.55,153.3,1191457.0,35.76
