,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,518.0,520.0,514.5,515.5,1016786.0,
2016-08-23,515.25,520.5,515.0,519.6,1154254.0,
2016-08-24,520.1,522.0,517.05,519.65,1047588.0,
2016-08-25,521.0,521.25,502.25,504.0,4837138.0,
2016-08-26,504.0,506.05,488.0,490.0,3318483.0,
2016-08-29,491.0,491.55,477.1,478.8,5095626.0,
2016-08-30,478.9,490.45,478.15,489.45,4531046.0,
2016-08-31,491.8,496.0,486.25,491.65,2811028.0,
2016-09-01,489.7,489.7,481.5,483.95,1988414.0,
2016-09-02,484.0,485.55,479.3,483.6,1614602.0,
2016-09-06,485.0,485.4,480.0,482.9,1592073.0,
2016-09-07,487.8,489.75,480.05,481.75,2147450.0,
2016-09-08,477.0,479.65,470.2,473.95,2229724.0,
2016-09-09,477.6,483.0,474.3,480.65,1896208.0,
2016-09-12,474.8,483.4,472.15,480.4,1887831.0,
2016-09-14,484.5,484.95,475.85,478.05,1842448.0,
2016-09-15,479.8,479.8,474.25,478.45,1814622.0,
2016-09-16,481.3,482.3,478.0,479.4,2310804.0,
2016-09-19,480.0,481.95,476.2,479.95,2118736.0,
2016-09-20,482.5,482.5,478.1,481.05,1092998.0,
2016-09-21,482.95,484.5,480.25,483.85,1625366.0,
2016-09-22,485.0,485.2,479.6,481.75,1431194.0,
2016-09-23,483.25,483.7,479.05,480.2,2306416.0,
2016-09-26,480.4,481.0,476.1,479.3,2238608.0,
2016-09-27,480.35,485.0,479.0,484.2,1852179.0,
2016-09-28,484.4,484.7,480.35,483.7,795943.0,
2016-09-29,483.7,483.95,470.0,472.2,4940828.0,
2016-09-30,473.0,480.0,473.0,478.95,2103183.0,
2016-10-03,480.0,480.1,474.3,478.95,1000629.0,
2016-10-04,479.0,484.95,479.0,481.8,1330496.0,
2016-10-05,481.8,483.15,476.65,479.55,1413444.0,
2016-10-06,480.0,480.6,477.05,478.0,1386753.0,
2016-10-07,478.0,479.7,475.6,476.95,1043681.0,
2016-10-10,477.2,479.75,476.1,477.0,663376.0,
2016-10-13,477.0,479.0,474.4,478.25,1374255.0,
2016-10-14,477.8,481.2,474.3,475.0,1290787.0,
2016-10-17,475.05,475.65,471.6,472.15,1555949.0,
2016-10-18,473.1,484.1,473.0,482.75,1087752.0,
2016-10-19,485.0,496.9,483.75,495.0,2320995.0,
2016-10-20,497.9,501.15,492.2,495.4,1172322.0,
2016-10-21,499.85,501.0,493.3,499.2,1990718.0,
2016-10-24,490.0,490.0,477.6,483.95,3483647.0,
2016-10-25,484.0,484.6,479.2,481.4,3487360.0,
2016-10-26,480.75,480.75,470.55,471.55,1374261.0,
2016-10-27,471.3,473.65,460.0,461.7,1883031.0,
2016-10-28,461.7,466.4,454.1,462.1,2310047.0,
2016-11-01,465.05,466.45,460.0,460.75,710011.0,
2016-11-02,457.7,460.85,452.4,457.9,1410681.0,
2016-11-03,458.0,459.95,446.05,447.6,1510121.0,
2016-11-04,447.75,453.75,444.2,452.5,1227647.0,
2016-11-07,455.0,455.45,448.45,450.0,1337733.0,
2016-11-08,453.0,455.9,446.45,451.75,1296795.0,
2016-11-09,425.0,450.45,408.1,446.9,2167264.0,
2016-11-10,451.15,451.4,440.1,444.95,1559321.0,
2016-11-11,441.9,444.15,434.05,442.35,1966056.0,
2016-11-15,441.5,451.4,439.55,447.95,7069827.0,
2016-11-16,449.0,454.5,442.1,445.3,1655458.0,
2016-11-17,443.1,444.95,433.8,438.4,2076829.0,
2016-11-18,439.95,442.0,432.6,437.15,1080583.0,
2016-11-21,437.5,443.75,437.2,441.8,1670546.0,
2016-11-22,442.0,453.0,439.1,450.4,1104664.0,
2016-11-23,450.4,451.85,442.1,448.9,1266901.0,
2016-11-24,448.45,454.9,446.6,450.75,1382663.0,
2016-11-25,453.0,467.0,451.0,464.75,1279236.0,
2016-11-28,468.0,468.0,455.6,460.6,1150410.0,
2016-11-29,461.4,466.5,460.5,465.15,625064.0,
2016-11-30,465.0,470.95,462.0,465.25,2172696.0,
2016-12-01,469.7,470.95,464.25,468.3,619149.0,
2016-12-02,470.5,471.0,458.5,460.4,757738.0,
2016-12-05,460.0,460.0,453.05,456.65,595522.0,
2016-12-06,456.0,462.85,455.9,457.8,629585.0,
2016-12-07,458.4,459.75,452.0,453.35,589671.0,
2016-12-08,455.0,459.45,454.1,458.6,1049331.0,
2016-12-09,458.1,461.2,456.5,458.1,1018176.0,
2016-12-12,455.0,455.9,451.5,453.55,718375.0,
2016-12-13,456.5,464.05,455.05,463.75,1175447.0,
2016-12-14,464.15,468.35,463.25,466.3,1032733.0,
2016-12-15,460.6,471.9,460.6,466.1,1033371.0,
2016-12-16,466.3,470.15,459.95,463.5,1653535.0,
2016-12-19,462.75,466.5,462.45,463.55,777104.0,
2016-12-20,466.9,469.9,461.65,466.65,812684.0,
2016-12-21,468.5,470.5,461.2,462.45,1028742.0,
2016-12-22,462.6,466.2,459.3,461.7,808616.0,
2016-12-23,464.65,465.0,455.4,458.75,672211.0,
2016-12-26,458.4,460.5,453.3,456.1,621902.0,
2016-12-27,455.0,466.0,454.1,465.2,553523.0,
2016-12-28,466.0,475.45,465.05,469.35,1191369.0,
2016-12-29,469.0,477.0,464.05,472.35,2045230.0,
2016-12-30,473.65,476.5,471.05,474.45,521181.0,
2017-01-02,475.05,478.4,470.5,471.55,461428.0,
2017-01-03,473.0,474.1,465.7,467.0,691301.0,
2017-01-04,467.0,477.6,466.1,475.6,1134495.0,
2017-01-05,477.1,485.9,477.1,480.4,978187.0,
2017-01-06,478.5,480.1,469.0,469.95,1571573.0,
2017-01-09,469.0,474.45,461.8,472.0,735422.0,
2017-01-10,472.6,478.85,471.25,476.5,661572.0,
2017-01-11,477.9,481.5,475.0,476.2,845068.0,
2017-01-12,476.0,484.25,474.25,483.2,701527.0,
2017-01-13,485.1,486.45,480.35,484.65,810523.0,
2017-01-16,482.9,487.7,479.8,484.75,605125.0,
2017-01-17,485.35,487.7,480.5,482.4,552927.0,
2017-01-18,482.4,487.0,480.0,482.95,536929.0,
2017-01-19,483.4,484.45,475.25,479.0,897240.0,
2017-01-20,476.55,479.8,475.0,477.9,764479.0,
2017-01-23,472.55,484.3,471.75,479.75,1145339.0,
2017-01-24,482.65,483.0,476.0,481.5,735219.0,
2017-01-25,482.0,484.0,471.2,473.7,2044971.0,
2017-01-27,469.5,473.7,464.3,465.55,1926030.0,
2017-01-30,464.0,468.0,457.5,465.75,1847613.0,
2017-01-31,465.8,465.8,445.35,458.0,2742827.0,
2017-02-01,461.0,461.0,450.0,456.0,1640767.0,
2017-02-02,456.0,457.95,446.1,455.65,1532200.0,
2017-02-03,456.0,459.6,454.1,457.75,877960.0,
2017-02-06,458.65,462.8,454.5,461.1,1237410.0,
2017-02-07,462.0,462.0,455.55,458.55,836207.0,
2017-02-08,458.35,465.15,457.1,460.5,1313945.0,
2017-02-09,458.3,466.85,457.35,466.0,988901.0,
2017-02-10,467.35,472.2,464.4,469.25,767522.0,
2017-02-13,468.0,476.0,467.25,474.45,848151.0,
2017-02-14,477.15,477.7,472.2,476.7,866074.0,
2017-02-15,476.55,479.3,468.6,474.7,1057592.0,
2017-02-16,473.0,481.9,473.0,480.8,1062565.0,
2017-02-17,482.0,483.65,474.05,475.35,789505.0,
2017-02-20,475.0,477.4,473.05,475.65,572727.0,
2017-02-21,475.0,480.75,474.15,475.8,1280515.0,
2017-02-22,475.1,477.55,470.2,474.5,1042271.0,
2017-02-23,474.5,489.25,471.55,486.1,1630100.0,
2017-02-27,480.0,492.6,479.65,489.75,1411538.0,
2017-02-28,490.0,492.2,487.05,488.8,1012714.0,
2017-03-01,488.0,495.15,485.8,488.55,1017432.0,
2017-03-02,494.0,495.45,488.1,490.2,1016827.0,
2017-03-03,490.8,495.65,487.2,493.85,740118.0,
2017-03-06,491.3,492.65,488.6,491.9,589369.0,
