,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,1335.0,1349.25,1332.7,1343.3,2159542.0,
2016-08-23,1343.2,1351.35,1335.5,1341.25,2124475.0,
2016-08-24,1341.25,1342.85,1330.05,1337.85,1851160.0,
2016-08-25,1339.3,1349.6,1337.0,1343.55,3671732.0,
2016-08-26,1346.6,1347.0,1319.05,1326.5,2314223.0,
2016-08-29,1324.7,1343.0,1317.0,1338.65,2987198.0,
2016-08-30,1343.0,1374.75,1340.2,1355.2,3270579.0,
2016-08-31,1360.0,1382.3,1342.0,1366.1,23168932.0,
2016-09-01,1369.7,1376.65,1360.15,1364.85,2015662.0,
2016-09-02,1365.0,1394.25,1362.3,1388.35,2073640.0,
2016-09-06,1389.95,1449.0,1389.95,1440.8,3144961.0,
2016-09-07,1447.7,1447.7,1390.05,1401.55,5120094.0,
2016-09-08,1387.15,1390.0,1321.25,1328.25,7127308.0,
2016-09-09,1250.05,1315.0,1246.95,1276.25,15748512.0,
2016-09-12,1249.0,1249.0,1197.0,1205.1,8790869.0,
2016-09-14,1203.1,1256.95,1203.1,1253.5,6382271.0,
2016-09-15,1240.0,1240.0,1206.2,1221.8,4831932.0,
2016-09-16,1232.0,1239.35,1158.9,1169.8,10291738.0,
2016-09-19,1166.0,1193.75,1155.8,1177.35,7352710.0,
2016-09-20,1189.1,1213.45,1171.3,1207.05,4774321.0,
2016-09-21,1209.1,1227.8,1209.1,1220.25,3740663.0,
2016-09-22,1245.0,1259.0,1230.9,1246.55,4631410.0,
2016-09-23,1245.0,1248.9,1228.05,1233.15,2034020.0,
2016-09-26,1221.95,1243.0,1216.25,1235.35,2402922.0,
2016-09-27,1247.0,1251.8,1238.2,1246.9,2938429.0,
2016-09-28,1246.0,1274.8,1245.0,1271.2,3143505.0,
2016-09-29,1276.0,1304.95,1225.0,1230.8,8602463.0,
2016-09-30,1231.55,1259.1,1211.55,1254.7,4189759.0,
2016-10-03,1275.0,1283.0,1263.25,1270.25,2167577.0,
2016-10-04,1280.0,1291.8,1270.3,1284.05,2233478.0,
2016-10-05,1294.0,1297.5,1271.0,1279.15,1696408.0,
2016-10-06,1237.1,1295.0,1231.5,1280.05,5919913.0,
2016-10-07,1276.0,1284.8,1266.15,1273.8,1796464.0,
2016-10-10,1279.0,1290.0,1276.0,1279.5,1226587.0,
2016-10-13,1268.0,1283.9,1235.3,1255.7,2599460.0,
2016-10-14,1260.0,1268.0,1244.15,1259.95,1981808.0,
2016-10-17,1264.4,1267.0,1242.25,1250.55,1318321.0,
