,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,1056.0,1091.0,1056.0,1074.15,18006.0,
2016-08-23,1062.6,1083.0,1062.6,1075.8,33672.0,
2016-08-24,1065.1,1090.0,1065.1,1079.2,28776.0,
2016-08-25,1068.65,1105.05,1068.65,1100.25,29296.0,
2016-08-26,1094.0,1108.0,1078.0,1104.15,11504.0,
2016-08-29,1108.8,1108.8,1076.75,1094.2,9456.0,
2016-08-30,1096.3,1096.8,1079.0,1081.55,12894.0,
2016-08-31,1082.0,1090.75,1070.1,1076.65,21379.0,
2016-09-01,1079.0,1088.0,1056.7,1075.8,41070.0,
2016-09-02,1071.0,1074.1,1032.7,1045.65,28786.0,
2016-09-06,1062.0,1074.0,1032.0,1035.05,32786.0,
2016-09-07,1057.0,1057.0,991.25,1016.0,59539.0,
2016-09-08,996.0,1015.0,992.45,1005.25,88018.0,
2016-09-09,1030.0,1115.0,1030.0,1042.55,138795.0,
2016-09-12,1024.9,1035.0,1010.6,1017.45,17472.0,
2016-09-14,1031.7,1039.8,1010.0,1021.2,13666.0,
2016-09-15,1027.1,1040.0,1005.15,1009.2,19086.0,
2016-09-16,1009.25,1024.2,995.0,999.45,20747.0,
2016-09-19,1000.0,1020.35,992.05,1014.65,13450.0,
2016-09-20,1023.9,1029.9,1003.0,1008.4,9650.0,
2016-09-21,1005.0,1013.75,1000.5,1009.7,16526.0,
2016-09-22,1018.95,1037.0,1010.0,1033.95,15731.0,
2016-09-23,1033.3,1036.8,1018.0,1021.9,8989.0,
2016-09-26,1009.0,1021.45,1005.75,1017.35,6900.0,
2016-09-27,1011.0,1022.1,1011.0,1017.3,62908.0,
2016-09-28,1016.5,1029.9,1011.0,1027.55,18496.0,
2016-09-29,1016.0,1035.0,1002.0,1010.95,21597.0,
2016-09-30,1005.9,1009.95,950.3,992.8,27299.0,
2016-10-03,994.0,1023.95,994.0,1009.85,11510.0,
2016-10-04,1010.0,1015.0,1000.0,1002.85,3702.0,
2016-10-05,1004.95,1015.0,993.35,1004.2,16038.0,
2016-10-06,1009.4,1010.0,995.05,1004.35,3444.0,
2016-10-07,995.2,1004.95,995.2,1000.3,3680.0,
2016-10-10,1001.0,1009.0,950.4,1002.85,18078.0,
2016-10-13,985.4,1019.0,985.4,1001.9,24996.0,
2016-10-14,999.95,1006.25,990.2,992.0,17346.0,
2016-10-17,1001.9,1020.0,985.3,1008.55,46797.0,
2016-10-18,989.0,1007.4,950.3,999.2,127950.0,
2016-10-19,999.0,1044.0,988.0,991.55,61496.0,
2016-10-20,995.8,1002.95,992.0,995.3,14634.0,
2016-10-21,1007.0,1007.0,982.0,990.95,18364.0,
2016-10-24,995.5,998.55,975.05,981.05,8431.0,
2016-10-25,984.9,990.0,965.5,970.05,7138.0,
2016-10-26,975.0,980.0,962.0,964.25,3343.0,
2016-10-27,962.0,964.7,949.0,954.9,31474.0,
2016-10-28,954.9,954.9,915.8,919.0,19229.0,
2016-11-01,919.0,939.9,919.0,929.85,9388.0,
2016-11-02,927.0,1073.5,922.0,1047.25,429006.0,
2016-11-03,1023.05,1039.0,995.0,1006.0,88034.0,
2016-11-04,1015.0,1015.0,935.6,945.45,18787.0,
2016-11-07,960.0,981.95,946.05,965.4,16892.0,
2016-11-08,974.95,980.0,931.9,946.35,21906.0,
2016-11-09,900.0,980.9,869.0,952.65,22177.0,
2016-11-10,976.0,976.0,952.05,958.0,6121.0,
