,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,78.35,81.5,78.35,79.25,34008.0,
2016-08-23,80.25,80.9,77.65,79.8,36872.0,
2016-08-24,81.4,81.4,79.1,79.15,41891.0,
2016-08-25,79.6,80.5,78.05,78.45,32179.0,
2016-08-26,77.35,79.55,77.1,77.55,16260.0,
2016-08-29,79.25,79.25,76.1,76.5,13691.0,
2016-08-30,76.65,78.5,75.75,76.6,19734.0,
2016-08-31,76.15,78.9,75.65,77.45,41192.0,
2016-09-01,78.4,78.9,76.25,77.0,26326.0,
2016-09-02,78.45,78.5,75.45,75.8,30659.0,
2016-09-06,76.5,78.9,75.5,76.5,78959.0,
2016-09-07,75.6,78.0,75.5,75.85,39185.0,
2016-09-08,75.65,81.35,75.65,80.1,155131.0,
2016-09-09,80.1,80.75,77.4,78.0,65515.0,
2016-09-12,75.6,81.7,75.6,78.95,99932.0,
2016-09-14,78.35,84.2,78.35,81.75,172568.0,
2016-09-15,82.85,88.4,80.5,87.35,377035.0,
2016-09-16,89.5,91.35,84.0,84.8,219836.0,
2016-09-19,85.05,87.5,81.4,83.75,130779.0,
2016-09-20,82.65,84.65,81.5,81.85,54271.0,
2016-09-21,82.8,83.0,79.1,79.5,66125.0,
2016-09-22,80.85,81.35,78.5,79.2,60371.0,
2016-09-23,79.95,80.0,77.65,78.0,72704.0,
2016-09-26,78.1,78.6,76.5,77.5,52745.0,
2016-09-27,78.45,83.95,77.25,82.45,316399.0,
2016-09-28,83.2,83.2,80.6,81.3,71309.0,
2016-09-29,82.7,85.5,74.0,76.0,261031.0,
2016-09-30,74.95,79.95,74.95,79.0,48242.0,
2016-10-03,80.25,82.75,79.35,80.8,56561.0,
2016-10-04,82.45,82.45,79.4,80.65,49657.0,
2016-10-05,81.7,81.85,78.65,79.8,57215.0,
2016-10-06,80.35,82.0,79.0,79.2,40299.0,
2016-10-07,78.1,79.9,78.1,78.55,20470.0,
2016-10-10,78.3,79.65,77.4,78.2,25286.0,
2016-10-13,77.5,79.0,75.0,75.75,65247.0,
2016-10-14,76.0,77.65,75.0,76.45,34379.0,
2016-10-17,76.7,78.8,75.0,75.55,27750.0,
2016-10-18,75.1,78.8,75.1,78.05,38542.0,
2016-10-19,79.0,79.95,77.0,78.45,140401.0,
2016-10-20,79.0,81.7,78.0,78.95,104316.0,
2016-10-21,79.35,82.4,78.25,79.15,154058.0,
2016-10-24,79.7,79.85,78.0,78.2,44219.0,
2016-10-25,78.85,79.05,76.8,77.75,30149.0,
2016-10-26,78.0,78.4,76.35,77.0,24072.0,
2016-10-27,77.45,77.6,76.25,76.5,28802.0,
2016-10-28,76.5,79.95,76.15,79.4,60468.0,
