,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,857.0,867.9,841.0,862.6,4422.0,
2016-08-23,862.0,863.55,839.0,841.7,5389.0,
2016-08-24,851.95,918.0,842.35,892.9,73083.0,
2016-08-25,877.0,897.0,877.0,891.8,7536.0,
2016-08-26,890.0,920.0,880.0,894.3,20525.0,
2016-08-29,890.0,900.0,872.0,877.5,8828.0,
2016-08-30,876.0,894.0,876.0,889.7,6013.0,
2016-08-31,905.0,905.0,870.2,879.0,6158.0,
2016-09-01,870.05,893.0,866.0,885.5,4133.0,
2016-09-02,870.05,894.7,868.5,875.9,3739.0,
2016-09-06,871.0,890.0,871.0,881.9,3198.0,
2016-09-07,888.0,915.0,888.0,904.9,20380.0,
2016-09-08,916.8,920.9,890.0,902.7,13310.0,
2016-09-09,908.95,915.0,901.2,905.45,5968.0,
2016-09-12,900.05,905.6,879.6,890.25,6843.0,
2016-09-14,891.6,900.0,878.0,895.4,2622.0,
2016-09-15,899.75,899.75,878.1,880.45,2488.0,
2016-09-16,880.0,903.0,880.0,900.2,11789.0,
2016-09-19,882.0,904.7,881.35,898.25,6597.0,
2016-09-20,908.0,908.0,890.5,893.35,3816.0,
2016-09-21,881.0,899.85,881.0,888.25,2371.0,
2016-09-22,900.0,911.0,882.0,886.0,8524.0,
2016-09-23,900.0,910.0,886.05,888.4,32087.0,
2016-09-26,880.0,904.0,880.0,890.4,3357.0,
2016-09-27,892.0,899.0,881.1,882.05,4327.0,
2016-09-28,884.3,897.0,882.0,888.1,2866.0,
2016-09-29,896.2,905.0,866.2,877.3,7901.0,
2016-09-30,885.0,891.0,877.0,888.7,3734.0,
2016-10-03,893.3,910.9,890.0,900.25,21965.0,
2016-10-04,904.7,904.7,880.7,887.95,3601.0,
2016-10-05,888.05,899.45,886.05,891.4,3385.0,
2016-10-06,898.95,899.0,877.3,880.45,9443.0,
2016-10-07,885.0,888.75,873.0,875.8,2935.0,
2016-10-10,878.0,884.9,870.1,874.6,2785.0,
2016-10-13,874.0,900.0,864.05,869.1,3353.0,
2016-10-14,865.15,885.0,865.15,872.55,5847.0,
2016-10-17,875.0,883.0,867.1,870.55,3789.0,
2016-10-18,882.0,884.5,870.05,880.95,30822.0,
2016-10-19,881.05,894.4,873.0,890.7,31720.0,
2016-10-20,891.45,894.4,880.0,882.0,28896.0,
2016-10-21,892.9,892.9,880.0,888.8,4568.0,
2016-10-24,888.0,895.0,875.0,881.75,7821.0,
2016-10-25,888.0,918.8,866.6,872.75,80011.0,
2016-10-26,871.05,886.0,862.0,873.9,6967.0,
